building_type,name,latitude,longitude,building_area_sqm
yes,Mani Keshar Chowk,27.673433646167126,85.32534737822776,657.81
yes,Sasto Bazaar,27.674820223785762,85.32340269807021,1709.23
school,,27.676307549483088,85.31849422096751,970.81
yes,Pulchowk Campus Boys Hostel Block C,27.681833375656616,85.3239297938076,2348.73
school,,27.68536854914655,85.31071495440534,1114.0
house,Shashi Bhawan,27.67999879169139,85.3080498523586,1421.52
yes,,27.670096327943323,85.31410371414049,1169.96
National Human Rights Commission,,27.68042716152535,85.31310526700882,3355.37
yes,,27.680073771321858,85.31247182196155,1303.37
yes,,27.675789873674148,85.32263796503183,404.72
yes,,27.677898117768454,85.32502018733005,458.55
yes,,27.677222439521728,85.32561114417098,390.66
school,Ibaha Bahi,27.67135853273614,85.32427931206402,519.92
yes,,27.668393128557312,85.31701557671865,2768.73
yes,Rudrabarna Mahabihar,27.668305170528605,85.32718573848136,101.21
school,,27.68972068493939,85.31278563619125,617.71
yes,,27.667460245798356,85.31584463203521,271.59
yes,,27.67385297504354,85.30870508322604,849.81
yes,,27.68483619586182,85.32375061807262,517.15
yes,,27.677742977760815,85.3149652381799,453.87
temple,Patan's Living Goddess,27.673823293845576,85.32176471862769,525.13
mixed_use,,27.672984000582844,85.32347677905402,440.3
yes,,27.67286172107934,85.32519978146478,1270.57
temple,हिरण्यवर्ण महाविहार,27.67522369625441,85.32460194071525,541.51
yes,,27.669404903552028,85.31110180994364,1011.04
yes,,27.670250038743593,85.32230170956915,215.13
yes,,27.6828517003332,85.31520830108484,462.18
yes,IOE staff quarter,27.683011313132283,85.32481845989018,904.9
yes,,27.676710094247895,85.32784633354106,291.16
yes,,27.681624400731703,85.31510155258981,1346.41
house,,27.676671600413044,85.3173520780587,35.03
house,Super Kinetic,27.6766471854507,85.31739096907363,34.71
school,,27.6761316834128,85.31182887711148,1130.91
yes,,27.68859941959915,85.32104567640913,659.56
apartments,,27.683248527675975,85.31322674964728,53.54
yes,Thuleko Mo:Mo,27.683326852448566,85.31320066817158,85.33
college,"Administrative Block of IOE and Pulchok Campus, Harihar Bhawan",27.680964709264224,85.31874117319437,1881.72
retail,Blue Srar Complex,27.691778378098057,85.31678632876314,3974.13
yes,तलेजु,27.673201525113654,85.32522286558797,326.2
temple,Krishna Mandir,27.67362252916837,85.32496414195464,203.4
yes,हरी शंकर,27.673209593698118,85.3249561206782,93.05
yes,Incessant Rain Animation Studios,27.686701991767304,85.30740852786397,220.8
yes,Nepal Bank Limited,27.686267349633145,85.31621428707228,525.87
yes,Singha Complex,27.690687867149283,85.31802152897596,113.4
yes,,27.682129583769488,85.31828841692571,600.12
yes,Central Material Testing Laboratory,27.682460503836204,85.318643280696,843.24
commercial,Labim Mall,27.677233487499457,85.31707596117906,3810.29
college,"Department of Electrical, Electronics and Computer Engineering",27.681614667175356,85.31869568570278,882.98
yes,,27.680250161381487,85.31946797419248,968.24
yes,,27.68270706410677,85.31889476971392,800.68
commercial,Saleways,27.675036409646566,85.31480783421924,323.26
yes,Lalitpur Metropolitan Office (A),27.67652620124378,85.31678390100326,851.08
yes,Animal Hospital,27.673378204576906,85.31193112847568,97.31
yes,Artifact Display,27.67233303074137,85.31193619548003,33.88
yes,Zoo Ticketing,27.673048955762933,85.31210322988937,174.19
yes,Fast Food Shops,27.672255943803627,85.31190690785985,48.51
yes,Zoo Gift Shop,27.673406200003235,85.31169210000121,33.75
yes,,27.67476902887965,85.31007804914498,109.31
residential,,27.677570337046422,85.30495271219769,150.77
residential,,27.678070100001833,85.30456054999784,120.03
residential,,27.67733894882894,85.30480876742676,85.32
residential,,27.67742708557054,85.30487232633689,106.24
residential,,27.67774004013913,85.30493597393983,172.81
residential,,27.677896955410425,85.30454375289686,225.96
residential,,27.67752602000377,85.30458726063779,94.8
residential,,27.677828602482673,85.30507333129381,102.65
residential,,27.67746042808409,85.30504122202633,102.87
residential,,27.677539800008443,85.30508470000336,90.78
residential,,27.677716642255383,85.30522016900369,138.96
residential,,27.677373148343865,85.30500416763515,130.87
residential,,27.67762250000875,85.30513085000278,98.32
carport,,27.675724048911487,85.31490458713452,243.09
residential,,27.67755062216872,85.30640145651988,50.51
residential,,27.677969351487828,85.30541001602435,152.1
residential,,27.677579100001214,85.30633029999892,61.44
residential,,27.677495075880934,85.30674713994787,72.09
residential,,27.677156344936034,85.3069927880729,167.27
residential,,27.677885600921222,85.30535276629946,132.38
residential,,27.67719476622346,85.30685491574927,100.8
residential,,27.67751162281116,85.30659520793196,90.9
residential,,27.67738107222612,85.30688234102367,419.72
yes,,27.678194458283137,85.30501071450536,122.92
residential,,27.67779420000528,85.30554440000634,64.05
residential,,27.677508146339036,85.30422752416389,133.16
residential,,27.677734545019227,85.30596757201208,135.52
yes,,27.678322850001067,85.30510290000443,70.82
residential,,27.67706805000241,85.3048687999936,92.16
residential,,27.6773447451944,85.30419301863547,183.92
residential,,27.677737149942516,85.30548333334518,83.36
residential,,27.677624643930674,85.3061087159399,136.22
yes,,27.678116251817528,85.30492787650435,123.56
residential,,27.67767019190339,85.30540633227898,105.01
yes,,27.678211600001106,85.30465869999986,53.85
residential,,27.67835485001387,85.30467010000041,163.74
residential,,27.677312450026488,85.30519650002185,213.59
residential,,27.678056314237484,85.30513116008888,118.84
residential,,27.67758021026441,85.30619906878985,101.2
residential,Sandlewood Cafe,27.684714411082286,85.32612236005886,451.1
office,Jawalakhel Cabel Network,27.669150550002477,85.31266225000098,68.89
yes,Steel Tower,27.670292650072962,85.31254780004242,152.42
yes,German Bakery,27.67347324310609,85.31389038972966,291.97
yes,Syanko Katti Rolls,27.673344104017964,85.31381068115546,105.41
yes,The Blue Room Restro Lounge,27.677102884649095,85.30992240941744,174.75
yes,Nepal  Heart Care Center,27.67701803833416,85.30976652606452,44.05
yes,,27.67721235001115,85.3093988499838,315.99
commercial,Home Grocer,27.671923374010305,85.31543939009588,257.85
restaurant,Gokarna House Jhamsikhel,27.678642043264205,85.31192498797678,931.82
yes,Sandook Gift Store,27.677727800015642,85.30965179999771,287.56
residential,,27.67701190000572,85.30499714999806,105.39
residential,,27.677114559506368,85.30548712102758,131.65
residential,,27.67722280000689,85.30540709999553,137.85
residential,,27.677199174361704,85.30570822807061,179.66
residential,,27.67697065000437,85.30509419999743,87.98
residential,,27.677120533514906,85.30510127009825,195.08
residential,,27.677419748412554,85.30523806744343,90.09
residential,,27.677517041495026,85.30533689715452,266.5
residential,,27.678044569849277,85.30565088713844,74.5
residential,,27.677067560140948,85.30534190076455,172.78
residential,,27.67736530001332,85.30560700000072,203.39
residential,,27.677463027922737,85.30549251837603,178.47
residential,,27.676583750000773,85.3060515500024,139.41
residential,,27.677125150009253,85.30612470000241,164.54
residential,,27.67658789999623,85.30616300000662,141.68
residential,,27.677226950007718,85.30605694999689,111.92
residential,,27.677453024663276,85.30597079951777,149.21
residential,,27.677368879408455,85.30620955374972,295.95
residential,,27.677626866199343,85.30582013834372,343.85
residential,,27.676381972478655,85.30642753763034,94.54
residential,,27.67640522354417,85.3062053637597,227.58
residential,,27.67702558424936,85.30618002376994,114.04
residential,,27.677349397534023,85.30602263236688,106.98
residential,,27.676770793753093,85.30603525373962,153.31
residential,,27.67682115000455,85.30620915000812,116.67
residential,,27.676852655878875,85.30631616764585,144.41
yes,,27.676700708532167,85.31145474106589,112.89
yes,,27.676585632202254,85.31143174816289,94.89
yes,,27.674904200004978,85.32560455000223,62.41
yes,,27.674715517926757,85.32549680392594,138.28
educational,,27.677950050011937,85.32051909991681,225.0
college,,27.6790585388248,85.32113410762798,420.51
college,,27.67945188484943,85.32153732254358,439.87
college,,27.679357547591188,85.32119382383465,332.06
yes,Mental Hospital,27.667961648207182,85.32240643891332,418.94
yes,,27.683151308362326,85.31526514563764,635.63
government,Nepal Telecom Mobile Service Directorate,27.68000571780387,85.31758574119604,591.24
yes,,27.673738001088523,85.31394139772979,197.39
yes,Bike Parking,27.68214490229938,85.31993266784178,344.88
yes,Carpentry Department,27.680778800194073,85.31931528325306,417.18
yes,Center for Energy Studies,27.683249271976266,85.32084758595126,650.59
yes,Center for Information Technology,27.68169385003044,85.31913800001477,275.1
college,Department of Mechanical Engineering,27.682561726291276,85.32010920453956,1154.68
college,Department of Science and Humanities,27.682953800063743,85.32040065002066,590.93
yes,Heavy Lab,27.682090087228012,85.32047924791465,1001.53
yes,Hydropower Testing Laboratory,27.683460455537737,85.32053339415029,314.96
laboratory,Mechanical Workshop,27.681224686949133,85.31944657433318,897.92
yes,Pulchowk Campus Boy's Hostel,27.681802847770907,85.32392573443913,1003.13
yes,Pulchok Campus Girls Hostel,27.68314365966081,85.32407773779141,797.17
yes,Pulchok Campus Library,27.681587869087995,85.31959809104903,714.49
laboratory,Robotics Club,27.681344182712156,85.31908334933333,362.15
residential,,27.67631253655735,85.30425553094655,121.67
residential,,27.676746696117284,85.30374118260134,139.0
residential,,27.67650489747699,85.3052483695085,102.89
residential,,27.67678424021934,85.30515651943192,98.9
residential,,27.67677508655623,85.30387877264607,141.26
residential,,27.676736100012445,85.30533475000206,165.17
yes,,27.676664053745185,85.30447988100033,131.29
residential,,27.676673000009426,85.30570254999952,153.79
residential,,27.67643188055925,85.30520183647208,94.12
residential,,27.676512018361183,85.30480204391993,107.65
residential,,27.676430450010532,85.30476435000371,120.73
residential,,27.67710945001208,85.30474835000324,152.56
residential,,27.676851667371086,85.30497321367206,175.33
residential,,27.67723373236016,85.30444333432591,233.61
residential,,27.676712695007044,85.3055416210089,118.89
residential,,27.67682581788634,85.30398264729062,96.67
residential,,27.677156472473467,85.30461258039679,155.57
residential,,27.67668909632152,85.30507616085417,60.3
residential,,27.67627080001321,85.30543790000502,131.99
residential,,27.677827050010972,85.30409480000078,113.57
residential,,27.67663320001848,85.3048666999976,309.02
residential,,27.67693659706162,85.30476216819753,196.27
residential,,27.676548200005506,85.30500184999799,105.31
residential,,27.676647650005854,85.304167150005,70.78
residential,,27.676213950010975,85.30421440000895,95.28
residential,,27.676588900002177,85.30427844999289,47.61
residential,,27.67681842152294,85.30575785589993,104.16
residential,Stupa Colony,27.68742251190894,85.32576814158922,443.42
residential,Stupa Colony,27.687450409470742,85.32560380764407,213.85
government,,27.67883059230753,85.31701241246346,420.86
yes,,27.678686808516524,85.31800392135949,533.6
government,Dept of Water Induced Disaster Prevention (DWIDP),27.67834661904427,85.3168289871672,1097.3
yes,,27.677465799990294,85.31809119997833,169.62
house,,27.676740789115932,85.31725007331347,65.89
school,,27.6765734948605,85.31798688593152,576.72
school,,27.67663945005724,85.31889125005102,312.45
yes,,27.6778078999814,85.317057949966,292.21
yes,,27.677188650027116,85.31763835002667,226.43
school,,27.676397136247918,85.31828440354833,86.97
house,,27.676700548347444,85.31730824813535,46.47
school,Madan Smarak Girl's High School,27.676769481256397,85.3184984131375,48.85
apartments,Newari Kitchen,27.676620686399588,85.31742794947198,32.57
yes,,27.685579599996757,85.31582634999205,108.3
yes,,27.686052991436178,85.31692085587952,116.28
yes,Bottle Shop,27.686227587674637,85.31697504783752,119.64
yes,,27.68570999444426,85.31590037104483,186.76
yes,,27.68617094999865,85.3172064499841,160.21
yes,,27.686112275087666,85.31696936824689,94.38
yes,Agricultural Development Bank Ltd.,27.68639618664297,85.3170573144878,204.91
yes,Momo Palace And Fast Food,27.686520000017712,85.31722625000529,304.26
yes,Northern Ashok Stupa,27.677139465459195,85.32757676525982,393.12
yes,,27.678908099998498,85.3181872999945,78.35
yes,,27.67918852189857,85.31828905791352,153.61
yes,,27.67854744165627,85.31878314221372,388.01
yes,,27.6788865999994,85.31828354999627,73.81
school,,27.67827547624456,85.32158517878109,220.01
yes,,27.678983361523258,85.31865802461273,193.35
yes,,27.679027428959536,85.31822009564785,106.03
school,,27.677425649424553,85.31966373308863,645.39
yes,,27.691833215308232,85.31783661337737,196.14
yes,,27.67952707449668,85.31583512126076,822.37
yes,,27.681325299997397,85.3061843999688,335.67
yes,,27.678178581615725,85.31723675358309,545.82
yes,,27.670564390578583,85.32515457828717,463.79
yes,,27.68601061122364,85.31361115089982,81.32
yes,,27.6857122629367,85.31691301352127,421.59
apartments,,27.68636305000032,85.31594949999602,72.85
yes,,27.683758341043657,85.31422658713632,90.52
yes,,27.68661756883101,85.31471110486284,194.45
yes,,27.684311115739987,85.31430491201003,181.33
yes,Water Aid Nepal,27.686858400004926,85.3141996999989,94.92
yes,,27.686963350004312,85.31659925000041,62.13
yes,,27.684964886152493,85.31416972021972,139.17
yes,,27.68671147927551,85.31589389369424,103.05
yes,,27.684852682204212,85.31464574707671,111.69
yes,,27.686043566039427,85.31736297580608,108.72
yes,,27.685049507308012,85.3152303798076,117.41
apartments,,27.68677160802951,85.31492628287516,106.77
yes,,27.685610637226713,85.31530852472996,76.12
yes,,27.685153647178804,85.31510815643689,110.45
yes,,27.686219365449784,85.31436872565426,90.84
retail,,27.684862023834995,85.31285303251086,102.39
yes,,27.68530950001395,85.3153262000098,96.48
yes,,27.68519989497394,85.31527056842128,84.93
yes,,27.685619250003235,85.31518859999498,109.79
yes,,27.684603032291697,85.31468459777342,60.12
yes,,27.68382114253102,85.31546462795696,86.27
yes,,27.685028581622948,85.31627775745869,102.32
yes,,27.686799971387796,85.3159742618984,144.97
apartments,,27.686246470703015,85.31591206267174,53.88
yes,,27.6851007500033,85.31462709998914,121.46
yes,,27.686432754567228,85.31580573009211,84.38
yes,,27.68575090000888,85.31382580000914,96.56
yes,,27.686775869632548,85.31395600799958,114.62
yes,,27.683907550002047,85.31445874998758,86.2
yes,,27.684623431682777,85.31387020515818,122.97
yes,,27.685986900011923,85.31731170001095,61.7
yes,,27.684579598415414,85.31433546698266,104.03
yes,,27.683783610152922,85.31556892295926,114.13
yes,,27.684341000007553,85.31387714999858,123.0
yes,,27.687064673506242,85.31331745831686,125.73
yes,,27.684775656506623,85.31643672746299,141.65
yes,,27.685202150014174,85.31723535000395,142.92
yes,,27.685728820349862,85.31556235686833,64.51
yes,,27.685006850002832,85.31480359999122,104.26
yes,,27.684784300003315,85.31413830000344,52.72
yes,,27.68476902286632,85.3150568122247,106.32
yes,,27.685366254253395,85.31500218136993,89.97
apartments,,27.686326368476493,85.31574661025687,93.45
yes,,27.6847577500069,85.31394759999834,105.9
yes,,27.683948053772742,85.31487538257565,67.65
yes,,27.685083050003282,85.31389720000719,79.49
yes,,27.684783133354035,85.3161669925238,129.91
yes,,27.68569195000664,85.31571110000084,75.66
yes,,27.686916709048365,85.31398155059937,111.58
yes,,27.68550685000489,85.31505954999807,126.23
yes,,27.685637020849633,85.31554970991662,60.59
yes,,27.685245150002128,85.3156663999955,134.78
yes,,27.685152444847187,85.31758860529386,102.92
yes,,27.68588378350541,85.31369940061663,122.86
yes,,27.68654158490311,85.31339262491451,103.46
yes,,27.68657755000276,85.31588534999743,82.67
yes,,27.68450730000672,85.3140193666663,104.97
yes,,27.685767349999058,85.31530779998913,131.29
yes,,27.686574500010266,85.3148729000002,157.59
yes,,27.68556121123871,85.31485888157395,116.5
yes,,27.68465539999834,85.31658359998268,110.79
yes,,27.68574083831899,85.31541182540506,78.77
yes,,27.685202450006255,85.31427245000681,72.23
yes,,27.685994880764735,85.31462559369265,159.96
yes,,27.68581034999853,85.31521059998968,93.48
yes,,27.6846880928954,85.31440716655634,93.01
yes,,27.686184003105684,85.31392993194363,114.63
yes,,27.683508834314708,85.31441592757628,115.11
yes,,27.684619600007125,85.3136584499994,115.39
yes,,27.686782797993757,85.31328651756878,101.94
yes,,27.687014881195413,85.31643509424171,79.17
yes,,27.68480118273843,85.31763484827032,76.15
yes,,27.685097880900415,85.31739168958094,73.94
yes,,27.685709494949528,85.31482126899046,126.59
yes,,27.685040650004947,85.31502464999987,78.35
yes,,27.685887920363193,85.31542420812694,114.99
yes,,27.68463523334432,85.31423174989301,119.4
retail,,27.68473570001141,85.31275105000427,141.97
yes,,27.68572736879078,85.31505320790083,83.91
yes,,27.686058900007364,85.31413180000109,108.0
yes,,27.685441350002158,85.3153098499983,66.54
yes,,27.68673135001189,85.31436185000285,135.09
yes,,27.686878250005904,85.31337980000346,68.21
yes,,27.68493485000817,85.3162187000061,89.74
yes,,27.68538470000897,85.31484789999762,163.53
yes,,27.685936600008127,85.31477279999837,145.03
yes,,27.685561800009122,85.3172242000001,140.75
yes,,27.685354860286314,85.31740898090955,95.21
yes,,27.686610126161927,85.3144819341802,94.73
yes,,27.684750271053733,85.31380646115906,136.81
yes,,27.686376000005104,85.31508774999605,119.75
yes,,27.68553404614201,85.31735371859061,96.85
yes,,27.68517700337666,85.31650473056636,135.44
yes,,27.68471299319465,85.31716401286421,109.18
yes,,27.68425587137803,85.31493028894546,167.07
apartments,,27.686481100003686,85.31265529999881,67.18
yes,,27.683823082994174,85.3174404972623,112.59
yes,,27.686268247164737,85.3123827175757,29.94
yes,,27.68549445000242,85.3144412999943,70.71
yes,,27.683608825800675,85.31803995985982,62.44
yes,,27.686379631882858,85.31260209604713,46.78
yes,,27.685373600002237,85.31570339999672,95.95
yes,,27.684478894992758,85.31504932083944,224.01
yes,,27.683030509135307,85.31622817403334,119.52
yes,,27.68412256112054,85.31635912194217,125.15
yes,,27.68422280609684,85.31767702573146,138.66
yes,,27.683786268844216,85.31639068482673,155.15
yes,,27.68554745000101,85.3145479999957,43.29
yes,,27.684093550000927,85.3164597999931,90.39
yes,,27.685361950009543,85.31457685000711,74.39
yes,,27.68494888198565,85.31775354209238,94.94
yes,CIvil Engineering Research and Consultancy Pvt Ltd,27.686361784582864,85.31559392849455,87.58
yes,Active Design Consultancy,27.685316700004513,85.31514614999875,104.87
yes,,27.683689501117836,85.31696751629947,55.26
yes,,27.683869694260895,85.316595019154,63.46
yes,,27.68642865000474,85.31251244999957,76.84
yes,,27.68492643036923,85.31328043336961,239.73
yes,,27.686627395388406,85.31284686833429,60.11
yes,,27.68449015000754,85.3173805000047,87.57
yes,,27.685507648868803,85.31686751774683,146.21
yes,,27.683928800001624,85.3165042999959,77.23
yes,,27.683434657905845,85.31527513027292,93.81
retail,,27.686556702271123,85.31298468181336,130.27
yes,,27.68390170000596,85.3158848499985,111.89
yes,,27.68436980995055,85.31765672142271,104.47
yes,,27.686166300000473,85.31540304999423,74.78
yes,,27.685089050026257,85.31326210000903,199.64
yes,,27.683588423499636,85.31576150994546,91.47
yes,,27.68517465423836,85.31454864014621,105.71
yes,,27.683761343222972,85.31665451919477,78.43
yes,,27.687506683894295,85.31288376734159,450.38
yes,,27.684075302534605,85.31593817987448,135.4
yes,,27.686132150005932,85.31523410000527,46.81
yes,,27.687098571754447,85.31278520635604,337.5
yes,,27.684542816102628,85.31793162873174,99.46
yes,,27.684055518642392,85.31659045769929,110.3
yes,,27.683794100012733,85.31614845001008,99.61
yes,,27.68406805000892,85.31769395000414,103.38
yes,,27.6863352009424,85.31245063295482,69.16
yes,,27.68376016606538,85.31699995438541,67.87
yes,,27.6832214239915,85.31197375368825,203.79
yes,,27.685236950001084,85.31448574998745,82.44
yes,,27.686065769309433,85.31529561678975,70.28
yes,,27.683566433299525,85.3158628628147,88.54
apartments,,27.686508791839746,85.3125945675101,42.33
yes,,27.683494250009005,85.31681500000325,123.83
yes,Dev Harsha Niwas,27.685961017984926,85.31443951068125,117.04
yes,,27.683999881836307,85.3161561459561,77.75
yes,,27.684172651969575,85.3125252816832,109.57
yes,,27.683421420879014,85.31538701489909,111.5
yes,,27.68625642529626,85.31091841551158,297.8
yes,,27.6839792826207,85.3127738638279,101.38
yes,,27.68732613332192,85.31030844968065,105.94
yes,,27.683792748087317,85.31395993448261,115.86
yes,,27.68823975000244,85.3109342499972,85.85
retail,,27.683251767403114,85.31334095162501,94.25
yes,,27.68801460081614,85.31306790010177,72.05
yes,,27.68803329999954,85.3129573,89.72
yes,,27.681869550006844,85.31551994999367,170.85
yes,,27.687636689369857,85.31372557322645,113.8
yes,,27.687904450006094,85.31171785000059,84.93
yes,,27.684020550003986,85.31510334999952,67.45
yes,,27.682166345604465,85.31371294841712,106.72
