place_id,latitude,longitude,search_area,Demand,Accessibility,Competition,Population
BG_00000,27.695477749125185,85.32410974697163,Baneshwor,0.0884,0.3975,0.5248,0.1323
BG_00001,27.685024597626526,85.33823849179481,Baneshwor,0.341,0.5715,0.4218,0.4307
BG_00002,27.68693995009556,85.34905799021284,Baneshwor,0.2677,0.3638,0.475,0.3259
BG_00003,27.68281955710832,85.33522363074134,Baneshwor,0.3489,0.49,0.4868,0.5858
BG_00004,27.69306281600712,85.34193695921846,Baneshwor,0.3155,0.3665,0.503,0.5658
BG_00005,27.68089556190984,85.3405782845919,Baneshwor,0.2177,0.5292,0.4882,0.5786
BG_00006,27.685297187798017,85.34639778305296,Baneshwor,0.3514,0.4276,0.4558,0.3969
BG_00007,27.701967235892564,85.34742449673855,Baneshwor,0.1475,0.3175,0.5533,0.3689
BG_00008,27.68913746698102,85.33685277782108,Baneshwor,0.4471,0.5794,0.38,0.3951
BG_00009,27.69718503052841,85.32783833883254,Baneshwor,0.1814,0.4453,0.5042,0.3659
BG_00010,27.69115525780444,85.32867197413147,Baneshwor,0.2877,0.492,0.4919,0.4494
BG_00011,27.683124161200208,85.32924683207408,Baneshwor,0.3379,0.4334,0.5041,0.395
BG_00012,27.692055762734007,85.34939411021159,Baneshwor,0.1928,0.3432,0.5458,0.5078
BG_00013,27.692936316787755,85.35112664456823,Baneshwor,0.1953,0.4201,0.5759,0.4391
BG_00014,27.702685692696424,85.33483819132788,Baneshwor,0.2649,0.4508,0.4849,0.6348
BG_00015,27.683879790294583,85.33753155682535,Baneshwor,0.3367,0.6068,0.4385,0.5101
BG_00016,27.702723318918604,85.34710122935567,Baneshwor,0.1285,0.3085,0.5747,0.3423
BG_00017,27.69683720357416,85.34902694736807,Baneshwor,0.2227,0.4491,0.504,0.4871
BG_00018,27.682375237003846,85.33981921328878,Baneshwor,0.2376,0.5273,0.4951,0.5426
BG_00019,27.694372442705927,85.32833664067965,Baneshwor,0.2232,0.486,0.4923,0.3712
BG_00020,27.692928385573737,85.35231871819629,Baneshwor,0.1399,0.3672,0.579,0.3514
BG_00021,27.696583446704075,85.3233128819896,Baneshwor,0.0896,0.3618,0.539,0.109
BG_00022,27.692467224616408,85.35069223393278,Baneshwor,0.1889,0.3578,0.5722,0.4599
BG_00023,27.685092614117227,85.34033031254889,Baneshwor,0.2961,0.535,0.4416,0.4176
BG_00024,27.69543221531942,85.34009951769791,Baneshwor,0.3153,0.3982,0.4555,0.5058
BG_00025,27.692076961317984,85.33179348349962,Baneshwor,0.3661,0.5307,0.4036,0.4733
