bank_count_500m,bus_stop_count_500m,cinema_count_500m,clinic_count_500m,college_count_500m,hospital_count_500m,museum_count_500m,office_count_500m,parking_space_count_500m,recreation_count_500m,retail_count_500m,school_count_500m,temple_count_500m,competitor_count_500m,avg_restaurant_rating_500m,avg_review_ratings_500m,nearest_restaurant_m,place_id,latitude,longitude,search_area,restaurant_name,primary_type,searched_as
16,4,0,2,4,2,0,25,6,3,24,2,3,9,4.2444444444444445,87.55555555555556,159.16952495701358,BG_00000,27.695477749125185,85.32410974697163,Baneshwor,,,
27,4,1,32,38,15,0,64,8,20,76,20,14,36,4.302777777777777,159.27777777777777,58.0168284596929,BG_00001,27.685024597626526,85.33823849179481,Baneshwor,,,
22,1,0,23,16,9,1,63,2,9,81,23,9,22,4.245454545454546,124.18181818181819,105.87549733005687,BG_00002,27.68693995009556,85.34905799021284,Baneshwor,,,
23,1,0,31,24,7,1,93,3,23,108,22,15,22,4.377272727272727,106.45454545454545,165.1576607034658,BG_00003,27.682819557108317,85.33522363074134,Baneshwor,,,
12,2,0,31,25,7,0,71,0,12,104,39,15,21,4.373684210526315,51.89473684210526,171.35291516866758,BG_00004,27.69306281600712,85.34193695921846,Baneshwor,,,
5,0,0,17,8,5,0,64,4,26,65,17,18,15,4.346666666666667,94.53333333333333,90.42357105082613,BG_00005,27.680895561909836,85.3405782845919,Baneshwor,,,
25,1,0,37,27,11,1,81,3,19,99,31,8,26,4.342307692307692,106.38461538461539,66.36317425026155,BG_00006,27.685297187798017,85.34639778305296,Baneshwor,,,
5,0,0,14,7,8,0,35,4,10,36,18,11,7,4.357142857142857,72.85714285714286,267.76980364062456,BG_00007,27.701967235892564,85.34742449673855,Baneshwor,,,
58,7,3,58,46,18,0,62,9,16,67,25,9,56,4.25,237.03571428571428,127.718827208026,BG_00008,27.68913746698102,85.33685277782108,Baneshwor,,,
12,3,1,12,6,5,1,55,11,10,50,10,6,12,4.375,32.333333333333336,77.09944568331002,BG_00009,27.69718503052841,85.32783833883254,Baneshwor,,,
22,3,1,35,25,8,1,70,9,15,63,20,8,22,4.468181818181818,52.13636363636363,154.22471690840203,BG_00010,27.69115525780444,85.32867197413147,Baneshwor,,,
18,0,0,30,19,11,2,96,6,16,105,18,23,11,4.618181818181818,68.9090909090909,151.6509532756287,BG_00011,27.683124161200208,85.32924683207408,Baneshwor,,,
7,0,0,18,5,5,1,47,2,11,70,20,8,12,4.163636363636363,57.72727272727273,228.23989217452527,BG_00012,27.692055762734007,85.34939411021159,Baneshwor,,,
