place_id,latitude,longitude,search_area,Demand,Accessibility,Competition,Population,label
ChIJsZ5mY70Z6zkRRBczgL9a8ms,27.6995461,85.3376871,Baneshwor,0.2995,0.4165,0.485,0.4712,1
ChIJ5SO0EQ0Z6zkRTMnqUebrTqA,27.6922623,85.3364717,Baneshwor,0.4008,0.4903,0.4213,0.4351,1
ChIJTdMmLgAZ6zkR84zXOWwdgPE,27.6890639,85.3342954,Baneshwor,0.4458,0.5682,0.4101,0.4219,1
ChIJ3Ru72S8Z6zkR6JYG3tsYlGk,27.681549,85.3413401,Baneshwor,0.2319,0.535,0.4891,0.5552,1
ChIJJbL_SlQZ6zkRFWSjunPmuVU,27.6888123,85.3340805,Baneshwor,0.4351,0.5848,0.4088,0.426,1
ChIJp-pKxdsZ6zkR-2FrrJZPwUc,27.68712,85.33547639999999,Baneshwor,0.4537,0.6209,0.425,0.4117,1
ChIJV12M1MEZ6zkRtD1gakfrWgo,27.69235,85.32952759999999,Baneshwor,0.2666,0.4765,0.475,0.428,1
ChIJ2e9eEnYZ6zkRnuoRZipkN10,27.6873502,85.34074369999999,Baneshwor,0.378,0.5624,0.4724,0.3888,1
ChIJE5msHtMZ6zkRBPypp6QNiHY,27.6986722,85.3289875,Baneshwor,0.2043,0.4455,0.5031,0.4645,1
ChIJUdLoahQZ6zkRJ17GMqk5GQM,27.6940265,85.33905229999999,Baneshwor,0.369,0.3867,0.4584,0.5028,1
ChIJT7TgRXEZ6zkRDjURef5wPTg,27.6938244,85.3292669,Baneshwor,0.2462,0.504,0.4964,0.4119,1
ChIJaZxtbJkZ6zkRjJJmY9US5w0,27.6983381,85.3385308,Baneshwor,0.3031,0.3931,0.4675,0.4692,1
ChIJQ1Uw7b8Z6zkR-fjNfHeUMgQ,27.6863705,85.3423227,Baneshwor,0.3957,0.5343,0.4509,0.418,1
ChIJiwBJWG4Z6zkRxWAyrzZaK4U,27.6881305,85.3340005,Baneshwor,0.4398,0.5851,0.4186,0.433,1
ChIJl_lo45kZ6zkRmA7XMScQoJA,27.6856663,85.33048570000001,Baneshwor,0.3726,0.4355,0.4671,0.4509,1
ChIJU16JVQAZ6zkRbixPQkCWeeA,27.692385,85.32963900000001,Baneshwor,0.2687,0.4769,0.4753,0.4297,1
ChIJzXwsDQAZ6zkR45Tf2u0R-2s,27.6985325,85.34750729999999,Baneshwor,0.2482,0.4619,0.5149,0.4773,1
ChIJaQ7iRAcZ6zkRa8Q9aF7u9UE,27.6947152,85.33714719999999,Baneshwor,0.3587,0.4223,0.452,0.5072,1
ChIJhY44foAZ6zkRnK2N8ZZeSpw,27.6819269,85.3338828,Baneshwor,0.3345,0.4618,0.4917,0.5115,1
