place_id,latitude,longitude,search_area,Demand,Accessibility,Competition,Population,label,Demand_contribution,Accessibility_contribution,Competition_contribution,Population_contribution,feasibility_score,cluster,feasibility_label
ChIJsZ5mY70Z6zkRRBczgL9a8ms,27.6995461,85.3376871,Baneshwor,0.2995,0.4165,0.485,0.4712,1,0.18998121568217105,0.04835651278145976,0.05585971882171076,0.15725046180565325,45.144790909099484,1,High
ChIJ5SO0EQ0Z6zkRTMnqUebrTqA,27.6922623,85.3364717,Baneshwor,0.4008,0.4903,0.4213,0.4351,1,0.25423863521006396,0.05692484565846273,0.04296278482771665,0.14520304739312337,49.932931308936666,1,High
ChIJTdMmLgAZ6zkR84zXOWwdgPE,27.6890639,85.3342954,Baneshwor,0.4458,0.5682,0.4101,0.4219,1,0.28278339215730164,0.06596919702863252,0.04069519203756384,0.14079789863286313,53.024567985636104,1,High
ChIJ3Ru72S8Z6zkR6JYG3tsYlGk,27.681549,85.3413401,Baneshwor,0.2319,0.535,0.4891,0.5552,1,0.14710064746809837,0.06211460825469623,0.056689819753820266,0.18528322664367294,45.11883021202878,1,High
ChIJJbL_SlQZ6zkRFWSjunPmuVU,27.6888123,85.3340805,Baneshwor,0.4351,0.5848,0.4088,0.426,1,0.2759960832831807,0.06789649141560065,0.04043198930299253,0.14216616453567124,52.649072853744514,1,High
ChIJp-pKxdsZ6zkR-2FrrJZPwUc,27.68712,85.33547639999999,Baneshwor,0.4537,0.6209,0.425,0.4117,1,0.2877945828213723,0.07208777619689885,0.043711900303034984,0.1373939200453893,54.09881793666954,1,High
ChIJV12M1MEZ6zkRtD1gakfrWgo,27.69235,85.32952759999999,Baneshwor,0.2666,0.4765,0.475,0.428,1,0.16911182671407948,0.05532263707170607,0.05383508240193147,0.14283361131752884,42.110315750524585,0,Moderate
ChIJ2e9eEnYZ6zkRnuoRZipkN10,27.6873502,85.34074369999999,Baneshwor,0.378,0.5624,0.4724,0.3888,1,0.23977595835679685,0.0652958050139087,0.05330867693278885,0.12975165439311964,48.81320946966141,1,High
ChIJE5msHtMZ6zkRBPypp6QNiHY,27.6986722,85.3289875,Baneshwor,0.2043,0.4455,0.5031,0.4645,1,0.12959319654045925,0.05172347285507881,0.05952431074151128,0.15501451508643027,39.58554952234796,0,Moderate
ChIJUdLoahQZ6zkRJ17GMqk5GQM,27.6940265,85.33905229999999,Baneshwor,0.369,0.3867,0.4584,0.5028,1,0.2340670069673493,0.04489667105063744,0.050474185945097824,0.1677961209590035,49.7233984922088,1,High
ChIJT7TgRXEZ6zkRDjURef5wPTg,27.6938244,85.3292669,Baneshwor,0.2462,0.504,0.4964,0.4119,1,0.15617153689799837,0.05851544403806896,0.05816780434025916,0.13746066472357507,41.03154499999015,0,Moderate
ChIJaZxtbJkZ6zkRjJJmY9US5w0,27.6983381,85.3385308,Baneshwor,0.3031,0.3931,0.4675,0.4692,1,0.19226479623795006,0.04563972430826371,0.052316605087097,0.15658301502379565,44.680414065710636,1,High
ChIJQ1Uw7b8Z6zkR-fjNfHeUMgQ,27.6863705,85.3423227,Baneshwor,0.3957,0.5343,0.4509,0.418,1,0.2510035627560437,0.062033336804643346,0.04895570863026337,0.13949637740824078,50.14889855991912,1,High
ChIJiwBJWG4Z6zkRxWAyrzZaK4U,27.6881305,85.3340005,Baneshwor,0.4398,0.5851,0.4186,0.433,1,0.27897742456433666,0.06793132203705188,0.04241613299437624,0.14450222827217288,53.382710786793766,1,High
ChIJl_lo45kZ6zkRmA7XMScQoJA,27.6856663,85.33048570000001,Baneshwor,0.3726,0.4355,0.4671,0.4509,1,0.23635058752312832,0.05056245214003776,0.052235619630305825,0.1504758769697985,48.96245362632704,1,High
ChIJU16JVQAZ6zkRbixPQkCWeeA,27.692385,85.32963900000001,Baneshwor,0.2687,0.4769,0.4753,0.4297,1,0.17044391537161724,0.05536907790030772,0.05389582149452484,0.14340094108210782,42.31097558485576,0,Moderate
ChIJzXwsDQAZ6zkR45Tf2u0R-2s,27.6985325,85.34750729999999,Baneshwor,0.2482,0.4619,0.5149,0.4773,1,0.15744019276232005,0.05362754682774614,0.06191338171685086,0.15928617449031895,43.226729579723596,0,Moderate
ChIJaQ7iRAcZ6zkRa8Q9aF7u9UE,27.6947152,85.33714719999999,Baneshwor,0.3587,0.4223,0.452,0.5072,1,0.22753342926609268,0.04902990479618358,0.04917841863643909,0.16926450387909026,49.50062565778056,1,High
ChIJhY44foAZ6zkRnK2N8ZZeSpw,27.6819269,85.3338828,Baneshwor,0.3345,0.4618,0.4917,0.5115,1,0.21218269330780037,0.053615936620595724,0.057216225222962894,0.1706995144600841,49.37143696114431,1,High
ChIJUYaFdQAZ6zkRdiX3RNcV6oo,27.6868592,85.33516879999999,Baneshwor,0.4497,0.6287,0.4253,0.4322,1,0.28525727109272897,0.07299337235463087,0.04377263939562837,0.14423524955942982,54.62585324024181,1,High
ChIJqZEtpcUZ6zkRmS5Wlt1PmdM,27.6886901,85.3325567,Baneshwor,0.4313,0.5809,0.4206,0.4566,1,0.27358563714096956,0.06744369333673464,0.042821060278332095,0.15237810029809268,53.622849105412904,1,High
ChIJSQmoTAAZ6zkRJ6sGSgiP0fs,27.6893777,85.3301091,Baneshwor,0.3365,0.5159,0.4433,0.4918,1,0.21345134917212205,0.059897058688967816,0.047416984951231096,0.16412516365878665,48.48905564711076,1,High
ChIJ6YU05q8Z6zkRPnhsAP4XPIs,27.6945403,85.32288700000001,Baneshwor,0.0754,0.3979,0.5407,0.1435,1,0.0478283260849272,0.04619701425148341,0.06713694367988143,0.04788930659828362,20.905159061457564,2,Low
ChIJq6rYKAAZ6zkRLMeXLQhnzJk,27.6940205,85.3371767,Baneshwor,0.3771,0.4094,0.4475,0.49,1,0.2392050632178521,0.047532188073780623,0.0482673322475384,0.1635244615551148,49.8529045094286,1,High
ChIJI8MhiKUZ6zkRNNug_VFzHJ4,27.698655100000003,85.3380328,Baneshwor,0.3036,0.3901,0.4714,0.4692,1,0.19258196020403048,0.045291418093751395,0.053106213290810916,0.15658301502379565,44.75626066123885,1,High
ChIJcxurJwAZ6zkRPb6_3KNRysE,27.6874464,85.3381508,Baneshwor,0.3956,0.6273,0.4063,0.414,1,0.2509401299628276,0.07283082945452511,0.039925830198047706,0.13816148384452556,50.18582734599259,1,High
ChIJO4CS7SwZ6zkR-rr8ndcz54g,27.6889493,85.3355753,Baneshwor,0.4277,0.6066,0.4157,0.383,1,0.2713020565851906,0.07042751657439014,0.04182898843264024,0.1278160587257326,51.137462031795366,1,High
ChIJdbPL25kZ6zkRNOQ57OZRrGM,27.6815962,85.3373002,Baneshwor,0.2832,0.5349,0.4756,0.5563,1,0.1796416703879494,0.062102998047545814,0.05395656058711823,0.1856503223736946,48.135155139630804,1,High
ChIJPyMpSZIZ6zkRe-SLnRb1uSE,27.6878285,85.3414714,Baneshwor,0.3941,0.5057,0.4453,0.4038,1,0.24998863806458638,0.05871281755962595,0.047821912235186954,0.13475750525705174,49.128087311645096,1,High
ChIJHeXQ6oEZ6zkRNeqTWTMOBRc,27.6928302,85.3364952,Baneshwor,0.3843,0.41,0.4254,0.4577,1,0.2437722243294101,0.047601849316683084,0.04379288575982616,0.15274519602811437,48.79121554340337,1,High
ChIJB_6lr5cZ6zkRXOmPpVqupIw,27.6919853,85.33631729999999,Baneshwor,0.4372,0.499,0.4157,0.4262,1,0.27732817194071846,0.05793493368054843,0.04182898843264024,0.142232909213857,51.932500326776406,1,High
ChIJIXTLk-oZ6zkRM_UvXojy59Y,27.692381,85.32941269999999,Baneshwor,0.2687,0.4986,0.4752,0.4248,1,0.17044391537161724,0.0578884928519468,0.05387557513032706,0.14176569646655668,42.39736798204478,0,Moderate
ChIJ_9rWM_MZ6zkRWHeOJLjzOkI,27.6922436,85.336505,Baneshwor,0.4053,0.4909,0.4186,0.435,1,0.25709311090478776,0.05699450690136519,0.04241613299437624,0.14516967505403047,50.16734258545596,1,High
ChIJXZJdH6MZ6zkRe54E_8Ro9yk,27.7038502,85.3416195,Baneshwor,0.2333,0.3635,0.503,0.4318,1,0.14798870657312355,0.0422031029917422,0.059504064377313495,0.14410176020305832,39.37976341452376,0,Moderate
ChIJ33mHTwAZ6zkRBft5JQ8BqJc,27.6858637,85.3455085,Baneshwor,0.3763,0.4473,0.4359,0.4311,1,0.23869760087212347,0.05193245658378621,0.04591875400059442,0.14386815382940812,48.041696528591224,1,High
ChIJHQw2KNYZ6zkRtKNtnylpaFc,27.6999583,85.3438303,Baneshwor,0.2522,0.4051,0.5076,0.4906,1,0.1599775044909634,0.047032949166312975,0.060435397130411975,0.16372469558967206,43.11705463773604,0,Moderate
ChIJy17xWwAZ6zkR2ptUugJs7DU,27.6946273,85.3277106,Baneshwor,0.2046,0.5017,0.487,0.3381,1,0.12978349492010752,0.058248409273609525,0.056264646105666616,0.11283187847302921,35.712842877241286,0,Moderate
ChIJmWX9DAAZ6zkRn1wiTbVCrlM,27.6866837,85.326116,Baneshwor,0.256,0.3623,0.4982,0.3685,1,0.1623879506331746,0.04206378050593727,0.058532238895819426,0.1229770695572649,38.59610395921962,0,Moderate
ChIJJcNz4b0Z6zkR8IBFFGdNSZQ,27.6885102,85.333214,Baneshwor,0.4441,0.5337,0.4191,0.4502,1,0.28170503467262825,0.061963675561740886,0.0425173648153652,0.15024227059614834,53.64283456458827,1,High
ChIJXz5ivb4Z6zkRvZy9V0I4NC8,27.6873859,85.33737670000001,Baneshwor,0.405,0.6204,0.4055,0.4038,1,0.25690281252513947,0.0720297251611468,0.03976385928446537,0.13475750525705174,50.34539022278034,1,High
ChIJE5VkUhIZ6zkRXsCI3-SsG8o,27.6888877,85.3315252,Baneshwor,0.411,0.5741,0.4319,0.4719,1,0.2607087801181045,0.06665419925050674,0.045108899432682696,0.1574840681793034,52.99559469805973,1,High
ChIJcReqS_wZ6zkR2Js-C_kGTKY,27.6927958,85.3266562,Baneshwor,0.2008,0.5031,0.5025,0.3587,1,0.12737304877789635,0.058410952173715266,0.05940283255632452,0.11970658032616262,36.48934138340987,0,Moderate
