bank_count_500m,bus_stop_count_500m,cinema_count_500m,clinic_count_500m,college_count_500m,hospital_count_500m,museum_count_500m,office_count_500m,parking_space_count_500m,recreation_count_500m,retail_count_500m,school_count_500m,temple_count_500m,competitor_count_500m,avg_restaurant_rating_500m,avg_review_ratings_500m,nearest_restaurant_m,place_id,latitude,longitude,search_area,primary_type,searched_as,label
26,1,0,44,22,9,1,54,5,21,52,35,15,20,4.265000000000001,87.7,66.35792047348987,ChIJsZ5mY70Z6zkRRBczgL9a8ms,27.6995461,85.3376871,Baneshwor,restaurant,restaurant,1
43,4,1,46,37,13,1,66,6,16,80,40,13,44,4.247727272727273,159.47727272727272,3.883478478190665,ChIJ5SO0EQ0Z6zkRTMnqUebrTqA,27.6922623,85.3364717,Baneshwor,restaurant,restaurant,1
57,6,3,65,49,12,1,68,9,15,66,28,6,48,4.23125,201.10416666666663,35.02215743259268,ChIJTdMmLgAZ6zkR84zXOWwdgPE,27.6890639,85.3342954,Baneshwor,restaurant,restaurant,1
5,0,0,23,6,4,0,66,4,26,78,16,17,14,4.371428571428572,83.21428571428571,5.217717490207539,ChIJ3Ru72S8Z6zkR6JYG3tsYlGk,27.681549,85.3413401,Baneshwor,restaurant,restaurant,1
55,6,3,66,46,11,1,65,10,15,64,27,7,47,4.270212765957447,200.89361702127655,35.02215743259268,ChIJJbL_SlQZ6zkRFWSjunPmuVU,27.6888123,85.3340805,Baneshwor,restaurant,restaurant,1
51,6,2,60,44,15,1,76,11,14,91,27,9,40,4.2675,181.45,8.056989879533248,ChIJp-pKxdsZ6zkR-2FrrJZPwUc,27.68712,85.33547639999999,Baneshwor,barbecue_restaurant,restaurant,1
20,2,0,31,24,4,1,72,10,13,67,21,10,22,4.477272727272728,41.95454545454545,11.652110409892927,ChIJV12M1MEZ6zkRtD1gakfrWgo,27.69235,85.32952759999999,Baneshwor,restaurant,restaurant,1
21,5,0,41,37,20,0,81,6,21,104,18,13,27,4.330769230769231,46.34615384615385,29.7023843691526,ChIJ2e9eEnYZ6zkRnuoRZipkN10,27.6873502,85.34074369999999,Baneshwor,restaurant,restaurant,1
12,2,1,14,11,5,2,46,8,14,55,18,8,12,4.491666666666666,19.5,93.54178884698324,ChIJE5msHtMZ6zkRBPypp6QNiHY,27.6986722,85.3289875,Baneshwor,restaurant,restaurant,1
32,0,1,41,33,12,1,68,3,18,71,41,12,32,4.2548387096774185,141.83870967741936,134.34933086730928,ChIJUdLoahQZ6zkRJ17GMqk5GQM,27.6940265,85.33905229999999,Baneshwor,restaurant,restaurant,1
