feature,criterion_type,entropy,divergence,weight
cinema_count_500m,Benefit,0.8535030822875836,0.14649691771241635,0.1769182086652755
museum_count_500m,Benefit,0.8670343368261739,0.13296566317382608,0.16057707772994267
bus_stop_count_500m,Benefit,0.928183277880105,0.07181672211989498,0.08673005567670598
parking_space_count_500m,Benefit,0.9386365458994096,0.06136345410059041,0.07410608049994612
temple_count_500m,Benefit,0.942177696106747,0.057822303893253046,0.06982958130064797
college_count_500m,Benefit,0.9426488181542526,0.05735118184574739,0.06926062688161344
bank_count_500m,Benefit,0.9428935284247328,0.05710647157526716,0.06896510050896752
nearest_restaurant_m,Benefit,0.9541861810360744,0.04581381896392556,0.055327435619664043
clinic_count_500m,Benefit,0.9619152009030654,0.03808479909693463,0.04599342115056326
office_count_500m,Benefit,0.9651696186642894,0.03483038133571059,0.0420631967502487
hospital_count_500m,Benefit,0.9655941512680767,0.034405848731923316,0.04155050645645364
recreation_count_500m,Benefit,0.9706831471131412,0.029316852886858813,0.03540473873060111
school_count_500m,Benefit,0.9757241548561836,0.02427584514381642,0.029316924231202572
retail_count_500m,Benefit,0.9799114947326153,0.020088505267384704,0.024260048758469075
avg_restaurant_rating_500m,Cost,0.9904256088061787,0.009574391193821308,0.0115625923433875
competitor_count_500m,Cost,0.9935958748376014,0.006404125162398633,0.00773399447232025
avg_review_ratings_500m,Cost,0.9996684407779295,0.0003315592220705099,0.0004004102239906393
