place_id,restaurant_name,latitude,longitude,search_area,building_count_500m,Demand,Accessibility,Competition,Population
ChIJsZ5mY70Z6zkRRBczgL9a8ms,JAR - Just Another Restaurant,27.6995461,85.3376871,Baneshwor,2695,0.2995,0.4165,0.485,0.4712
ChIJ5SO0EQ0Z6zkRTMnqUebrTqA,Drishya Lounge - Best Lounge in New Baneshwor,27.6922623,85.3364717,Baneshwor,2489,0.4008,0.4903,0.4213,0.4351
ChIJTdMmLgAZ6zkR84zXOWwdgPE,Pink Putali Restaurant & Bar,27.6890639,85.3342954,Baneshwor,2413,0.4458,0.5682,0.4101,0.4219
ChIJ3Ru72S8Z6zkR6JYG3tsYlGk,Munch N More Restaurant and Bar,27.681549,85.3413401,Baneshwor,3176,0.2319,0.535,0.4891,0.5552
ChIJJbL_SlQZ6zkRFWSjunPmuVU,27 Degree North Restaurant,27.6888123,85.3340805,Baneshwor,2437,0.4351,0.5848,0.4088,0.426
ChIJp-pKxdsZ6zkR-2FrrJZPwUc,Vertigo BBQ,27.68712,85.33547639999999,Baneshwor,2355,0.4537,0.6209,0.425,0.4117
ChIJV12M1MEZ6zkRtD1gakfrWgo,Gaunghar restaurant,27.69235,85.32952759999999,Baneshwor,2448,0.2666,0.4765,0.475,0.428
ChIJ2e9eEnYZ6zkRnuoRZipkN10,"Jimbu Thakali by Capital Grill, New Baneshwor",27.6873502,85.34074369999999,Baneshwor,2224,0.378,0.5624,0.4724,0.3888
ChIJE5msHtMZ6zkRBPypp6QNiHY,Dalo Delights,27.6986722,85.3289875,Baneshwor,2657,0.2043,0.4455,0.5031,0.4645
ChIJUdLoahQZ6zkRJ17GMqk5GQM,Tha Chhen Restaurant,27.6940265,85.33905229999999,Baneshwor,2876,0.369,0.3867,0.4584,0.5028
ChIJT7TgRXEZ6zkRDjURef5wPTg,D3 RESTAURANT,27.6938244,85.3292669,Baneshwor,2356,0.2462,0.504,0.4964,0.4119
ChIJaZxtbJkZ6zkRjJJmY9US5w0,Wonderland Restaurant,27.6983381,85.3385308,Baneshwor,2684,0.3031,0.3931,0.4675,0.4692
ChIJQ1Uw7b8Z6zkR-fjNfHeUMgQ,Friends Restaurant,27.6863705,85.3423227,Baneshwor,2391,0.3957,0.5343,0.4509,0.418
ChIJiwBJWG4Z6zkRxWAyrzZaK4U,Thakkhola Thakali Cuisine New Baneshwor,27.6881305,85.3340005,Baneshwor,2477,0.4398,0.5851,0.4186,0.433
ChIJl_lo45kZ6zkRmA7XMScQoJA,D Mandala Bites cafe and restaurant,27.6856663,85.33048570000001,Baneshwor,2579,0.3726,0.4355,0.4671,0.4509
ChIJU16JVQAZ6zkRbixPQkCWeeA,Restaurant Anamnagar,27.692385,85.32963900000001,Baneshwor,2458,0.2687,0.4769,0.4753,0.4297
ChIJzXwsDQAZ6zkR45Tf2u0R-2s,Matka Sekuwa Family Restaurant,27.6985325,85.34750729999999,Baneshwor,2730,0.2482,0.4619,0.5149,0.4773
ChIJaQ7iRAcZ6zkRa8Q9aF7u9UE,Timmure Mid-Baneshwor,27.6947152,85.33714719999999,Baneshwor,2901,0.3587,0.4223,0.452,0.5072
ChIJhY44foAZ6zkRnK2N8ZZeSpw,Crimson Cafe and Restaurant,27.6819269,85.3338828,Baneshwor,2926,0.3345,0.4618,0.4917,0.5115
ChIJUYaFdQAZ6zkRdiX3RNcV6oo,Point Baneshwor Restaurant,27.6868592,85.33516879999999,Baneshwor,2472,0.4497,0.6287,0.4253,0.4322
ChIJqZEtpcUZ6zkRmS5Wlt1PmdM,Hunger Hub Restaurant and Bar,27.6886901,85.3325567,Baneshwor,2612,0.4313,0.5809,0.4206,0.4566
ChIJSQmoTAAZ6zkRJ6sGSgiP0fs,Ras Raag Restaurant,27.6893777,85.3301091,Baneshwor,2813,0.3365,0.5159,0.4433,0.4918
ChIJ6YU05q8Z6zkRPnhsAP4XPIs,Mulchowk Restaurant,27.6945403,85.32288700000001,Baneshwor,821,0.0754,0.3979,0.5407,0.1435
ChIJq6rYKAAZ6zkRLMeXLQhnzJk,The Goal Post Restaurant,27.6940205,85.3371767,Baneshwor,2803,0.3771,0.4094,0.4475,0.49
ChIJI8MhiKUZ6zkRNNug_VFzHJ4,Pong Restaurant,27.698655100000003,85.3380328,Baneshwor,2684,0.3036,0.3901,0.4714,0.4692
ChIJcxurJwAZ6zkRPb6_3KNRysE,"Alcove Restaurant , a Sanctuary",27.6874464,85.3381508,Baneshwor,2368,0.3956,0.6273,0.4063,0.414
ChIJO4CS7SwZ6zkR-rr8ndcz54g,New Reshunga Cafe & Stick Food House,27.6889493,85.3355753,Baneshwor,2191,0.4277,0.6066,0.4157,0.383
ChIJdbPL25kZ6zkRNOQ57OZRrGM,KGF Restaurant (Krispy Grill Factory),27.6815962,85.3373002,Baneshwor,3182,0.2832,0.5349,0.4756,0.5563
ChIJPyMpSZIZ6zkRe-SLnRb1uSE,Fat mama's Restaurant & Lounge bar,27.6878285,85.3414714,Baneshwor,2310,0.3941,0.5057,0.4453,0.4038
ChIJHeXQ6oEZ6zkRNeqTWTMOBRc,The Gaga Restaurant,27.6928302,85.3364952,Baneshwor,2618,0.3843,0.41,0.4254,0.4577
ChIJB_6lr5cZ6zkRXOmPpVqupIw,Anytime Burger Baneshwor,27.6919853,85.33631729999999,Baneshwor,2438,0.4372,0.499,0.4157,0.4262
ChIJIXTLk-oZ6zkRM_UvXojy59Y,Red Chilly Cafe & Restaurant,27.692381,85.32941269999999,Baneshwor,2430,0.2687,0.4986,0.4752,0.4248
ChIJ_9rWM_MZ6zkRWHeOJLjzOkI,Food Garden,27.6922436,85.336505,Baneshwor,2488,0.4053,0.4909,0.4186,0.435
ChIJXZJdH6MZ6zkRe54E_8Ro9yk,Coriander the Restaurant,27.7038502,85.3416195,Baneshwor,2470,0.2333,0.3635,0.503,0.4318
ChIJ33mHTwAZ6zkRBft5JQ8BqJc,Royal 66 Bar & Restaurant,27.6858637,85.3455085,Baneshwor,2466,0.3763,0.4473,0.4359,0.4311
ChIJHQw2KNYZ6zkRtKNtnylpaFc,Hideaway Restaurant,27.6999583,85.3438303,Baneshwor,2806,0.2522,0.4051,0.5076,0.4906
