place_id,latitude,longitude,primary_type,search_area,searched_as,bank_count_500m,bus_stop_count_500m,cinema_count_500m,clinic_count_500m,college_count_500m,hospital_count_500m,museum_count_500m,office_count_500m,parking_space_count_500m,recreation_count_500m,retail_count_500m,school_count_500m,temple_count_500m,competitor_count_500m,avg_restaurant_rating_500m,avg_review_ratings_500m,nearest_restaurant_m
ChIJsZ5mY70Z6zkRRBczgL9a8ms,27.6995461,85.3376871,restaurant,Baneshwor,restaurant,26,1,0,44,22,9,1,53,5,21,52,35,15,20,4.265,87.7,66.24046147681823
ChIJ5SO0EQ0Z6zkRTMnqUebrTqA,27.6922623,85.3364717,restaurant,Baneshwor,restaurant,43,4,1,46,36,12,1,66,6,16,80,39,13,44,4.247727272727272,159.47727272727272,3.8824334514012726
ChIJTdMmLgAZ6zkR84zXOWwdgPE,27.6890639,85.3342954,restaurant,Baneshwor,restaurant,57,6,3,65,49,12,1,67,9,15,65,28,6,47,4.23404255319149,204.25531914893617,35.07719456602972
ChIJ3Ru72S8Z6zkR6JYG3tsYlGk,27.681549,85.3413401,restaurant,Baneshwor,restaurant,5,0,0,23,6,4,0,66,4,26,77,16,17,14,4.371428571428572,83.21428571428571,5.22327030966246
ChIJJbL_SlQZ6zkRFWSjunPmuVU,27.6888123,85.3340805,restaurant,Baneshwor,restaurant,55,6,3,66,46,11,1,65,10,15,64,27,7,47,4.270212765957448,200.89361702127655,35.07719456602972
ChIJp-pKxdsZ6zkR-2FrrJZPwUc,27.68712,85.33547639999999,barbecue_restaurant,Baneshwor,restaurant,51,6,2,60,44,15,1,76,11,14,91,27,9,40,4.2675,181.45,8.046850782790877
ChIJV12M1MEZ6zkRtD1gakfrWgo,27.69235,85.32952759999999,restaurant,Baneshwor,restaurant,20,2,0,31,24,4,1,72,10,13,67,21,10,22,4.477272727272728,41.95454545454545,11.63823692241753
ChIJ2e9eEnYZ6zkRnuoRZipkN10,27.6873502,85.34074369999999,restaurant,Baneshwor,restaurant,21,5,0,41,37,20,0,81,6,21,104,18,13,27,4.330769230769231,46.34615384615385,29.795274573325745
ChIJE5msHtMZ6zkRBPypp6QNiHY,27.6986722,85.3289875,restaurant,Baneshwor,restaurant,12,2,1,14,11,5,2,46,8,14,54,18,8,12,4.491666666666666,19.5,93.8538894708594
ChIJUdLoahQZ6zkRJ17GMqk5GQM,27.6940265,85.33905229999999,restaurant,Baneshwor,restaurant,32,0,1,41,33,12,1,68,3,18,71,41,12,31,4.23,146.53333333333333,134.38911895102314
ChIJT7TgRXEZ6zkRDjURef5wPTg,27.6938244,85.3292669,family_restaurant,Baneshwor,restaurant,20,2,1,22,18,5,1,65,13,15,56,17,9,17,4.41764705882353,23.94117647058824,102.83944061783454
ChIJaZxtbJkZ6zkRjJJmY9US5w0,27.6983381,85.3385308,fast_food_restaurant,Baneshwor,restaurant,22,0,0,43,22,10,1,66,4,15,58,38,12,27,4.25925925925926,97.44444444444444,33.52658561815738
ChIJQ1Uw7b8Z6zkR-fjNfHeUMgQ,27.6863705,85.3423227,restaurant,Baneshwor,restaurant,26,4,0,45,29,18,1,66,5,22,124,22,11,26,4.392307692307692,178.53846153846155,64.67012772142456
ChIJiwBJWG4Z6zkRxWAyrzZaK4U,27.6881305,85.3340005,restaurant,Baneshwor,restaurant,56,6,2,65,48,12,1,64,9,16,71,28,10,44,4.302272727272728,174.11363636363637,47.7549483853438
ChIJl_lo45kZ6zkRmA7XMScQoJA,27.6856663,85.33048570000001,restaurant,Baneshwor,restaurant,31,0,1,48,30,7,1,89,8,16,90,24,14,25,4.303999999999999,186.76,257.32048580377534
ChIJU16JVQAZ6zkRbixPQkCWeeA,27.692385,85.32963900000001,fast_food_restaurant,Baneshwor,restaurant,21,2,0,31,25,4,1,72,10,13,67,21,9,22,4.4727272727272736,41.59090909090909,11.63823692241753
ChIJzXwsDQAZ6zkR45Tf2u0R-2s,27.6985325,85.34750729999999,restaurant,Baneshwor,restaurant,9,3,0,32,10,13,1,53,4,15,65,23,16,7,4.342857142857143,72.57142857142857,149.207758440061
ChIJaQ7iRAcZ6zkRa8Q9aF7u9UE,27.6947152,85.33714719999999,barbecue_restaurant,Baneshwor,restaurant,33,1,1,35,28,9,1,72,4,21,73,41,9,31,4.316129032258065,121.93548387096774,26.947464826565724
ChIJhY44foAZ6zkRnK2N8ZZeSpw,27.6819269,85.3338828,restaurant,Baneshwor,restaurant,16,1,0,30,17,9,1,89,3,27,96,18,33,15,4.319999999999999,108.86666666666666,115.40520895182772
ChIJUYaFdQAZ6zkRdiX3RNcV6oo,27.6868592,85.33516879999999,restaurant,Baneshwor,restaurant,51,6,2,60,46,17,1,76,11,13,81,28,9,39,4.25897435897436,198.3846153846154,21.39335738047324
ChIJqZEtpcUZ6zkRmS5Wlt1PmdM,27.6886901,85.3325567,restaurant,Baneshwor,restaurant,55,5,2,64,45,12,1,65,11,17,64,32,8,44,4.268181818181818,172.9318181818182,49.66981686457736
ChIJSQmoTAAZ6zkRJ6sGSgiP0fs,27.6893777,85.3301091,restaurant,Baneshwor,restaurant,28,2,1,45,33,10,2,65,12,14,72,26,7,25,4.344,231.36,10.12180122854291
ChIJ6YU05q8Z6zkRPnhsAP4XPIs,27.6945403,85.32288700000001,restaurant,Baneshwor,restaurant,13,5,0,2,7,3,0,13,1,3,21,0,3,4,4.125,73.5,303.58457009088403
ChIJq6rYKAAZ6zkRLMeXLQhnzJk,27.6940205,85.3371767,fast_food_restaurant,Baneshwor,restaurant,38,1,1,39,29,11,1,73,3,19,77,39,9,32,4.268750000000001,143.3125,6.525193090242588
ChIJI8MhiKUZ6zkRNNug_VFzHJ4,27.698655100000003,85.3380328,restaurant,Baneshwor,restaurant,22,0,0,44,23,10,1,61,4,16,60,36,13,24,4.25,111.75,28.15769073811722
ChIJcxurJwAZ6zkRPb6_3KNRysE,27.6874464,85.3381508,restaurant,Baneshwor,restaurant,45,7,1,56,42,16,0,59,9,17,76,22,9,47,4.340425531914894,209.51063829787236,76.516226123863
ChIJO4CS7SwZ6zkR-rr8ndcz54g,27.6889493,85.3355753,fast_food_restaurant,Baneshwor,restaurant,56,7,3,56,48,16,0,64,10,15,55,26,8,45,4.208888888888889,209.8,56.75229886988056
ChIJdbPL25kZ6zkRNOQ57OZRrGM,27.6815962,85.3373002,restaurant,Baneshwor,restaurant,10,1,0,27,10,6,0,75,4,25,94,20,20,19,4.36842105263158,104.6842105263158,7.440555786713437
ChIJPyMpSZIZ6zkRe-SLnRb1uSE,27.6878285,85.3414714,family_restaurant,Baneshwor,restaurant,23,4,0,43,41,22,1,77,4,16,109,20,13,28,4.362962962962963,179.2962962962963,14.12713143793342
ChIJHeXQ6oEZ6zkRNeqTWTMOBRc,27.6928302,85.3364952,tibetan_restaurant,Baneshwor,restaurant,38,1,1,43,35,11,1,69,5,14,81,39,10,39,4.343589743589744,171.89743589743588,18.020238657678064
ChIJB_6lr5cZ6zkRXOmPpVqupIw,27.6919853,85.33631729999999,hamburger_restaurant,Baneshwor,restaurant,48,4,2,52,37,14,1,71,7,16,79,41,13,45,4.228888888888889,196.46666666666667,34.15358275763528
ChIJIXTLk-oZ6zkRM_UvXojy59Y,27.692381,85.32941269999999,restaurant,Baneshwor,restaurant,21,3,0,31,24,4,1,72,10,13,68,21,9,22,4.472727272727273,41.90909090909091,11.826348787989598
ChIJ_9rWM_MZ6zkRWHeOJLjzOkI,27.6922436,85.336505,fast_food_restaurant,Baneshwor,restaurant,43,4,1,46,37,13,1,66,6,16,80,40,13,43,4.248837209302326,186.86046511627907,3.8824334514012726
