place_id,poi_type,name,primary_type,latitude,longitude,distance_from_center_m,area
ChIJl2BEeZcZ6zkRMtRMoN7ZwUs,bank,Nepal Cooperative Financial Institution,bank,27.6938527,85.3371528,25.35,Baneshwor
ChIJY0HOeJcZ6zkRawb6tJIu3f4,bank,Vastabik SACCOS,bank,27.693881,85.336996,38.81,Baneshwor
ChIJVVb51pkZ6zkRMtFPxqztdAY,bank,Global IME Bank Limited,bank,27.6944349,85.33739240000001,52.82,Baneshwor
ChIJdyrqzZkZ6zkRYRaFBexay1A,bank,Public Sutradhar Multipurpose Co-op.,bank,27.6950784,85.3371375,126.63,Baneshwor
ChIJXyQczZkZ6zkR0pOLzWycmhQ,bank,Sutradhar SACCOS,bank,27.695124000000003,85.3369641,135.75,Baneshwor
ChIJGaZcmJcZ6zkRPOINtCK5IzQ,bank,Amrlavarsa SACCOS,bank,27.6929186,85.3363231,155.68,Baneshwor
ChIJGaZcmJcZ6zkR-5R80j3KT-U,bank,Societal SACCOS,bank,27.6929181,85.336323,155.73,Baneshwor
ChIJTVe9M5gZ6zkROz4T62PjR5M,bank,Sambandha SACCOS,bank,27.6952179,85.3366616,156.74,Baneshwor
ChIJTVe9M5gZ6zkR-Ja6WxJgd2w,bank,Nobel Shoppe SACCOS,bank,27.6952179,85.3366616,156.74,Baneshwor
ChIJ4caaWc0Z6zkRs7p4RCOOe_g,bank,Survey Sulav SACCOS,bank,27.6926502,85.3364507,172.0,Baneshwor
ChIJf5NH-S8Z6zkRXptkWu8abKw,bank,Artha Jagat SACCOS,bank,27.6922336,85.3357986,247.17,Baneshwor
ChIJy88hsJcZ6zkRdCsugH1nmfo,bank,Provision SACCOS,bank,27.6919583,85.33626559999999,248.15,Baneshwor
ChIJj8xVOucZ6zkRDZ2AWRFL224,bank,Alankar cooperatives LTD.,bank,27.6964837,85.3376449,281.83,Baneshwor
ChIJkwyOyJcZ6zkRrMlJhusEJzs,bank,Chhaku Bakku Bhagwati SACCOS,bank,27.692099,85.33542349999999,282.72,Baneshwor
ChIJX8FcrZcZ6zkRx8aL_ilHfMg,bank,Jyoti Bikash Bank Limited,bank,27.6915446,85.3359617,302.71,Baneshwor
ChIJBwxYspcZ6zkRuMcWURJ-QZ0,bank,Mobile SACCOS,bank,27.6914172,85.3360967,309.69,Baneshwor
ChIJ47YdUpYZ6zkR8anQEfdoooA,bank,Nagarik Dainik SACCOS,bank,27.6913964,85.33610689999999,311.4,Baneshwor
ChIJv7aospcZ6zkRzECezwGbYIQ,bank,Swarna Shree SACCOS,bank,27.6912916,85.336314,314.73,Baneshwor
ChIJgcuzibQZ6zkRMnO3ZaArdsI,bank,Mahalaxmi Bikas Bank Limited,bank,27.6968677,85.3375325,323.67,Baneshwor
ChIJU_5xVJYZ6zkRoucpOS7ayco,bank,Samaj SACCOS,bank,27.6910861,85.33659809999999,328.71,Baneshwor
ChIJcznxEZkZ6zkRW10xwkwSVao,bank,Shreeya SACCOS,bank,27.6970699,85.3373397,345.83,Baneshwor
ChIJG8Z-G9MZ6zkRKsYCI8WqC9k,bank,Muktinath Bikas Bank Limited,bank,27.6910316,85.3361726,346.64,Baneshwor
ChIJt9mIS5YZ6zkRoisRUTh5EZM,bank,Jeevansathi SACCOS,bank,27.6910826,85.33595509999999,349.36,Baneshwor
ChIJ9xd_fJgZ6zkR-o19j7ZVtsg,bank,Janasewi SACCOS,bank,27.6968508,85.3353777,377.08,Baneshwor
ChIJ-bV0UJYZ6zkRtjwD2iooTvo,bank,"Rastriya Banijya Bank Ltd., New Baneshwor Branch",bank,27.6906863,85.33623229999999,381.15,Baneshwor
ChIJm1A-SZYZ6zkR1hbcDoXQjQA,bank,Satyam SACCOS,bank,27.6908169,85.3358308,381.33,Baneshwor
ChIJb6M-0JYZ6zkRGVn-D2u-DNg,bank,National Co-operative Bank,bank,27.690754,85.338916,387.24,Baneshwor
ChIJQfSsfpcZ6zkRvaBXvPJdQ8s,bank,Prabhu Bank Limided,bank,27.6976602,85.3378583,414.13,Baneshwor
ChIJweSfw58Z6zkRrBobBvF9F9A,bank,Shangri-la Development Bank Limited,bank,27.6976826,85.3378695,416.73,Baneshwor
ChIJ7ykSkoAZ6zkR92hLvcSs4bA,bank,Sanima Bank,bank,27.6977063,85.3378748,419.41,Baneshwor
ChIJJ9RvLpYZ6zkRrdhf61_o4E8,bank,Khaptad SACCOS,bank,27.690865,85.334831,425.94,Baneshwor
ChIJm6xTMJYZ6zkRAwWFWb8roYg,bank,Metro SACCOS,bank,27.6907382,85.33503739999999,426.08,Baneshwor
ChIJT8hOKpYZ6zkRS2o4Pb7at68,bank,Kavil SACCOS,bank,27.6910051,85.33445669999999,436.81,Baneshwor
ChIJ98_M7-wZ6zkRey6BIYl2sQQ,bank,Lumbini Bikas Bank Limited,bank,27.6903223,85.33559450000001,441.04,Baneshwor
ChIJK4JRM5EZ6zkRpOX_DQEtQ0Y,bank,Cooperative Department,bank,27.6903721,85.339483,449.49,Baneshwor
ChIJixOgQJYZ6zkRhYLosF14Y6g,bank,Pararambhika SACCOS,bank,27.6901271,85.33554749999999,462.82,Baneshwor
ChIJq-W1jykZ6zkRq51uH0FwEa0,bank,Osmosis SACCOS,bank,27.690046,85.33533779999999,479.42,Baneshwor
ChIJi3czFZYZ6zkRYElZZxZP6wE,bank,Prime Commercial Bank Limited,bank,27.689864,85.33555439999999,489.64,Baneshwor
ChIJEVs7hZoZ6zkRcRNL6FuqMRg,bank,Mega Dreams Saving And Coopreative,bank,27.6951043,85.34263469999999,532.78,Baneshwor
ChIJ5c6F458Z6zkR_6zXTLALMCw,bank,Shine Resunga Development Bank Limited,bank,27.689383900000003,85.33559369999999,538.38,Baneshwor
ChIJVWwo3KIZ6zkRzScqc2H4-sA,bank,Panchatwo SACCOS,bank,27.695348,85.332042,547.75,Baneshwor
ChIJB8e4EpYZ6zkRn3Wb3kgePPo,bank,Nepal Investment Mega Bank Limited (NIMB),bank,27.6889991,85.3356218,578.15,Baneshwor
ChIJBcpIyr4Z6zkRWWzfFnkZInw,bank,"Kamana Sewa Bikas Bank Ltd, New Baneshwor Branch",bank,27.6890115,85.3352811,587.78,Baneshwor
ChIJ64FuSZkZ6zkRi3WVwSSDttg,bank,Dolphin SACCOS,bank,27.699741,85.338386,650.4,Baneshwor
ChIJeeiq3ooZ6zkRKmprCCRc2oI,bank,Mashreq Bank – Nepal Representative Office,corporate_office,27.6896691,85.3327067,662.85,Baneshwor
ChIJw9cN6bwZ6zkRM2DolnAuKeQ,bank,Rambha SACCOS,bank,27.6923918,85.3308629,664.93,Baneshwor
ChIJo636IOMZ6zkRn2wiY29ZaQA,bank,Saujanya SACCOS,bank,27.6899711,85.34262939999999,681.08,Baneshwor
ChIJf-RJ3JUZ6zkRpoEhVhAdtxA,bank,Standard Chartered Bank Nepal Head Office,bank,27.6879394,85.3358879,685.39,Baneshwor
ChIJp1sQ55UZ6zkRcqnexc-pzvs,bank,Machhapuchchhre Bank Limited,bank,27.6879584,85.3355991,690.0,Baneshwor
ChIJwX_l_JUZ6zkRDosMiAx2H0s,bank,Kumari Bank Limited,bank,27.688191600000003,85.3347893,690.28,Baneshwor
ChIJfzD7wr0Z6zkRTvMgSQCjYAA,bank,NIC ASIA Bank New Baneshwor Branch,bank,27.6890625,85.3330625,690.85,Baneshwor
ChIJP3fw_JUZ6zkRJWAWnBrKSFk,bank,Andover Multipurpose Co-op,bank,27.688125,85.3347905,697.12,Baneshwor
ChIJzx_FzJUZ6zkRqaFRhV1Fjlc,bank,Jyotipunja SACCOS,bank,27.6876984,85.336863,698.12,Baneshwor
ChIJ-9Vyw70Z6zkRFksp3txWXic,bank,Laxmi Capital Market Ltd.,bank,27.6892233,85.33264559999999,703.35,Baneshwor
ChIJ18zIAL4Z6zkRy1x-B_h41KQ,bank,Nepal Investment Mega Bank Limited,bank,27.6883276,85.3340939,704.93,Baneshwor
ChIJK1qrHZAZ6zkRW2HVQjSlYfk,bank,Katyayeni SACCOS,bank,27.693597,85.34453239999999,705.36,Baneshwor
ChIJ1_qYT8oZ6zkR1GGhQVo6TfM,bank,Nepal Bank,bank,27.6876229,85.33694539999999,705.95,Baneshwor
ChIJszlJmuIZ6zkRUkBA0g735wc,bank,DharmaKarma coperative LTD,bank,27.6953693,85.34439030000001,707.77,Baneshwor
ChIJJWKJ_b0Z6zkRq97wxqJbEh0,bank,NMB Bank Limited New Baneshwor Branch,bank,27.688408700000004,85.3338619,707.82,Baneshwor
ChIJ99XABx0Z6zkRfD3svHtk9Vs,bank,Nabil Bank Limited - Baneshwor Branch,bank,27.6884204,85.33364759999999,717.27,Baneshwor
ChIJZ7FhUZYZ6zkRxePYadMwiv0,bank,Kushwaha SACCOS,bank,27.692176300000003,85.3303587,719.19,Baneshwor
ChIJ-_nytZoZ6zkRHQ1HFz116Ik,bank,Divya Mantra SACCOS,bank,27.6959106,85.3443623,720.85,Baneshwor
ChIJhdzn470Z6zkR8zKABa8-_qg,bank,Himalayan Bank ATM,bank,27.6885167,85.333382,722.01,Baneshwor
ChIJK23b55UZ6zkR6Ycjl_1G3ds,bank,Citizen Bank International Limited,bank,27.6876458,85.3354772,726.67,Baneshwor
ChIJ27NOPJQZ6zkRI9razZ3JSpo,bank,Nepal Investment Mega Bank Limited (NIMB),bank,27.687393,85.3379183,732.14,Baneshwor
ChIJUSeCiwsZ6zkR_tztMlu9U6k,bank,Sunbarsha SACCOS,bank,27.6894309,85.3319509,734.41,Baneshwor
ChIJX79R2ZMZ6zkRTry24fWUa0Q,bank,Sahayatri Multipurpose Co-op,bank,27.6882335,85.3411167,735.4,Baneshwor
ChIJJ48x0Z4Z6zkRVhdTp0HVsJI,bank,Banking Training Institute,bank,27.7006311,85.3372258,741.95,Baneshwor
ChIJa0pFTZEZ6zkRbFhwquOiRUY,bank,Lumbini Bikash Bank Limited,bank,27.6961396,85.34453549999999,745.02,Baneshwor
ChIJi9y93r0Z6zkRVfiNhS_vKck,bank,Sanima Bank Limited,bank,27.6886283,85.332657,753.48,Baneshwor
ChIJEZO_jY8Z6zkRSpo85XRFtuc,bank,रिजर्भ बचतऋण सहकारी,bank,27.6921289,85.3299888,755.67,Baneshwor
ChIJh03P4r0Z6zkRXCh1yBDXrRA,bank,Everest Bank Limited,bank,27.6888795,85.3319451,778.13,Baneshwor
ChIJeesX8pUZ6zkRML0Dp91vqu8,bank,Global IME Bank ATM,atm,27.6871423,85.3351632,788.89,Baneshwor
ChIJ74OlwIwZ6zkRHxs5rY07PwY,bank,Moneyplant SACCOS,bank,27.687445,85.34057299999999,789.71,Baneshwor
ChIJh4n6HskZ6zkRhZogsWS2VW8,bank,Global IME Bank Limited,bank,27.6871696,85.3349301,792.65,Baneshwor
ChIJe3FboxAZ6zkR9lqdcxryb5s,bank,Nepal Infrastructure Bank Limited,bank,27.6898377,85.3307476,797.84,Baneshwor
ChIJHy12w5MZ6zkRbIofWEPvx30,bank,Gurkha Millennium Multi-Purpose Co-operative,bank,27.6875784,85.34113889999999,800.32,Baneshwor
ChIJDx-1s5MZ6zkR2cRwU1plDJQ,bank,Nepal SBI Bank Ltd. New Baneshwor Branch,bank,27.6873826,85.34076379999999,803.68,Baneshwor
ChIJcbmoKZMZ6zkRC-IGXdCYppk,bank,Garima bikask bank,bank,27.6888409,85.3315042,811.6,Baneshwor
ChIJ9WVTwZMZ6zkRvsFo1vrfobE,bank,Kalyan Upakar SACCOS,bank,27.6874364,85.34108979999999,812.16,Baneshwor
ChIJebAlk5UZ6zkRLa3FAJ6JQHM,bank,Ukali SACCOS,bank,27.686844,85.335132,821.64,Baneshwor
ChIJme2uYwAZ6zkRZanGuIP_ZGw,bank,Dhanpunja cooperative,bank,27.6867013,85.3355192,827.66,Baneshwor
ChIJ3RMdk5UZ6zkR6-LhcjjF1o4,bank,Lakshmi Bardan SACCOS,bank,27.686768,85.335111,830.33,Baneshwor
ChIJhcjDw5MZ6zkRB9TyM9YIptg,bank,Agricultural Development Bank Ltd. Naya Baneshwor Branch,bank,27.68647,85.3380408,835.39,Baneshwor
ChIJpfoSlJUZ6zkRTZZCG_os3pM,bank,Nagarik Kalyan Multipurpose Co-op,bank,27.6866254,85.3354268,837.94,Baneshwor
ChIJIbSNG5wZ6zkRrg_cCvSNMkM,bank,परिचय बचतऋण सहकारी,bank,27.7012128,85.3398194,841.48,Baneshwor
ChIJNX14rrkZ6zkRB_x3buVbUY8,bank,Shivashree Multpurpose Co-op,bank,27.7015447,85.33619759999999,851.38,Baneshwor
ChIJU7TXRXQZ6zkR8eTuiJnm3Ps,bank,Get Way SACCOS,bank,27.7013374,85.34025129999999,867.67,Baneshwor
ChIJRyUcq-8Z6zkRlPu6osD_cn4,bank,Relation SACCOS,bank,27.7008174,85.34164369999999,870.42,Baneshwor
ChIJ29b8E5wZ6zkRsLWh2a7W3HA,bank,Siddhartha Bank | Old Baneshwor,bank,27.7013489,85.3402997,870.44,Baneshwor
ChIJrX5cF5wZ6zkRjGVqDPHNBek,bank,Orchid SACCOS,bank,27.701401,85.3401399,870.88,Baneshwor
ChIJhRvNGZwZ6zkRfaiQJUQifao,bank,अर्किड बचत तथा ऋण सहकारी सस्था,bank,27.7014397,85.3400898,873.45,Baneshwor
ChIJ6aI2Ga4Z6zkRI6se9uTKHic,bank,Chautara Multipurpose Co-op,bank,27.6878744,85.33175659999999,874.34,Baneshwor
ChIJe71_bpwZ6zkRNoyTbYthWFc,bank,Manjari SACCOS,bank,27.701211,85.3411028,885.67,Baneshwor
ChIJL6UbeLwZ6zkRS6-RdpKNESk,bank,Bijuli Bazar SACCOS,bank,27.6904706,85.32929159999999,885.86,Baneshwor
ChIJLeEC2o8Z6zkRqRJ9gGsaazo,bank,Bina SACCOS,bank,27.6899322,85.3452533,895.27,Baneshwor
ChIJKSlVQ7sZ6zkRt00wSIhQ7oI,bank,Prabhu Bank Limited,bank,27.6921385,85.3284601,901.28,Baneshwor
ChIJ77jaN5IZ6zkRPoNPDGH-v68,bank,Paripurak SACCOS,bank,27.68719,85.342578,910.29,Baneshwor
ChIJf7XksJMZ6zkROn-4mLUeAO0,bank,Kantipur SACCOS,bank,27.686611000000003,85.341539,914.03,Baneshwor
ChIJERLbhJUZ6zkRWejKHv4lRI0,bank,Shubha Milan Multipurpose Co-op,bank,27.6859352,85.3349356,924.2,Baneshwor
ChIJyyTosvcZ6zkRsgTzqW6O6u8,bank,"Kamana Sewa Bikas Bank Ltd, Bhimsengola",bank,27.6997585,85.3441387,926.56,Baneshwor
ChIJIVjyUJsZ6zkRi5Q9Xqd_syM,bank,Laxmi Sunrise Bank Limited,bank,27.6998545,85.34407739999999,929.73,Baneshwor
ChIJq8rnWZsZ6zkRYAJPB7A_MHQ,bank,Prime Commercial Bank Ltd. Old Baneshwor Branch,bank,27.7000785,85.3439485,938.66,Baneshwor
ChIJy54oA3wZ6zkR2A54b6q_AKg,bank,Delight SACCOS,bank,27.6967656,85.3283258,944.45,Baneshwor
ChIJQeN3Do4Z6zkRpV708mIJ0rw,bank,Manab Kalyan Saving and Credit Cooperative Ltd,finance,27.6893149,85.34541100000001,944.47,Baneshwor
ChIJ11U1Y6QZ6zkRJTByLob_eZM,bank,Nabil Bank,bank,27.697225000000003,85.328504,946.3,Baneshwor
ChIJ755dMF4Z6zkRfxwThiJBWlk,bank,"Shangri-la Development Bank, Anamnagar Branch",bank,27.6960684,85.328064,946.7,Baneshwor
ChIJ3S51jqQZ6zkRslzwdop3_fc,bank,Siddhartha Bank | Anamnagar,bank,27.6962827,85.3281197,947.6,Baneshwor
ChIJWfp0NrsZ6zkR0UAm3JvMYm0,bank,Ghansi SACCOS,bank,27.693586000000003,85.327748,949.25,Baneshwor
ChIJbV8VcQAZ6zkRD7tP9w09j6c,bank,Nepal Investment Mega Bank,bank,27.6971364,85.32839419999999,952.6,Baneshwor
ChIJl_rzTsQZ6zkRxwyuAGbJlqM,bank,समंरण बचतऋण सहकारी,bank,27.6987441,85.3293501,952.89,Baneshwor
ChIJRfeX96YZ6zkRvxYOxFNEc0g,bank,Aaprawasi SACCOS,bank,27.6890838,85.3453548,954.21,Baneshwor
ChIJTTiwfoYZ6zkR_zQAUbxLDzk,bank,Nabil Bank Limited,bank,27.7002251,85.3441947,967.2,Baneshwor
ChIJW0hoSwAZ6zkR4D_RWo6cVLs,bank,Nabil bank atm,bank,27.692112,85.3471045,979.25,Baneshwor
ChIJT4TZQgAZ6zkR86LpSsl8fnI,bank,Shreeradhe Money Enterprise PVT.LTD,bank,27.6988616,85.32893419999999,994.23,Baneshwor
ChIJQZDF0zsZ6zkRfakRO3lxVCM,bank,Nepal Bank Limited,bank,27.7024577,85.3408675,1005.35,Baneshwor
ChIJM9bLN5wZ6zkRvNm6fUOPu0U,bank,Nepal SBI Bank,bank,27.7025506,85.34066430000001,1008.47,Baneshwor
ChIJp0qidZ8Z6zkROHfNcxDF29g,bank,Everest Bank Ltd. Maitidevi Branch,bank,27.7028982,85.3354025,1012.77,Baneshwor
ChIJD-9Ft8EZ6zkRRUKPJNaunmw,bank,Babiyakharka SACCOS,bank,27.6905269,85.3469551,1017.1,Baneshwor
ChIJz7hw9vMZ6zkRI_kaIyg1fpY,bank,Global IME Bank Limited,bank,27.6936614,85.3477764,1024.14,Baneshwor
ChIJNS3eSZwZ6zkRHgJj_1KlI6w,bank,Alfa Saving & Credit Co-Operative Limited,association_or_organization,27.702722,85.3407249,1028.44,Baneshwor
ChIJ4cY9vr4Z6zkROOKp3B0Nf0o,bank,Sankhabudha SACCOS,bank,27.687005,85.330365,1036.89,Baneshwor
ChIJXeJNnp8Z6zkRBgef12HA3bk,bank,Rastriya Banijya Bank Ltd.,bank,27.7031971,85.3353999,1045.46,Baneshwor
ChIJW21kUJQZ6zkRRXKDm2g6BqM,bank,"Mint Division - Nepal Rastra Bank टक्सार महाशाखा, नेपाल रास्ट्र बैंक",bank,27.6900307,85.32771679999999,1046.95,Baneshwor
ChIJ-R1eqLsZ6zkRMvZLCPxV1BE,bank,Majdoor SACCOS,bank,27.6867386,85.3303741,1058.59,Baneshwor
ChIJz-FbTJwZ6zkRzHbvEKoQovw,bank,Himalayan Bank - ATM,bank,27.7029808,85.34120720000001,1071.5,Baneshwor
ChIJEyKJILsZ6zkRju2g0BoDHjE,bank,Fieun SACCOS,bank,27.6925932,85.3266041,1071.8,Baneshwor
ChIJp9IlW6AZ6zkRaz0YDHtzK88,bank,Agricultural Development Bank Ltd. Maitidevi Branch,bank,27.7032785,85.3344972,1074.34,Baneshwor
ChIJ27JanZ8Z6zkRJXdR-kfajrA,bank,Citizens Bank International Limited,bank,27.7033587,85.3348178,1075.1,Baneshwor
