place_id,restaurant_name,latitude,longitude,search_area,Anchor_Destinations,Daytime_Population,Commercial_Vitality
ChIJsZ5mY70Z6zkRRBczgL9a8ms,JAR - Just Another Restaurant,27.6995461,85.3376871,Baneshwor,0.1121,0.4828,0.3035
ChIJ5SO0EQ0Z6zkRTMnqUebrTqA,Drishya Lounge - Best Lounge in New Baneshwor,27.6922623,85.3364717,Baneshwor,0.1265,0.5931,0.4827
ChIJTdMmLgAZ6zkR84zXOWwdgPE,Pink Putali Restaurant & Bar,27.6890639,85.3342954,Baneshwor,0.1779,0.6513,0.5083
ChIJ3Ru72S8Z6zkR6JYG3tsYlGk,Munch N More Restaurant and Bar,27.681549,85.3413401,Baneshwor,0.1264,0.2961,0.2731
ChIJJbL_SlQZ6zkRFWSjunPmuVU,27 Degree North Restaurant,27.6888123,85.3340805,Baneshwor,0.1803,0.6303,0.4946
ChIJp-pKxdsZ6zkR-2FrrJZPwUc,Vertigo BBQ,27.68712,85.33547639999999,Baneshwor,0.1461,0.655,0.5601
ChIJV12M1MEZ6zkRtD1gakfrWgo,Gaunghar restaurant,27.69235,85.32952759999999,Baneshwor,0.0737,0.4062,0.32
ChIJ2e9eEnYZ6zkRnuoRZipkN10,"Jimbu Thakali by Capital Grill, New Baneshwor",27.6873502,85.34074369999999,Baneshwor,0.1003,0.5897,0.4439
ChIJE5msHtMZ6zkRBPypp6QNiHY,Dalo Delights,27.6986722,85.3289875,Baneshwor,0.1149,0.2619,0.2362
ChIJUdLoahQZ6zkRJ17GMqk5GQM,Tha Chhen Restaurant,27.6940265,85.33905229999999,Baneshwor,0.1307,0.5804,0.396
ChIJT7TgRXEZ6zkRDjURef5wPTg,D3 RESTAURANT,27.6938244,85.3292669,Baneshwor,0.1136,0.3403,0.2848
ChIJaZxtbJkZ6zkRjJJmY9US5w0,Wonderland Restaurant,27.6983381,85.3385308,Baneshwor,0.0851,0.5226,0.3017
ChIJQ1Uw7b8Z6zkR-fjNfHeUMgQ,Friends Restaurant,27.6863705,85.3423227,Baneshwor,0.1058,0.547,0.5343
ChIJiwBJWG4Z6zkRxWAyrzZaK4U,Thakkhola Thakali Cuisine New Baneshwor,27.6881305,85.3340005,Baneshwor,0.155,0.6422,0.5223
ChIJl_lo45kZ6zkRmA7XMScQoJA,D Mandala Bites cafe and restaurant,27.6856663,85.33048570000001,Baneshwor,0.1289,0.5372,0.4516
ChIJU16JVQAZ6zkRbixPQkCWeeA,Restaurant Anamnagar,27.692385,85.32963900000001,Baneshwor,0.0713,0.4094,0.3253
ChIJzXwsDQAZ6zkR45Tf2u0R-2s,Matka Sekuwa Family Restaurant,27.6985325,85.34750729999999,Baneshwor,0.0947,0.3941,0.2557
ChIJaQ7iRAcZ6zkRa8Q9aF7u9UE,Timmure Mid-Baneshwor,27.6947152,85.33714719999999,Baneshwor,0.1334,0.5351,0.4077
ChIJhY44foAZ6zkRnK2N8ZZeSpw,Crimson Cafe and Restaurant,27.6819269,85.3338828,Baneshwor,0.1751,0.4364,0.3919
ChIJUYaFdQAZ6zkRdiX3RNcV6oo,Point Baneshwor Restaurant,27.6868592,85.33516879999999,Baneshwor,0.1428,0.6783,0.528
ChIJqZEtpcUZ6zkRmS5Wlt1PmdM,Hunger Hub Restaurant and Bar,27.6886901,85.3325567,Baneshwor,0.1535,0.6459,0.4946
ChIJSQmoTAAZ6zkRJ6sGSgiP0fs,Ras Raag Restaurant,27.6893777,85.3301091,Baneshwor,0.1125,0.5189,0.3781
ChIJ6YU05q8Z6zkRPnhsAP4XPIs,Mulchowk Restaurant,27.6945403,85.32288700000001,Baneshwor,0.0171,0.0735,0.1357
ChIJq6rYKAAZ6zkRLMeXLQhnzJk,The Goal Post Restaurant,27.6940205,85.3371767,Baneshwor,0.1268,0.5578,0.4468
ChIJI8MhiKUZ6zkRNNug_VFzHJ4,Pong Restaurant,27.698655100000003,85.3380328,Baneshwor,0.0908,0.5118,0.3081
ChIJcxurJwAZ6zkRPb6_3KNRysE,"Alcove Restaurant , a Sanctuary",27.6874464,85.3381508,Baneshwor,0.1133,0.593,0.4804
ChIJO4CS7SwZ6zkR-rr8ndcz54g,New Reshunga Cafe & Stick Food House,27.6889493,85.3355753,Baneshwor,0.1757,0.6364,0.471
