place_id,poi_type,name,primary_type,formatted_address,latitude,longitude,distance_from_center_m
ChIJl2BEeZcZ6zkRMtRMoN7ZwUs,bank,Nepal Cooperative Financial Institution,bank,"M8VP+GVR, Devkota Sadak, Kathmandu 44600, Nepal",27.6938527,85.3371528,25.35
ChIJY0HOeJcZ6zkRawb6tJIu3f4,bank,Vastabik SACCOS,bank,"M8VP+HQ5, Devkota Sadak, Kathmandu 44600, Nepal",27.693881,85.336996,38.81
ChIJVVb51pkZ6zkRMtFPxqztdAY,bank,Global IME Bank Limited,bank,"Kathmandu 44600, Nepal",27.6944349,85.33739240000001,52.82
ChIJdyrqzZkZ6zkRYRaFBexay1A,bank,Public Sutradhar Multipurpose Co-op.,bank,"M8WP+2VJ, Sahabhagita Marga, Kathmandu 44600, Nepal",27.6950784,85.3371375,126.63
ChIJXyQczZkZ6zkR0pOLzWycmhQ,bank,Sutradhar SACCOS,bank,"M8WP+2QW, Sahabhagita Marga, Kathmandu 44600, Nepal",27.695124000000003,85.3369641,135.75
ChIJGaZcmJcZ6zkRPOINtCK5IzQ,bank,Amrlavarsa SACCOS,bank,"M8VP+5G8, Devkota Sadak, Kathmandu 44600, Nepal",27.6929186,85.3363231,155.68
ChIJGaZcmJcZ6zkR-5R80j3KT-U,bank,Societal SACCOS,bank,"M8VP+5G8, Devkota Sadak, Kathmandu 44600, Nepal",27.6929181,85.336323,155.73
ChIJTVe9M5gZ6zkROz4T62PjR5M,bank,Sambandha SACCOS,bank,"M8WP+3MM, Sahabhagita Marga, Kathmandu 44600, Nepal",27.6952179,85.3366616,156.74
ChIJTVe9M5gZ6zkR-Ja6WxJgd2w,bank,Nobel Shoppe SACCOS,bank,"M8WP+3MM, Sahabhagita Marga, Kathmandu 44600, Nepal",27.6952179,85.3366616,156.74
ChIJ4caaWc0Z6zkRs7p4RCOOe_g,bank,Survey Sulav SACCOS,bank,"M8VP+2HQ, Shree Panchakumari Marg, Kathmandu 44600, Nepal",27.6926502,85.3364507,172.0
ChIJf5NH-S8Z6zkRXptkWu8abKw,bank,Artha Jagat SACCOS,bank,"M8RP+V8V, New Baneshwor Chowk, Kathmandu 44600, Nepal",27.6922336,85.3357986,247.17
ChIJy88hsJcZ6zkRdCsugH1nmfo,bank,Provision SACCOS,bank,"M8RP+QGJ, Devkota Sadak, Kathmandu 44600, Nepal",27.6919583,85.33626559999999,248.15
ChIJj8xVOucZ6zkRDZ2AWRFL224,bank,Alankar cooperatives LTD.,bank,"M8WQ+H3R, Devkota Sadak, Kathmandu 44600, Nepal",27.6964837,85.3376449,281.83
ChIJkwyOyJcZ6zkRrMlJhusEJzs,bank,Chhaku Bakku Bhagwati SACCOS,bank,"M8RP+R5M, अोख्‍खरबोट मार्ग, Kathmandu 44600, Nepal",27.692099,85.33542349999999,282.72
ChIJX8FcrZcZ6zkRx8aL_ilHfMg,bank,Jyoti Bikash Bank Limited,bank,"Karmacharya Plaza, 31 Devkota Sadak, Kathmandu 44600, Nepal",27.6915446,85.3359617,302.71
