place_id,poi_type,name,primary_type,formatted_address,latitude,longitude,distance_from_center_m
ChIJNyb2b8ob6zkRt5SL3FGspkQ,bank,"Durbar ATM Lounge ,Bhaktapur- Durbar Square",bank,"5 Durbar Square, Bhaktapur 44800, Nepal",27.6719257,85.4286371,53.19
ChIJMWqtca8a6zkRwJqrhly-Reg,bank,Samuhik SACCOS,bank,"03 Bolachhen, Bhaktapur 44800, Nepal",27.670314899999997,85.42798549999999,191.1
ChIJ68PcTa4a6zkRoU_23CzJnII,bank,Himalayan Bank Limited,bank,"रत्न भवन, Bhaktapur 44800, Nepal",27.671919,85.430089,195.28
ChIJ3ZTpxJgb6zkRMa2Cc2Tc1k8,bank,Bhaktapur Jilla Bachat Sangh,bank,"MCCH+9WW, Bhaktapur 44800, Nepal",27.6709939,85.4298429,205.9
ChIJYwZxRkAb6zkRN37JkbvRd2g,bank,Itachhenbinayak SACOSS,bank,"MCCH+9WW, Bhaktapur 44800, Nepal",27.6709939,85.4298429,205.9
ChIJsSgCYasb6zkR9Tsovii8m04,bank,Paripurna Multipurpose Co. Ltd,bank,"MCFG+GVW Radhe radhe, Bhaktapur 44800, Nepal",27.673872900000003,85.4272013,223.61
ChIJn6K1_2Ib6zkREY3NlFkGkps,bank,Our Youth Group (N.B.G),bank,"3 Bagmati Pardesh Bhaktapur, Bhaktapur 44800, Nepal",27.673872900000003,85.4272013,223.61
ChIJ_2lEfgAb6zkRiPFExKADd40,bank,Aastha Saving and Credit Society Ltd. आस्था वचत तथा ऋण सहकारी संस्था लि.,bank,"MC9H+R7F, बोलाछें सडक, Bhaktapur 44800, Nepal",27.669582,85.4281537,272.24
ChIJq6VbpyQb6zkReSbxfZ1qFcQ,bank,Century Bank (Sukuldhoka Bhaktapur Branch),bank,"MCFJ+393, Bhaktapur 44800, Nepal",27.6726404,85.4309344,286.3
ChIJKcVqFa4a6zkR66TMLvlu6FA,bank,Laxmi Sunrise Bank Ltd. Bhaktapur Branch (SukulDhoka),atm,"MCFJ+2CX, Sukul Dhoka Marg, Bhaktapur 44800, Nepal",27.6726204,85.43110659999999,302.31
ChIJt5I7W0wb6zkRQ_8ibDB5asY,bank,Mega Bank Nepal,bank,"Bhaktapur Municipality-05 Shukuldhoka, Bhaktapur 44800, Nepal",27.6726474,85.4311074,303.05
ChIJyYYyVF4b6zkRruqAqTL1w3A,bank,"Sangam Saccos , Bhaktapur",bank,"Bhaktapur 44800, Nepal",27.669264,85.4291882,325.38
ChIJBw_pbK4a6zkR5b6dZp7kv-A,bank,NMB Bank Limited,bank,"MCCJ+XJF, Bhaktapur 44800, Nepal",27.6724355,85.43155709999999,342.44
ChIJ8VGIDAAb6zkRpvNI9m3g_Ow,bank,Global IME Bank,bank,"MCFF+3RP, Bhaktapur 44800, Nepal",27.6727121,85.42458859999999,354.97
ChIJ1XkUXpAb6zkRqRyrhFH0ow8,bank,Khwpoa Savings and Credit Cooperatives,bank,"MCGH+3VF, Nagarkot Road, Bhaktapur 97701, Nepal",27.6751856,85.4296607,382.68
ChIJA5BCOAQb6zkRXSU8CeVV3ho,bank,Subhakamana Saving and Credit Cooperatives Ltd. Byasi Service Counter,bank,"MCGH+5V8, Nagarkot Road, Bhaktapur 44800, Nepal",27.675457899999998,85.4297438,413.73
ChIJKetkncQb6zkRsE_6Pr-PBNc,bank,Kumari Bank Ltd. Byasi Branch,bank,"MCGJ+65R, Nagarkot Road, Bhaktapur 44800, Nepal",27.675610199999998,85.4303872,456.91
ChIJC7TClKQa6zkRaCEtrsIyrss,bank,Kumari Bank (Ittachhen-Napukhu Bhaktapur Branch),bank,"MCCF+R7H बसपार्क, Bhaktapur 44800, Nepal",27.672055999999998,85.4232274,480.83
ChIJh4Tzl3ob6zkR4zY5TL6yGFY,bank,Siddhartha Bank Gapali Suryabinayak,bank,"MC9G+3J2, Suryabinayak 44800, Nepal",27.6676367,85.4265248,512.85
ChIJbY6kIrIa6zkR9XcO88LSGjg,bank,थालाछें बचत तथा ऋण सहकारी संस्था लिमिटेड,bank,"MCFM+P46, थालाछें टोल सडक, Bhaktapur 44800, Nepal",27.6742856,85.4327744,523.34
ChIJN2I2l6Qa6zkR-zch265Llmw,bank,Agricultural Development Bank Ltd. Bhaktapur Branch,bank,"MCCF+Q3G, मिनी बसपार्क, Bhaktapur 44800, Nepal",27.671944099999997,85.4227128,531.58
ChIJWzfooWMb6zkRBcAu69kTMIM,bank,Nepal Bank Limited,bank,"17 Nagarkot Road, Bhaktapur 44800, Nepal",27.6715784,85.4223191,572.48
ChIJ18sSnKYa6zkR1oz3HzsTzTs,bank,Kuber Saccos,bank,"101 Araniko Highway, Bhaktapur 44800, Nepal",27.6675869,85.423819,650.12
ChIJowCWW6Ya6zkRv55RinUY74s,bank,Sanima Bank Ltd. Suryabinayak Branch,bank,"MC8G+7X6, Suryabinayak 44800, Nepal",27.665662500000003,85.4273906,711.57
