place_id,poi_type,name,primary_type,formatted_address,latitude,longitude,distance_from_center_m
ChIJOUP5Rdob6zkRb0E6cx-ckGY,bank,Gurkhas Finance Limited,bank,"P9C6+7PR, Boudhanath Sadak, Kathmandu 44600, Nepal",27.7207425,85.36176999999999,73.92
ChIJ2dwFCrMb6zkRTKgmwf16hvk,bank,"Kamana Sewa Bikas Bank Limited, Boudha Branch",bank,"Nearby sherpa gumba, काठमाडौँ 44600, Nepal",27.720916499999998,85.36044989999999,155.84
ChIJHZ8w7tob6zkRd37tELG87Qw,bank,Laxmi Sunrise Bank,bank,"P9C7+68Q, Boudhanath Sadak, Kathmandu 44600, Nepal",27.7205817,85.3633507,165.41
ChIJy6KJJtob6zkRjN0Ow2C_UQI,bank,Ideal Society SACCOS,bank,"P9C6+55P, Boudhanath Sadak, Kathmandu 44600, Nepal",27.7204703,85.3604591,178.06
ChIJ32_d7tob6zkRhzcfD5Pn9e8,bank,Machhapuchchhre Bank Limited,bank,"P9C7+7C3, Boudhanath Sadak, Kathmandu 44600, Nepal",27.720632499999997,85.36356200000002,180.51
ChIJr148EO8b6zkRqXIi-hHzJio,bank,Nalapani Multipurpose Co-op,bank,"P9C7+6F8, Boudhanath Sadak, Kathmandu 44600, Nepal",27.7205355,85.36368759999999,196.52
ChIJHXHLyNob6zkRXC7YQL2hPVw,bank,Siddhartha Bank | Bouddha,bank,"P9C6+64V, Boudhanath Sadak, Kathmandu 44600, Nepal",27.7201566,85.36025029999999,215.57
ChIJO-KfWtob6zkRXc_WgPOmhXI,bank,Prabhu Bank Limited,bank,"P997+XFV, Boudhanath Sadak, Kathmandu 44600, Nepal",27.7199885,85.3636605,230.14
ChIJt-O8w9ob6zkRbDJdZ1YIm5s,bank,Mega Bank,bank,"Kathmandu Metropolitan City - 06 Near to Bouddha Pipalbot, Bouddha, Kathamandu, Kathmandu 44600, Nepal",27.7206087,85.3645853,274.49
ChIJoV6MJzEb6zkRW-VrbGtCK8E,bank,Kunphen SACCOS,bank,"Boudha,pipalbot, Kathmandu, 44600, Nepal",27.7206382,85.3646281,277.49
ChIJP7sPSgEZ6zkRZeVBp4_NryI,bank,Himalayan Bank Limited,bank,"Bouddha, Kathmandu 44605, Nepal",27.720440999999997,85.36479489999999,300.17
ChIJnzrAjnsb6zkR7rrbDv6_SmY,bank,Rastriya Banijya Bank,bank,"P9C5+3JG, Kathmandu 44600, Nepal",27.720185999999998,85.3590637,313.18
ChIJ_YS0EMUb6zkRNtRrduulA0Y,bank,Nabil Bank Limited,bank,"P9C8+32Q, Boudhanath Sadak, Kathmandu 44600, Nepal",27.720214,85.3651046,337.83
ChIJX5A7yUQb6zkRtv6hjEnDAOE,bank,Kumari Bank Limited,bank,"P9C8+65G, Kathmandu 44600, Nepal",27.720563199999997,85.36553239999999,365.36
ChIJRznGJMUb6zkRB2x-8Nhqjw8,bank,Nepal Investment Mega Bank,bank,"Boudhanath Sadak, 44600, Nepal",27.7209048,85.3660269,405.88
ChIJW53Itdkb6zkR9h-PhDN6uFA,bank,NIC ASIA Bank Bouddha Branch,bank,"P9C5+252 Kathmandu, Kathmandu 44600, Nepal",27.720062499999997,85.35793749999999,420.72
ChIJRX1bBMUb6zkRF4cyCR2AxrQ,bank,Citizens Bank International Limited,bank,"Boudha Rd, 44600, Nepal",27.721147799999997,85.3674267,540.74
ChIJCzqX1wUZ6zkRokBm78qPjF8,bank,Laxmi Sunrise Bank Limited,bank,"Mahankal, Kathmandu 44600, Nepal",27.7246678,85.3575735,563.53
ChIJUwufqcUb6zkRK1RuDE4cJzE,bank,Global IME Bank Limited,bank,"Kathmandu 44600, Nepal",27.7212252,85.368028,599.53
