place_id,poi_type,name,primary_type,formatted_address,latitude,longitude,distance_from_center_m
ChIJzQ7UVsIZ6zkR8qwIgsqzQ1Q,bank,NIC ASIA Bank Koteshwor Branch,bank,"Ward no. 32, Kathmandu, 44600, Nepal",27.6827375,85.34916079999999,105.68
ChIJIfKwsYwZ6zkROVOYWn84Y9g,bank,Prabhu Bank Limited,bank,"M8MX+8HJ, Kathmandu 44600, Nepal",27.6833345,85.34889419999999,108.89
ChIJt1yKjvMZ6zkR4y26CrqnpIg,bank,Jyoti Bikash Bank Limited,bank,"32 Araniko Highway, Kathmandu 44600, Nepal",27.6833232,85.34888529999999,109.76
ChIJZc2UdgAZ6zkRtkGgL1OtY34,bank,Nepal Investment Mega Bank Limited,bank,"Kathmandu 44600, Nepal",27.6819804,85.3492417,167.62
ChIJVyggRfMZ6zkRF4ikgp4mldQ,bank,"Kumari Bank Limited, Koteshwor Branch",bank,"M8JX+RJ9, Kathmandu 44600, Nepal",27.6820473,85.3491023,167.8
ChIJ73DlzIwZ6zkREQNByduVDq8,bank,Shrestha Yojana SACCOS,bank,"M8MX+67G, Kathmandu 44600, Nepal",27.6830626,85.34820470000001,179.26
ChIJiW1DVQAZ6zkRpJJYAz-4gzE,bank,NIMB Bank Pvt. Ltd.,bank,"M8JX+MMR, Kathmandu 44600, Nepal",27.6817173,85.349069,201.4
ChIJMYrJB1MZ6zkR2qrOrWlvNPg,bank,Mahalaxmi Bikas Bank ltd.,bank,"M8JX+76M, Mahadevsthan Marg, Kathmandu 44600, Nepal",27.6807096,85.3480508,348.91
ChIJWZXvG40Z6zkRQNZX--rO9ms,bank,Chase SACCOS,bank,"M8MW+WPG, Muni Bhairab Marg, Kathmandu 44600, Nepal",27.6848071,85.3468134,354.16
ChIJoz9GDvMZ6zkR6HnJKfSSsUc,bank,Deepsewa,finance,"M8JX+848, महादेवस्थान मार्ग, Kathmandu 44600, Nepal",27.6807922,85.3478135,354.94
ChIJ3zL9d_MZ6zkRpgJ8y2pQ0Ec,bank,Samabriddhi Saving & Credit Co-operative Ltd,bank,"44600, काठमाडौँ 44600, Nepal",27.6800728,85.349116,372.5
ChIJcV_ldfMZ6zkRs1QZUDUEcp8,bank,Readers SACCOS,bank,"M8JX+2GM, महादेवस्थान मार्ग, Kathmandu 44600, Nepal",27.680091,85.3487899,379.36
ChIJ9-MVnfMZ6zkR6Bnpq18A48s,bank,Antique Saving & Credit Cooperative,bank,"M8HX+XJW, Ring Rd, Kathmandu 44600, Nepal",27.6799904,85.3490807,382.22
ChIJZfkhKE0Z6zkRNnRrjH3k4Ro,bank,Sukrapath Multipurpose Co-op,bank,"M8PX+F5R, Kathmandu 44600, Nepal",27.6862312,85.34790269999999,383.04
ChIJexy_gY0Z6zkRtmvUiSQd4MM,bank,Global IME Bank Limited,bank,"Shri Ganesh Marg, Kathmandu 44600, Nepal",27.685581,85.3466078,417.39
ChIJ-9JgjE4Z6zkRrs4wf1uIdXQ,bank,Kamiyabi Multipurpose Co-op,bank,"M8HX+RMG, Ratna Marg, Kathmandu 44600, Nepal",27.6795571,85.3492108,426.66
ChIJ98Qjqo0Z6zkRTFw4vW9hohE,bank,Junar SACCOS,bank,"M8PW+CQ2, Madan Bhandari Path, Kathmandu 44600, Nepal",27.6860166,85.34689329999999,427.57
ChIJbxeRkPMZ6zkReV9gmjgkZ40,bank,Citizens Bank International Limited,bank,"M8HX+QH7, Ratna Marg, Kathmandu 44600, Nepal",27.6794087,85.3489208,448.79
ChIJsbJpmvMZ6zkRQGJL3kJyPfw,bank,Housing SACCOS,bank,"M8HX+QH4, Ratna Marg, Kathmandu 44600, Nepal",27.679397,85.348941,449.59
ChIJ_9MxYPAZ6zkR4hpVIYehyrU,bank,Nepal Bank Limited,bank,"M8HX+MPF, Kathmandu 44600, Nepal",27.6791848,85.3492942,466.14
ChIJFeDCDAAZ6zkR2KS4f4Ca4YQ,bank,Progressive Finance Limited - Corporate Office,bank,"P84G+P57 Shri Raj Bhawan, Kathmandu 44600, Nepal",27.6856366,85.34603550000001,467.09
ChIJF-_ypo0Z6zkRSIYA1wM17WA,bank,Trisundari SACCOS,bank,"M8PW+CGQ, मदन भण्डारी पथ, Kathmandu 44600, Nepal",27.686079,85.346375,469.94
ChIJ0YyKCo0Z6zkRKE5dzgvQRYs,bank,Commerce Bank Limited,bank,"Madan Bhandari Marg, Kathmandu 44600, Nepal",27.6856274,85.3459882,470.43
ChIJNWkfqo0Z6zkRymrhJvw7qqk,bank,Hilltop Junar Multipurpose Co-op,bank,"M8PW+GH8, Madan Bhandari Road, Kathmandu 44600, Nepal",27.6862864,85.3464532,479.62
ChIJvWF5kfMZ6zkRG_ndbguKv5A,bank,Agricultural Development Bank Ltd.,bank,"M8HX+JGG, Araniko Highway, Kathmandu 44600, Nepal",27.6790518,85.3488349,489.35
ChIJMw-ylvMZ6zkR7BCRyp8hA_Q,bank,Peoples' Multipurpose Co-op,bank,"M8HX+JGG, Seti Op Marg, Kathmandu 44600, Nepal",27.6790533,85.34882619999999,489.39
ChIJt4VZdo0Z6zkRHF9L-vvtwHE,bank,Sabhya Samaj Sakos,bank,"M8PW+755, Muni Bhairab Marg, Kathmandu 44600, Nepal",27.6856258,85.3454929,511.98
ChIJD8tgnY0Z6zkRWmgbDcw4_qs,bank,Prarambha SACCOS,bank,"M8PW+75X, Muni Bhairab Marg, Kathmandu 44600, Nepal",27.6857467,85.3454726,520.52
ChIJKR0fkvMZ6zkR-avTjbS5UU4,bank,Global IME Bank Limited,bank,"Araniko Highway, Kathmandu 44600, Nepal",27.67872,85.3488363,525.26
ChIJDa0bvPMZ6zkRqqGqmN2rlJc,bank,Prime Commercial Bank Limited,bank,"M8HW+JWR Nil Griha, Seti Op Marg, Kathmandu 44600, Nepal",27.6791181,85.3472652,540.24
ChIJs7S5qz0Z6zkRebT5AOrs_-M,bank,Nabil Bank Limited,bank,"M8HW+HW6, Seti Op Marg, Kathmandu 44600, Nepal",27.6789232,85.34725230000001,559.75
ChIJ4xnkgY0Z6zkR_DYd_bn4y4g,bank,Bikash SACCOS,bank,"M8PW+822, Shri Ganesh Marg, Kathmandu 44600, Nepal",27.6857724,85.3450039,561.93
ChIJwfVNgo0Z6zkR7kG-V3jbDEk,bank,NMB Bank Limited,bank,"M8PV+8XM, Kathmandu 44600, Nepal",27.685829,85.3449334,571.05
ChIJo3tgqYgZ6zkRCoN1D8jsqRc,bank,Sanima Bank Limited,bank,"M8HW+JGV ANGEL LORD ACADEMY HIGH SCHOOL, Kathmandu 44600, Nepal",27.6791232,85.3462839,593.89
ChIJgUubgI0Z6zkR-SjbfO_kTmQ,bank,Laxmi Sunrise Bank,bank,"1st Floor, जनता सडक, Kathmandu 44600, Nepal",27.685886,85.3445874,604.0
ChIJYyC9fpIZ6zkRJrXzFLi4p84,bank,Siddhartha Bank,bank,"Jagadamba Tower Tinkune, काठमाडौँ 13806, Nepal",27.6859873,85.34434329999999,630.51
ChIJaxRPgSUZ6zkR2XMRieXhFV0,bank,"Kamana Sewa Bikash Bank Ltd, Shantinagar Ext. Counter",bank,"Sairam Marg, Kathmandu 44600, Nepal",27.6887536,85.347954,635.84
ChIJe-rp2fMZ6zkRmvOCMTl2A6I,bank,Helix SACCOS,bank,"M8GX+W5M, रिङ्ग रोड, Kathmandu 44600, Nepal",27.6773286,85.3479076,698.41
ChIJpahSJvIZ6zkROTP3ngpP-tw,bank,Shuva Shanti SACCOS,bank,"44600, काठमाडौँ 44600, Nepal",27.677189,85.3464108,768.89
ChIJOccjWyEZ6zkRjyxSFzwwEEs,bank,Barahi Multipurpose Co-op,bank,"M8HV+FHW, Seti Op Marg, Kathmandu 44600, Nepal",27.6787496,85.34395459999999,783.43
ChIJRfeX96YZ6zkRvxYOxFNEc0g,bank,Aaprawasi SACCOS,bank,"M8QW+J4X, Kathmandu 44600, Nepal",27.6890838,85.3453548,786.47
ChIJQeN3Do4Z6zkRpV708mIJ0rw,bank,Manab Kalyan Saving and Credit Cooperative Ltd,finance,"Shantinagar-31, Kathmandu 44600, Nepal",27.6893149,85.34541100000001,804.39
ChIJHfhf1KUZ6zkR-X1INoNo4Lo,bank,Doleshwor Multipurpose Co-op,bank,"M8HV+H93, Seti Op Marg, Kathmandu 44600, Nepal",27.6788988,85.3434226,813.79
ChIJTdMTxmEZ6zkRT4sy0ZzicEk,bank,Rastriya Banijya Bank,bank,"M8GW+HHW, Kathmandu 44600, Nepal",27.6764778,85.34646219999999,837.79
ChIJ77jaN5IZ6zkRPoNPDGH-v68,bank,Paripurak SACCOS,bank,"M8PV+V2G, शान्तिनगर मार्ग, Kathmandu 44600, Nepal",27.68719,85.342578,847.52
ChIJD-9Ft8EZ6zkRRUKPJNaunmw,bank,Babiyakharka SACCOS,bank,"M8RW+6Q8, Kathmandu 44600, Nepal",27.6905269,85.3469551,854.58
ChIJLeEC2o8Z6zkRqRJ9gGsaazo,bank,Bina SACCOS,bank,"M8QW+X4C, Kathmandu 44600, Nepal",27.6899322,85.3452533,870.28
ChIJIx_6cgAZ6zkR2K94C0Ppvvo,bank,Janasachetan Kathmandu Service Center,bank,"M9G3+CGJ, Kathmandu 44401, Nepal",27.6760965,85.3537656,885.68
ChIJPwyQ-vEZ6zkR4WkQOaprTpk,bank,Him SACCOS,bank,"कोटेश्वर-३५, Kathmandu 44600, Nepal",27.6764034,85.34520049999999,903.64
ChIJf7XksJMZ6zkROn-4mLUeAO0,bank,Kantipur SACCOS,bank,"Gorkha Complex, मदन भण्डारी मार्ग, Kathmandu 44600, Nepal",27.686611000000003,85.341539,909.49
ChIJN_hDgP4Z6zkRNExzF9gyMN0,bank,Everest Bank,bank,"M9G2+3G9, जडीबुटी, Kathmandu 44600, Nepal",27.6751718,85.35136039999999,916.99
ChIJ_fz7ke0Z6zkRDPVwgIVgZJc,bank,Suyogya SACCOS,bank,"M8HR+HQR, Seti Op Marg, Kathmandu 44600, Nepal",27.6789818,85.34190360000001,932.39
ChIJoXm34YgZ6zkRWEKyO-6HRwA,bank,Nhu SACCOS,bank,"M9R2+QG4, Kathmandu 44600, Nepal",27.6918823,85.351321,959.83
ChIJ9WVTwZMZ6zkRvsFo1vrfobE,bank,Kalyan Upakar SACCOS,bank,"M8PR+XCG, Prayag Marg, Kathmandu 44600, Nepal",27.6874364,85.34108979999999,989.05
ChIJHy12w5MZ6zkRbIofWEPvx30,bank,Gurkha Millennium Multi-Purpose Co-operative,bank,"N.K.Singh Marg, Kathmandu 44600, Nepal",27.6875784,85.34113889999999,992.18
ChIJ_afdMScZ6zkRb43r5s4qKm4,bank,Global IME Bank Limited,bank,"M9F2+QM2, Kathmandu 44600, Nepal",27.6743745,85.35159689999999,1008.15
ChIJDx-1s5MZ6zkR2cRwU1plDJQ,bank,Nepal SBI Bank Ltd. New Baneshwor Branch,bank,"New Baneshwor Branch Office, M8PR+X82, Madan Bhandari Path, Meen Bhawan, Kathmandu 44600, Nepal",27.6873826,85.34076379999999,1014.96
ChIJW0hoSwAZ6zkR4D_RWo6cVLs,bank,Nabil bank atm,bank,"M8RW+VR2, Kathmandu 44600, Nepal",27.692112,85.3471045,1017.28
ChIJX79R2ZMZ6zkRTry24fWUa0Q,bank,Sahayatri Multipurpose Co-op,bank,"M8QR+7CX, ठूलो खरी बोट मार्ग, Kathmandu 44600, Nepal",27.6882335,85.3411167,1030.71
ChIJOe6QY7QZ6zkRi8HXc-N560A,bank,Siddhartha Bank Ltd Narephat,bank,"M9F2+MM8, Bhagwan Kripa Marga, Kathmandu 44600, Nepal",27.674168,85.35169619999999,1032.37
ChIJ74OlwIwZ6zkRHxs5rY07PwY,bank,Moneyplant SACCOS,bank,"M8PR+X6P, Kathmandu 44600, Nepal",27.687445,85.34057299999999,1034.88
ChIJo636IOMZ6zkRn2wiY29ZaQA,bank,Saujanya SACCOS,bank,"M8QV+X3J, Thulo Kharibot Marga, Kathmandu 44600, Nepal",27.6899711,85.34262939999999,1035.38
