building_type,name,latitude,longitude,building_area_sqm
yes,Office of the Prime Minister,27.6979533747865,85.3242843180378,4125.38
yes,,27.690506093195836,85.34021810530686,826.24
yes,,27.693029334485697,85.32462595034546,3795.15
yes,,27.69093924854604,85.32466218125299,781.14
school,,27.68244362339006,85.33330786762362,181.02
yes,,27.698625979342804,85.32442703136093,1314.74
yes,,27.694536406692798,85.3225382008578,226.01
yes,,27.69294768518164,85.33656663351852,70.77
yes,,27.692906656991024,85.33663469002055,44.72
yes,,27.70027180075391,85.3261994173955,107.98
yes,,27.700642540043432,85.32553127338505,1119.56
yes,,27.694228486470664,85.32221475455555,100.58
yes,,27.694783442670122,85.32637557778669,991.13
yes,,27.691669352749955,85.33160785716233,190.22
yes,Gelos Boys Hostel,27.685955464766366,85.3334393264113,146.08
yes,,27.685915741740434,85.3335323476054,55.25
yes,Nepal Drugs,27.690037157712254,85.32735737921286,4716.28
yes,,27.689716963729158,85.3374611325049,7980.35
residential,,27.698878508771294,85.32699699980299,4004.22
yes,,27.685436902952784,85.33734030351005,875.93
yes,,27.686542028358442,85.34644768158944,38.01
yes,,27.686444346245352,85.34636712543356,51.26
yes,,27.68647742255229,85.34650761573992,72.09
yes,,27.68449859810559,85.33138550349078,109.82
yes,,27.684419851887917,85.33146966460747,199.84
yes,Ministry of Home Affairs,27.699502093527038,85.32357451944,399.71
yes,Naya Baneshwar Departmental Store,27.687892030546667,85.33556841318021,291.24
hospital,एभरेष्ट अस्पताल (नयाँ बानेश्वर),27.68849711913952,85.33289443579649,1513.3
yes,,27.68826180000346,85.33401089999047,268.0
commercial,New Baneshwor Plaza,27.690232624952596,85.33555041418158,514.24
office,,27.689798333648074,85.33064228172904,301.51
hotel,Khumbila Hotel,27.704690026192317,85.34483784280906,190.1
residential,Sandlewood Cafe,27.68475071312713,85.32625986467708,0.06
house,,27.68272531327116,85.33630772896616,93.56
house,,27.682678439819025,85.33639321155425,67.79
house,,27.682640652438334,85.33646956268811,106.65
house,,27.682781903099887,85.33648322379463,114.97
house,,27.68272793969825,85.33658549602535,116.06
house,,27.682952265144102,85.33645684820699,124.47
house,,27.68262410000301,85.33626274999568,103.03
house,,27.682826564262577,85.33639331482566,113.21
residential,Naresh Giri,27.682596289892196,85.33635056063646,97.18
yes,Inland Revenue Office,27.691551536050643,85.32395104417992,457.31
government,Forest Department,27.69157218396124,85.3247627816554,1040.52
school,Phoenix College,27.704159070576576,85.33218001061248,210.49
house,Krishna Timilsina,27.692636719625877,85.3258855914779,95.08
house,,27.682924750001483,85.33634455000173,67.8
yes,,27.68468952923395,85.34783965201686,688.71
yes,,27.68430401593023,85.34795910926779,69.69
yes,,27.6850132619309,85.3475492465117,208.61
office,Black Swan Investment Technologies,27.682183507193376,85.34380716659041,112.86
yes,SoftNEP Private Limited,27.688655150004255,85.34160459999974,68.34
yes,,27.684182508769485,85.34782368670311,46.95
yes,,27.68381132513789,85.34736533279589,87.17
yes,,27.68395211259755,85.34755340166555,67.74
yes,,27.684031923720223,85.34764178298603,83.42
yes,,27.684061561014744,85.34602139895185,123.17
yes,Chhimeki Shopping Center,27.683878946463636,85.34619328323416,282.87
yes,,27.684345299032557,85.34774815199793,284.59
yes,,27.684496427119257,85.34741939741303,177.25
yes,Kantipur Publication of Nepal,27.68536506150714,85.3453606401799,514.41
yes,Ministry of Finance,27.69801901358986,85.32531218572414,488.9
yes,Ministry of Energy,27.697403664453226,85.32530812509907,958.77
yes,Ministry of General Administration,27.696464460862344,85.32286800934277,912.31
school,,27.69485477885276,85.35190804932057,595.59
commercial,J B Tailors,27.68587984749917,85.34528641125718,60.75
yes,,27.684636104990137,85.3449510520848,152.56
commercial,Neupane Tower,27.685889059630956,85.34447415377603,432.22
yes,38 Mitra Marga,27.683416476245185,85.34410714234087,127.13
yes,,27.683421293194154,85.34348785889405,63.1
college,,27.68534651098078,85.34363696232641,303.67
yes,,27.683415474941924,85.34359069041984,70.62
commercial,,27.685332066109133,85.34448472400095,105.66
yes,,27.68331698124277,85.34317809076173,101.55
school,triton school,27.684034565986853,85.34439042004863,109.98
yes,,27.683418550307678,85.3438668986918,178.81
yes,,27.683448093997722,85.34298755762455,45.31
yes,Gautam Niwas,27.682730555782467,85.34532585715128,107.11
yes,,27.68272467609967,85.34575914047764,108.21
school,V.S. Niketan School & College,27.685737230429083,85.34403992543774,193.08
yes,,27.682778132065184,85.34587081724824,107.42
yes,,27.683089649999243,85.34576210000537,61.65
yes,Kathmandu Municipality Ward No. 34 Office,27.699619542330097,85.34426833303738,155.24
house,,27.682688571536513,85.34449936270805,107.58
yes,,27.682918586658328,85.34419258176524,72.55
yes,,27.68213188546145,85.34440897830416,61.68
school,,27.681853436031734,85.34288326843658,177.82
yes,,27.682409550003243,85.34412049999644,95.63
yes,,27.682025012424308,85.34305643280666,96.26
yes,,27.681823023332605,85.34360897668903,69.16
yes,,27.682342056564956,85.34472517066008,121.82
yes,,27.68191490016635,85.3439484973124,93.98
yes,,27.682019093083902,85.34384782233457,69.35
yes,,27.681700873767365,85.34356918413098,31.69
yes,,27.68169883291137,85.34368621562132,16.86
yes,,27.68200993784758,85.3444832482208,6.59
yes,,27.682084933072126,85.34360948657238,56.77
yes,,27.681970641165154,85.34433547305659,93.02
yes,,27.681789219873092,85.3437438923687,57.06
yes,,27.68196714178317,85.34422473208387,131.47
yes,,27.68238197658235,85.34486763537977,58.1
yes,,27.682468567412492,85.34469083918002,132.9
yes,,27.681793712152157,85.34393404975378,70.26
yes,,27.68200515000558,85.34397214999957,94.18
yes,,27.682679672589455,85.34424702002454,130.17
yes,,27.68231631216933,85.34458550823017,79.49
yes,,27.682097170342022,85.34460562949657,92.92
house,,27.68212483244841,85.34237234787042,107.69
house,,27.682190600004315,85.34254694999962,68.85
house,,27.681961400003374,85.34230234999468,122.47
house,,27.6817048705769,85.34244190418812,70.84
house,,27.681667150010558,85.34266335000045,103.43
house,,27.681849950009582,85.34224340000137,90.62
house,,27.681745700000924,85.34223604999715,91.99
house,,27.68181480688013,85.34269432838374,146.18
house,,27.68212990000429,85.3426382999996,68.79
house,,27.682034052539066,85.34193357144642,189.41
house,,27.681975602071763,85.34276919631611,102.0
house,,27.681826415412253,85.34237877876478,94.24
house,,27.682740604039136,85.34498546705944,80.47
house,,27.68183060000013,85.34253824999465,103.87
house,,27.681681829466562,85.34252435987815,74.69
house,,27.68192815000012,85.34242104999463,103.84
house,,27.68208980000297,85.34246654999065,107.77
house,,27.682015200004916,85.34255030000237,60.43
house,,27.681774440563306,85.34179852224877,97.57
yes,,27.682500207614883,85.34231540212448,258.98
yes,,27.681870701701758,85.34200409235237,200.88
yes,,27.682264186339356,85.34307474385918,124.28
yes,,27.682521179327825,85.3430781226956,76.93
yes,,27.682362394570184,85.34329091460418,82.45
yes,,27.682567396954358,85.34334214715746,116.78
yes,,27.68276596595553,85.34273259838166,105.66
yes,,27.682727185713127,85.34329704658118,255.58
yes,,27.682371251922405,85.34285248370185,96.36
yes,,27.682270250004915,85.34292825000126,77.37
yes,,27.68243487797514,85.34317441004909,52.02
yes,,27.68219540340019,85.34300464294478,92.39
house,,27.681979444601662,85.34215946215807,97.11
yes,,27.682685458006812,85.34262486034416,120.48
yes,,27.68244466126047,85.34301288286026,123.54
house,,27.681244005059884,85.3422794748087,109.16
house,,27.68149248162412,85.3421610347802,92.63
house,,27.68148505212518,85.34206167025731,75.6
house,,27.681486724246,85.34191335646388,126.41
house,,27.681499811998243,85.3423565512479,100.84
house,,27.681231714980107,85.34247493166411,18.02
house,,27.68121963320292,85.34102282575043,110.7
house,,27.681537358049926,85.3415121435635,68.0
house,,27.681490270515944,85.34257638723062,90.9
house,,27.681534011487646,85.34160752740547,52.94
house,,27.681248098772503,85.34087284786858,116.69
house,,27.68150097496253,85.34270971250213,85.61
house,,27.682216264075702,85.33983988115611,94.07
house,,27.68169577381188,85.34052146963653,122.1
house,,27.68179029960057,85.34041221665478,74.11
house,,27.68156631519552,85.34076854920183,156.08
house,,27.681317494136817,85.3405050523867,130.8
house,,27.68160411255043,85.34054297549046,53.79
house,,27.681861166256546,85.34034301621392,74.17
house,,27.68212349000486,85.33997165617444,62.39
house,,27.682156950004774,85.33944094998625,60.81
house,,27.681019400728275,85.33993375030143,135.99
house,,27.680986573617623,85.33980944558408,152.5
house,,27.68108777400363,85.34020962380033,96.81
house,,27.681140367521156,85.34031598775825,74.66
yes,Cadastral survey Branch,27.685313786135666,85.34029281899542,295.53
yes,Geodetic Survey Branch,27.68558223557081,85.340254014607,627.29
yes,Topographical Survey Branch,27.686260257019573,85.34022537600778,803.75
yes,Geographic Information Infrastructure Division,27.686015152142314,85.34056211906608,961.53
yes,Survey Department,27.686347396173907,85.34065445994364,552.57
commercial,Jyotishree Pvt. Ltd,27.690195588132433,85.32648058209844,210.33
yes,Onion Films Nepal,27.688936499998583,85.32849384999967,51.98
government,Ranjar Bhawan,27.69048091298944,85.3258378019539,185.86
yes,Rudreshwor Temple,27.689690050001,85.3283404999999,29.26
residential,Stupa Colony,27.68742251190894,85.32576814158922,443.42
residential,Stupa Colony,27.687450409470742,85.32560380764407,213.85
yes,Lumbini Boys Hostel,27.692063721565038,85.3294880018232,64.99
yes,,27.69611428513555,85.32346522000415,927.16
residential,Chaubis Niketan,27.693311876204827,85.35130328763442,11.58
college,Old Whitehouse International College,27.694027458485966,85.33730402071699,419.25
hospital,,27.698358739662496,85.34815450186439,284.68
yes,Oyster Fitness Centre,27.69849394753096,85.34908519809915,511.64
residential,,27.69881935618439,85.34921041413774,126.47
house,,27.7019178000004,85.32618064999356,97.99
yes,,27.697986916310967,85.33484464170968,95.55
yes,,27.698048687356444,85.33498958080672,147.19
yes,,27.698454598843963,85.33482687011184,107.8
yes,,27.698119640983734,85.33491502617672,64.17
yes,,27.698384296715293,85.33475602937486,73.98
yes,,27.69832077119489,85.33517557489432,101.23
yes,pandey galli cafe,27.697926249997742,85.33535604998129,196.18
yes,,27.69828043252413,85.33470056085496,88.52
yes,,27.699889381193266,85.33492560735861,80.13
yes,,27.698787954852364,85.33462078064474,82.02
yes,,27.69785620150339,85.33266194570228,114.37
yes,,27.698758040293754,85.33470954805617,54.86
yes,,27.698374893027147,85.33445911304587,71.73
yes,,27.698821309160767,85.33452386396291,92.02
yes,,27.699263753440995,85.33469370031106,130.75
yes,,27.698292827201147,85.3344213612227,61.67
yes,,27.697880098685065,85.33403644774843,121.8
yes,,27.69952862486639,85.33553051170468,207.3
yes,,27.69800209943829,85.33414825152039,98.56
yes,,27.699005107123167,85.33432331618978,120.08
yes,,27.69847635579944,85.33513392172371,112.53
yes,,27.698348792782525,85.33506216449517,48.23
yes,,27.69897065861398,85.33456704878898,98.45
yes,,27.69885938477907,85.33442247711385,95.62
yes,,27.698145780699598,85.33424610064961,50.55
yes,,27.699187014939106,85.33464821275807,111.75
yes,,27.699252166094414,85.33500107621067,88.66
yes,,27.69923895000157,85.33541504999613,51.44
yes,,27.697986026911337,85.33426558767465,95.96
yes,,27.699306094465502,85.33490616605667,92.07
yes,,27.699195550003708,85.3343702499974,87.49
yes,,27.69796742710669,85.33274848897146,104.4
yes,,27.698717408286694,85.33479766773422,93.0
yes,,27.698490631180906,85.33448014352355,78.83
yes,,27.69777591913144,85.33490630461986,112.74
yes,,27.69909662230424,85.3345881112611,120.83
yes,,27.699231992869166,85.33453289512434,121.33
yes,,27.698445250009268,85.33459750000252,120.21
yes,,27.698490883425585,85.33501434922661,73.91
yes,,27.697698661967216,85.33366782484563,43.62
yes,,27.699305550001533,85.33382889999648,103.97
yes,,27.699181870571323,85.33548290508166,104.77
yes,,27.699376657671124,85.33538307732567,123.74
yes,,27.698855077315923,85.33482171859094,181.29
yes,,27.698664050003618,85.33560529999505,116.59
yes,,27.693067418894895,85.34818244741803,107.13
residential,,27.69265198301208,85.3500002981435,67.12
college,,27.691152030784,85.35071825558833,190.16
yes,,27.69245819630272,85.35027132821875,78.5
yes,,27.69258325963855,85.3503322810634,76.01
yes,,27.692125169571533,85.35039021781243,68.63
yes,,27.692379683863447,85.35023534371219,112.8
yes,,27.692873768881025,85.34837717555843,272.78
yes,,27.692488886655795,85.3507463209679,190.15
school,,27.7028855828397,85.3457210180715,215.73
residential,,27.693035509885473,85.34959219136387,101.51
school,,27.692890443685794,85.35067350241023,60.86
yes,,27.692458894025002,85.3504953389797,72.65
yes,,27.692860026480158,85.34817822453408,191.93
residential,,27.693032250074527,85.34985462963203,162.42
college,,27.691191563921517,85.35058702448949,117.52
yes,,27.692540584858126,85.35041086055136,67.11
residential,,27.69259580351432,85.35008613084786,67.06
yes,,27.692634431366933,85.35025021291814,115.71
residential,,27.692938194831267,85.34980279273003,60.64
yes,,27.69230042409141,85.35034975688548,81.21
school,,27.692725578376912,85.35087786032719,139.11
school,,27.693004728449424,85.35053634254463,151.3
school,,27.692994382677814,85.35082346935613,100.5
residential,,27.69276391703192,85.3494711017897,86.35
college,Administrative Block,27.69130483599555,85.35020085078243,1164.54
yes,,27.69208321394265,85.35026923153846,123.64
yes,,27.69292016079849,85.35004794300764,81.59
residential,,27.692788823944227,85.34891765474335,110.34
yes,,27.692265979787063,85.35046869473223,143.33
yes,,27.692960500005025,85.34994409999466,83.52
yes,,27.68167678240701,85.33898759260057,102.94
yes,Annapurna Catering Service,27.689937027592627,85.33914254170992,13.88
roof,Launch and Tiffin Box Pvt. Ltd.,27.68995038081156,85.33906004344962,78.78
yes,,27.691194241114108,85.3412361335766,57.12
residential,Bipin's House(Web Designer),27.700382154983853,85.34149319903871,90.49
yes,Kavre Dairy,27.70079370119609,85.34158759645267,110.22
commercial,,27.698728249979666,85.34160989997875,180.76
commercial,Ace Institute of Management,27.69043387389863,85.33980615862883,311.62
yes,,27.690128108929876,85.33934003176778,356.63
