building_type,name,latitude,longitude,building_area_sqm
yes,,27.681937824901063,85.43023702778598,651.69
school,Gyan Bijaya Lower Secondary School,27.672876704452133,85.42273967993667,479.7
yes,,27.671815721630033,85.42287944596862,392.4
temple,Nawadurga Temple,27.675186988997993,85.43575706119147,228.51
yes,,27.67110168116973,85.41781140633383,676.2
yes,,27.675356856374787,85.44185059643726,152.53
yes,,27.672493052051575,85.43314272824286,281.59
yes,,27.672524641045428,85.42823067480954,1188.12
yes,,27.67368673330026,85.41886934248774,1081.84
temple,Nyatapola Temple,27.67140971953947,85.42937250533758,580.35
hospital,,27.67211490001695,85.4220308500194,419.4
temple,Bhairabnath Temple,27.67109442818028,85.42946994257679,247.63
yes,Ta Dhi Chhen,27.671953045137162,85.4292964696067,398.67
temple,Shilu Mahadev (Fasidega),27.67240955824625,85.42890683275787,466.98
yes,Bishransthal Khajaghar and Cold Store,27.682472033732154,85.42972823292855,138.23
yes,Milan Furniture,27.68366673683001,85.43021888959196,176.2
yes,Pretty Beauty Parlour,27.68543391799173,85.43005896586733,14.8
yes,,27.682279317693258,85.42974387547109,70.67
temple,Krishna Temple,27.6721818000072,85.42757404999917,194.37
yes,,27.66377050000706,85.42197300000333,99.05
yes,,27.6640141500006,85.42226404999663,16.91
yes,,27.66396174999946,85.42273179999586,47.07
yes,,27.662735450000415,85.42237219999795,27.62
yes,,27.662342376280222,85.42160018477654,71.55
yes,,27.663914400004032,85.4236547499997,38.96
yes,,27.663830419626553,85.42271421406586,28.95
yes,,27.664045253405092,85.42296018048567,50.64
yes,,27.66216065000325,85.42400589999836,64.17
yes,,27.663498152822857,85.42402977499553,56.36
yes,,27.661683541982324,85.42174462263962,80.56
yes,,27.663584626127324,85.42364653600016,78.45
yes,,27.6629125500027,85.4241505999994,86.86
yes,,27.663450068996084,85.42255430928238,62.54
yes,,27.66307745000663,85.42229384999953,107.18
yes,,27.663264592733583,85.42361007458159,78.16
yes,,27.66215444380309,85.4233413234264,75.24
yes,,27.663706752080845,85.42191876584182,85.05
yes,,27.664000275177994,85.42318309174166,17.38
yes,,27.66364765346645,85.42384472678691,55.0
yes,,27.663843050007262,85.42345464999947,58.54
yes,,27.66317705000451,85.42353804999958,68.99
yes,,27.663950194437692,85.42170064554395,23.79
yes,,27.662496100000116,85.42222780000019,16.66
yes,,27.662717360558343,85.42241724884492,31.01
yes,,27.66354942502144,85.42402802496571,45.93
yes,,27.66353034870754,85.42259306819268,33.14
yes,,27.663558150007947,85.42198685000767,84.27
yes,,27.66175956923127,85.42168237040681,20.8
yes,,27.66305350000033,85.42374224999988,26.91
yes,,27.663787918872664,85.42269466499809,31.16
yes,,27.663787573068394,85.42403616867243,87.41
yes,,27.661768780742477,85.42266048487721,80.33
yes,,27.6632489247363,85.42382364681224,45.68
yes,,27.66402700000954,85.42279140000451,71.43
yes,,27.662064400005537,85.42312210000726,80.02
yes,,27.662659107151807,85.42389347186587,8.25
yes,,27.663662279058393,85.42340683757827,15.74
yes,,27.66290890726962,85.42209993469304,80.71
yes,,27.66394584187967,85.42279281970568,38.16
yes,,27.66235925000204,85.42225044999954,24.72
yes,,27.663615165928817,85.42203840852423,82.8
yes,,27.66225615088233,85.42203928346706,41.76
yes,,27.661684450002465,85.42392884999938,43.56
yes,,27.663218306752768,85.42409357550781,101.36
yes,,27.664072642540273,85.42313817470342,47.52
yes,,27.662201050001585,85.42412549999719,74.11
yes,,27.663735524626624,85.42319392130106,85.27
yes,,27.661867872197217,85.42370736196872,59.74
yes,,27.663252632626044,85.42218141904013,75.89
yes,,27.66223650000212,85.4222786499992,17.98
yes,,27.66380938320299,85.42224884649396,21.25
yes,,27.664004530868784,85.4226009467997,112.36
yes,,27.663494767424396,85.42258090280716,25.13
yes,,27.6632520999937,85.42377944999953,42.93
yes,,27.662193750001176,85.42195294999881,20.14
yes,,27.66369829411011,85.42278592024931,45.7
yes,,27.66399110823479,85.42159575535648,72.16
yes,,27.66382729620221,85.42387707477205,76.58
yes,,27.663642535057352,85.42186485883065,82.8
yes,,27.662371799995842,85.42413074999995,90.49
yes,,27.661679349996188,85.42181904999678,55.47
yes,,27.663607150011856,85.42402414999893,78.05
yes,,27.663163843404355,85.42365012459764,82.2
yes,,27.663414495741776,85.42408842513859,35.39
yes,,27.662160811783252,85.42372594711577,54.59
yes,,27.66386616506961,85.4235593819389,86.74
yes,,27.662818479022693,85.4239543876452,66.57
yes,,27.662373832445574,85.42153868227881,79.22
yes,,27.66395618326043,85.42150384777639,61.39
yes,,27.66241530000057,85.42225425000085,27.66
yes,,27.663342770669665,85.42400097458429,21.65
yes,,27.663585900013572,85.4238200500009,85.41
yes,,27.6636777500098,85.42401200000074,64.59
yes,,27.661942570863005,85.42371741429434,93.7
yes,,27.662808050006877,85.42406774999948,79.6
yes,,27.66322434999653,85.42401490000027,30.7
yes,,27.663343099998485,85.42404510000028,34.0
yes,,27.662134544516277,85.42379213206921,18.14
yes,,27.66183020001255,85.42266955000677,61.71
yes,,27.663702626177994,85.42365959226316,113.44
yes,,27.662457544675334,85.42223242609232,9.22
yes,,27.663124075302854,85.424053409186,83.0
yes,,27.662248630756263,85.42191701238642,21.57
yes,,27.6637206000055,85.42267615000254,43.26
yes,,27.663978250006565,85.42213909999809,108.46
yes,,27.663963200004098,85.42345979999986,52.72
yes,,27.663731972668632,85.4240272744503,54.03
yes,,27.66249204458075,85.42373247015577,116.77
yes,,27.66343515001263,85.42157320000432,136.32
yes,,27.663893046188797,85.42384587477886,53.34
yes,,27.661722850002686,85.42166920000065,27.2
yes,,27.663978699997195,85.42267049999144,63.84
yes,,27.663379261830944,85.4225229812845,62.52
yes,,27.66384163178862,85.42227886625895,20.28
yes,,27.662094562661807,85.4217018241899,72.58
yes,,27.66377185830291,85.4228102818923,47.25
yes,,27.662276611077363,85.42226818497873,21.24
yes,,27.66357419796912,85.42261597337563,55.83
yes,,27.663835627935022,85.42284401565361,32.18
yes,,27.6640359271931,85.4237486964379,34.58
yes,,27.661689006061053,85.42368125433701,65.98
yes,,27.66171186045425,85.42385343101583,55.54
yes,,27.66393009621914,85.42232881887523,105.98
yes,,27.661752354624582,85.4221410872291,119.11
yes,,27.662289367637555,85.42314942051604,139.04
yes,,27.66377625584549,85.42213243281412,27.88
yes,,27.661776141874586,85.42369726412073,81.18
yes,,27.663730531893957,85.42208944726458,35.52
yes,,27.663897725987223,85.42405660245146,148.12
yes,,27.661891077211195,85.42401715751001,66.1
yes,,27.66325656612094,85.4239016687525,99.22
yes,,27.662704649865677,85.42401434292043,126.26
yes,,27.663717925990778,85.4238626081923,58.46
yes,,27.66404061442591,85.4234731179038,59.55
yes,,27.661772318248907,85.42409565264097,69.44
yes,,27.662248741837683,85.4229780645849,83.63
yes,,27.662975346956873,85.42206266962089,69.29
yes,,27.673075823482872,85.42260900388526,58.57
yes,Nepal Electricity Authority,27.673335813784963,85.42274857656517,147.13
yes,,27.673084393075744,85.42273622355451,85.12
yes,,27.665845413662197,85.42040055348838,216.02
yes,,27.665829167308512,85.42053247218504,220.72
yes,,27.665836161586103,85.42067947580065,164.77
yes,,27.6658028718115,85.42098041009794,109.13
yes,,27.665768910225694,85.4211456600395,254.75
yes,,27.665714417798874,85.42130066669395,86.9
yes,,27.665722862449208,85.42138968626753,74.63
yes,,27.66540330857134,85.42059301663456,54.68
yes,,27.665399717336207,85.42069806695898,129.98
yes,,27.665210639440893,85.42072628776175,110.2
yes,,27.665138241422156,85.42069892845477,61.78
yes,,27.665081851071374,85.42066601289669,80.53
yes,,27.66528596971958,85.42037636523601,106.05
yes,,27.665206652401373,85.42044077256382,73.31
yes,,27.66551312153264,85.41986791556819,130.7
yes,,27.66555449271307,85.42006657215407,116.44
yes,,27.665451110314986,85.42004271030363,175.14
yes,,27.665916469129062,85.41998196432297,116.14
yes,,27.66589882821306,85.4201979656496,189.72
yes,,27.665888015554348,85.41986106577804,95.89
yes,,27.66601521135899,85.41955474146826,39.04
yes,,27.66600677803875,85.41964510496967,59.17
yes,,27.665995297403924,85.41977439456359,48.81
yes,,27.66587390510391,85.41960950708467,147.87
yes,,27.665839938584586,85.41925067043199,74.63
yes,,27.66583115212828,85.41934701975475,115.44
yes,,27.665739840564818,85.41930124181431,92.4
yes,,27.665644893270336,85.41924202287886,95.36
yes,,27.665706305428646,85.4195091072373,186.6
yes,,27.666049584642227,85.41914642493593,378.63
yes,,27.66576303850702,85.41905230768486,86.17
yes,,27.66576072423355,85.41915083744972,91.84
yes,,27.665659160070316,85.41900886563164,91.45
yes,,27.665599191539535,85.41873500105241,144.83
yes,,27.66541073373183,85.41896343906191,59.2
yes,,27.665029453742026,85.41944035419527,62.81
yes,,27.665089004384974,85.41947568078055,85.85
yes,,27.665148818709895,85.41950961371535,62.35
yes,,27.665202600124097,85.4195341579264,66.62
yes,,27.665259600935627,85.41957429642912,90.23
yes,,27.6654347354139,85.41931576138464,78.08
yes,,27.665523766676372,85.41937198039597,91.82
yes,,27.665410372570133,85.41945089539153,92.23
yes,,27.665434114566853,85.41963019510167,84.27
yes,,27.665338736142125,85.41959336444322,31.18
yes,,27.66536460360907,85.41966629234466,76.18
yes,,27.665159610727905,85.42038481238578,37.45
yes,,27.665207375520723,85.42031515208113,62.55
yes,,27.66526036122607,85.42000087834184,215.24
yes,,27.665310377773935,85.42012176356917,57.33
yes,,27.665280731649627,85.42017514735967,71.25
yes,,27.665278088516846,85.42025694521274,148.91
yes,,27.665082098662815,85.4203673626395,70.72
yes,,27.665009045538316,85.42031291744647,80.31
yes,,27.66494376817749,85.42040336424695,111.06
yes,,27.665027513670847,85.4204714785201,102.44
yes,,27.6650451994828,85.42112378373167,72.64
yes,,27.664989948303102,85.42115253240301,77.33
yes,,27.664933605106583,85.42121352584302,90.09
yes,,27.664877250409226,85.42128046722587,68.98
yes,,27.664807657141694,85.42128414990222,113.25
yes,,27.66527106069446,85.42109165027793,244.27
yes,,27.665177964211843,85.42115896666519,29.98
yes,,27.66539841638647,85.42118249094386,125.7
yes,,27.665309903227264,85.42135758513973,67.82
yes,,27.665357830141115,85.42138862138286,72.92
yes,,27.665422207443992,85.42147197748106,131.06
yes,,27.665611704637275,85.42177110648645,43.2
yes,,27.664774954408713,85.41817646179562,103.23
yes,,27.664756404818373,85.41825590962796,90.55
yes,,27.664780078974918,85.41882776131743,100.17
yes,,27.664505260768756,85.41900939279958,78.04
yes,,27.664485642889503,85.41926088489127,70.25
yes,,27.664460292302657,85.41933076306286,76.37
yes,,27.66428129156796,85.41919408894668,120.88
yes,,27.664190035277457,85.41931829584301,133.85
yes,,27.664105315420862,85.41910124300387,294.93
yes,,27.663968600003518,85.41883644999447,95.73
yes,,27.664626917350713,85.418217596771,83.77
yes,,27.664554799124296,85.41836962669385,181.39
yes,,27.664453163326602,85.41836963661328,84.13
yes,,27.664373230931204,85.41834686417863,58.63
yes,,27.664286004861854,85.41829387303358,113.05
yes,,27.664326539194242,85.41818484354638,42.99
yes,,27.6641071162581,85.41849887560213,72.21
yes,,27.664354790491267,85.4197565275084,84.23
yes,,27.664321776359447,85.4198392275137,79.33
yes,,27.66512052068747,85.41968787312146,72.06
yes,,27.66460005869888,85.4193180452536,90.76
school,,27.664851058398007,85.41950319172305,129.06
yes,,27.66489787330324,85.41956547261508,100.48
yes,,27.66485825930729,85.41983291084966,95.69
yes,,27.664955306225394,85.4199048373963,94.4
yes,,27.665058600007402,85.41990150000265,74.73
yes,,27.664801311588477,85.41998634361784,97.38
yes,,27.664834818628442,85.42015386653553,120.66
yes,,27.664857521325814,85.42033972412402,62.36
yes,,27.6648061175478,85.42031889673574,41.89
yes,,27.66478230145087,85.42052126128117,61.31
yes,,27.664702364717016,85.42036832918097,40.62
yes,,27.664685174962038,85.42047518897785,100.54
yes,,27.66465306369737,85.4203446003608,60.06
yes,,27.664586355963564,85.42028743921354,90.85
yes,,27.664603354241574,85.42018218736972,59.17
yes,,27.66468066448095,85.41985044111797,89.61
yes,,27.664467769520193,85.41991015487288,81.81
yes,,27.664442323130896,85.41996816831045,97.75
yes,,27.664415812660472,85.42003318133293,101.5
yes,,27.664392903986748,85.42009714120287,96.32
yes,,27.66431755606788,85.42019119110324,76.39
yes,,27.664299037417234,85.4202836707685,102.32
yes,,27.664283221691615,85.41995237895276,70.46
yes,,27.664249979420116,85.42002463743515,69.79
yes,,27.664193582145924,85.42010302287107,133.93
yes,,27.664149334328947,85.42019700246908,125.97
yes,,27.664540860609993,85.4207765112207,91.68
yes,,27.664456735292433,85.42073731833727,65.21
yes,,27.664386368660377,85.42070437121333,107.43
yes,,27.664214651278233,85.42073022274268,113.88
