building_type,name,latitude,longitude,building_area_sqm
hospital,Stupa Community Hospital,27.72074621862627,85.36481910499825,544.3
yes,,27.71331296730038,85.34980023996964,113.93
house,Shre Om Bastralaya,27.71311795468213,85.35110695532795,161.44
yes,,27.729125349752152,85.36034864270415,526.05
yes,,27.722976010960778,85.35213938160472,136.14
yes,Sherpa Monastery,27.720938873471948,85.36007755639626,481.1
temple,Baudhanath,27.721435706208474,85.36200444124628,5520.9
hotel,,27.722140318967657,85.35697583430806,9820.72
temple,Shechen Gompa,27.724445865277676,85.36079889914825,363.06
yes,Guheshowari Mata,27.711213100003537,85.35329894999757,65.02
yes,Dibya Fast Food,27.712792505920262,85.35997770595715,100.85
office,Bima Samiti,27.724993874829924,85.34933703978045,315.57
office,Nepal Film Development Corporation,27.724371841083165,85.34885152426347,558.27
yes,Rajdhani Newspaper Press,27.72670198205907,85.3493098308826,321.82
college,,27.72153376432067,85.3487402091427,481.25
school,,27.726613019014657,85.3563202651452,340.29
school,,27.72628232047233,85.35644677682633,275.29
yes,,27.730192650000074,85.35928149999877,93.83
yes,,27.714624150030463,85.35288004999995,218.12
yes,,27.723281199999104,85.35511739998893,93.84
yes,,27.723656750007663,85.35743009999554,154.66
yes,,27.727034624008315,85.37428430880625,98.08
residential,,27.714284198678985,85.35214635148344,98.96
yes,,27.71893287216352,85.34871349053253,76.22
yes,,27.726301207203893,85.34962382491624,120.22
yes,,27.717172224166237,85.35270205948585,110.9
yes,,27.7247552061253,85.37115756559375,140.27
yes,,27.716369006032156,85.35248806461374,48.48
yes,,27.71490439630289,85.3539521663057,84.0
yes,,27.724754300005653,85.35027789999945,102.32
yes,,27.725076950003828,85.37260669999553,88.86
yes,,27.727038390475823,85.3529772233127,100.42
yes,,27.727576529692673,85.37541469883729,86.8
yes,,27.717110133195362,85.35441983278398,141.74
school,,27.726511860534988,85.35305276483287,96.87
yes,,27.73009500000746,85.35894389999945,126.21
yes,,27.714798557819044,85.35407882939417,73.39
residential,,27.71439259979398,85.35225365038953,107.94
yes,,27.722768706920906,85.35444188130384,92.23
yes,,27.728424308478026,85.35671675366473,568.03
yes,,27.725650904941407,85.37208292853312,135.62
yes,,27.7259574509552,85.37222591510704,182.78
yes,,27.725886626824565,85.37529638119666,59.85
yes,,27.716298339843725,85.35398978473036,72.92
yes,,27.71765594237735,85.35402876940711,111.23
residential,,27.713748830012225,85.35185769262264,90.68
yes,,27.723544196583358,85.37292883337554,110.36
yes,,27.72325239999889,85.35525859998383,74.87
yes,,27.728430491493405,85.35651781930193,107.67
yes,,27.723264677929404,85.37364371025089,100.89
yes,,27.725852224653078,85.34961068728589,92.24
yes,,27.727842268520394,85.35476461052019,92.6
yes,,27.71558353111468,85.35395689380576,87.72
yes,,27.724684425812026,85.37494044256026,148.38
yes,,27.730704750009593,85.35903819999761,86.59
yes,,27.716335150004117,85.35406665000686,77.85
yes,,27.715459200001135,85.35392984999513,89.34
residential,,27.714831097052237,85.35214281750166,82.2
yes,,27.726449368791464,85.37261596550691,107.13
yes,,27.724601492245394,85.36945620830235,159.76
school,,27.726388950018055,85.372263849999,284.67
yes,,27.72886097633466,85.35645005380364,130.9
yes,,27.714661401455036,85.35361067131348,116.61
yes,,27.730428374348122,85.35790460788735,119.12
yes,,27.724631763175427,85.34729665779322,142.84
yes,,27.716728300017998,85.35513289999838,197.04
yes,,27.72638970000582,85.35001865000008,86.18
yes,,27.718183950006583,85.35477420000065,93.0
yes,,27.725541550009204,85.37485799999355,93.99
yes,,27.728660980482843,85.35645393947898,98.61
yes,,27.724663242366052,85.3474339198429,136.63
yes,,27.725326528776424,85.37405692035057,97.29
yes,,27.724764046585673,85.37299008131374,117.85
