building_type,name,latitude,longitude,building_area_sqm
yes,Ministry of Education,27.714681741330832,85.31430964686238,2502.3
yes,,27.71479015156122,85.31645552021767,2150.56
school,Adarsha Lower Secondary School,27.713566359895108,85.33131368836115,2846.74
yes,Mercentile Building,27.712713480629834,85.31930655658952,1159.38
Advertising_Agency,Himali Advertising Agency (P) Ltd,27.70604395163519,85.31836867394036,681.06
yes,Kumari House,27.703793844625764,85.3065012257763,200.43
yes,,27.706209274516908,85.32734722406403,2487.28
hotel,Hotel Kaze Darbar,27.711564408979918,85.32676884923043,843.22
Youth_Organization,Nepal Scout Head Quarter,27.71749483534389,85.31564676126304,387.25
yes,,27.720340997332674,85.31650261344312,558.31
yes,,27.720438189267703,85.31710723118556,412.97
yes,,27.71160792481742,85.33240881093852,524.73
yes,,27.71028252800479,85.31279367709992,298.84
commercial,,27.70602036820399,85.31810656430962,333.17
yes,,27.700800599996427,85.32087084999452,42.15
yes,,27.711013345998403,85.31521781842788,1374.76
yes,,27.709764712286436,85.30569741937371,455.46
residential,,27.718262808695012,85.32414281625614,144.61
commercial,ICTC,27.712060088621122,85.3222955400113,130.63
yes,,27.712634974596167,85.31009752861657,1150.92
yes,,27.71239966775712,85.30971530222392,976.77
yes,Nepa Banquet,27.7154190250457,85.30412781699039,1603.09
yes,,27.70083966879362,85.32545034707721,7.9
yes,,27.7055278328555,85.31879323399835,327.62
yes,,27.720279720165284,85.32144920318606,364.55
yes,,27.703969592556447,85.30777740110999,1206.16
yes,,27.703966080050648,85.30865965910333,375.03
yes,,27.70409432923633,85.30843187739484,728.12
school,श्री शान्ति बिध्यागृह मा. वि.,27.717918418743448,85.31354678798742,779.5
college,,27.717914763483112,85.30498496110322,552.93
yes,,27.704632927951533,85.30754964586232,912.37
yes,,27.70430075120023,85.30780063977534,839.1
retail,Chhaya Devi Complex,27.715390551358713,85.3131913878096,2796.8
yes,,27.70279959836892,85.31212715759077,18.41
yes,Xinhua News Agency,27.71280083295407,85.32282170969218,929.55
yes,,27.71423235051558,85.31335624594833,338.24
yes,Royal Singi Hotel,27.710483296033573,85.31940578562676,1219.81
yes,,27.71421977957508,85.31348757083343,368.4
yes,,27.71076569479647,85.31716493440496,1051.25
yes,Janma Dyo,27.706673712314554,85.31021755932888,127.61
yes,,27.71131191516007,85.31721277154662,512.48
yes,Narayan Mandir,27.70445103064467,85.30628149334574,158.88
yes,Metropolitan Police Commissioner’s Office,27.706948716135006,85.3160766825354,688.0
health_facility,National Trauma Center,27.70428736058642,85.3130501182442,2231.5
yes,Bal Gopaleshwar (Yamaleshwar) Mahadev,27.707802975469992,85.31532794073915,325.53
public,National Academy Hall,27.70875802239895,85.32065101129963,2368.12
school,,27.709973491179046,85.30910901715379,1338.98
yes,Nepal Bank Limited Central Office,27.70256848914055,85.30904534214302,721.19
yes,,27.705646050014657,85.30702719999306,350.09
yes,Nepal Bank Limited Central Office,27.702942169458225,85.30951612839763,1200.58
yes,Tindhara Pathshala,27.709531242143107,85.31749949045735,1071.95
yes,,27.70149372423556,85.309442559312,91.44
yes,Nepal Bank Limited Central Office,27.70259099003517,85.30931987023204,565.33
yes,Nepal Bank Limited Central Office,27.702179768743687,85.3092002989485,501.14
yes,,27.701233346795625,85.30974947465639,9.33
monastery,Kesh chandra parabrat mahabihar,27.706771878265204,85.30797029124902,706.43
hotel,,27.716999812572364,85.31359230676074,1074.17
commercial,,27.716496592562837,85.31194598724991,765.08
mixed_use,Nepal Handloom Silk industry,27.712749023165774,85.31040094765045,914.28
yes,,27.709378700037075,85.30773420001452,256.72
yes,Nepal Tourism Board,27.701880188376116,85.31695783774595,1063.72
yes,Rastriya Naach Ghar,27.709129955323576,85.31422982324683,1763.7
yes,,27.71686553756584,85.3183100292168,104.63
yes,,27.71585993400643,85.31951530561676,1474.27
yes,,27.71456848285943,85.32039609119205,934.03
yes,,27.717531725263786,85.32018442140236,913.97
yes,,27.71712452437794,85.31818587423928,466.65
yes,,27.717539325456293,85.31992202862968,1032.0
government,,27.71485647991146,85.3195490614189,427.61
yes,,27.71708818833374,85.3207863125601,391.78
commercial,,27.70030198931821,85.31168581563703,13.85
yes,Nepal Telecom,27.700010271878018,85.31270235239008,973.58
commercial,Sriwatsa Design,27.702600268267567,85.31035001039045,180.07
yes,बिशाल बजार,27.70435804907487,85.30947736953765,3172.99
hospital,,27.704832480792412,85.3133096508101,1806.04
religious,Sankata Temple,27.70204355000059,85.31193789999934,114.46
religious,Akash Bhairab Temple,27.706003317026344,85.3094270666679,99.86
yes,,27.709033819154502,85.33254345601773,187.0
public,,27.712189446869306,85.31839493957507,878.66
yes,,27.715618859003307,85.31783514021568,96.06
yes,,27.720579898612236,85.31644062684528,739.56
yes,,27.71640303566768,85.32061051952854,767.94
yes,,27.715936542968283,85.31791497252723,112.2
yes,,27.712160746047076,85.31899290904013,272.71
temple,Gopinath Temple,27.704789550003834,85.30730689999804,106.11
educational,,27.70348860002957,85.3070059500104,98.27
temple,Jagan Nath Temple,27.70464660000846,85.30721999999697,211.18
temple,Kageshwor Temple,27.704981270994015,85.3074257083103,118.62
educational,Nava Adarsha Secondary School,27.703547354182042,85.3067452436357,81.11
commercial,,27.703878910386447,85.30926743649232,244.85
yes,,27.709220289765085,85.31724545117491,220.92
yes,,27.70873634308986,85.31846070078662,791.41
yes,,27.70905871220069,85.31843121981949,1074.95
yes,Bishwa Jyoti Hall,27.70917281794557,85.31563053342765,620.82
yes,,27.70885156353414,85.31715619830956,665.11
college,,27.708337799967303,85.31656949998015,336.51
yes,,27.71578797244806,85.31735326926196,730.19
government,,27.714949472774453,85.31731915798306,341.26
government,,27.714812636057587,85.31891842194807,1444.51
yes,,27.716128000972766,85.31658041367726,620.14
government,,27.714934671853435,85.31800450483195,2666.7
college,,27.70783640006069,85.31716030002046,466.81
yes,,27.709554991442072,85.31924147455483,145.28
college,,27.707408784623063,85.3170204838632,1657.47
bank,,27.70895677494685,85.31901771786892,459.12
civic,,27.718238832352274,85.31486018405015,511.24
college,amrit science csit classes,27.718251778573165,85.31302018112696,412.33
yes,Dairy Development Corporation,27.717454023277444,85.31507144591723,887.56
yes,,27.713016268400366,85.31808898277188,204.03
yes,,27.711829349981127,85.31632639996823,231.56
yes,,27.712289903777055,85.31640477544272,475.53
yes,Nepal Investment Bank,27.711620645589775,85.31788971198566,809.49
commercial,Mercantile Plaza,27.712770722721288,85.31738921659917,837.23
yes,,27.71229278683984,85.31796442244743,405.21
commercial,,27.712432600005982,85.31791164999879,126.65
yes,,27.712597280320463,85.31744192376225,224.79
retail,Curio Concern,27.71244918343268,85.31743589478032,308.38
yes,,27.712114193412525,85.31785317188451,284.4
yes,Malingo,27.71187967734067,85.31734654061815,318.33
office,,27.71295805036881,85.317446327814,487.79
yes,,27.712570168463483,85.31794120494001,217.26
yes,Eicher Bus and Trucks Showroom,27.717842625355004,85.32798701836549,156.39
commercial,sunrise bank ltd.,27.717992225243954,85.3276636810567,799.99
yes,Wheels.Com,27.71898317341256,85.32798425549257,143.75
yes,Kawasaki Service Center,27.721284234792737,85.32811259861754,140.53
roof,Shree Jaya Goma Ganesh Oil Store,27.72141610000797,85.32783124999918,139.39
yes,,27.714690673987825,85.32694424210234,353.64
yes,Kathmandu Automobiles Center,27.71536335001179,85.32998734998068,495.35
yes,Big mart,27.714624929407687,85.32732695516728,231.56
yes,,27.714774585321145,85.3297828477729,951.02
yes,,27.712180024599157,85.31569125060288,646.46
yes,,27.701994756605306,85.31292687783937,279.06
yes,Nepal Airlines Coperation,27.702856175412247,85.31315775590149,389.34
public,World Bank Nepal,27.712254544524647,85.31937040439146,2576.21
temple,Maju Dega Mandir,27.70426499949283,85.306176483949,484.11
yes,Taleju Bell,27.70457796160132,85.3066962257551,58.62
yes,Nepflights,27.71328326095229,85.31294299780107,158.55
yes,Khulla Bazar,27.699977231327882,85.31790858148501,10480.7
college,,27.702066050049797,85.31969300000654,195.5
yes,,27.704492204190487,85.31608167610372,85.34
office,Prabhu Finance,27.718083844093123,85.31517161979552,563.1
yes,Kuber Plaza,27.716429744040816,85.32479049727868,353.47
yes,,27.714828950003174,85.32489819999306,195.93
yes,kathmandu metropolitian office-26,27.719565849096984,85.31696061190064,494.45
temple,Shiva Parvati Temple,27.704412834001175,85.30649176934857,172.89
office,Nepal Scouts National Heaquarters,27.717572137756964,85.31604151212157,422.26
yes,,27.709203878953208,85.31491928452992,335.59
