building_type,name,latitude,longitude,building_area_sqm
college,Central Department of Computer Science and Information Technology;Central Department of Biotechnology; Central Department of Physics,27.681905924796148,85.28652310483255,3421.0
university,Gandhi Bhawan,27.680738166880925,85.28531990306783,782.21
yes,,27.669676163138806,85.27783109142587,9.54
public,TU Central Library,27.681738627680968,85.28512217847387,3098.07
yes,,27.688985217193785,85.27742041665614,357.65
college,,27.679573978265815,85.28210163268754,1431.29
residential,,27.669411691109485,85.27666306237305,115.75
residential,,27.669279345977717,85.27669698851109,199.51
yes,,27.666669946137414,85.27780053338174,27.73
yes,,27.684117950007483,85.27827670000002,111.8
yes,Town Planning Rental Home,27.671512461567154,85.28085504783009,855.69
yes,B.P. Koirala Memorial Planetarium,27.675501739431443,85.28419833261196,4596.4
yes,Boys hostel,27.678077227713942,85.28380773996152,2066.71
yes,Department of Sociology and Anthropology,27.68071654336189,85.28340832150596,2093.29
school,Panga secondary high school,27.671146594413177,85.28197140359175,470.65
residential,,27.668928166411504,85.2799136536098,67.93
house,,27.669758730701112,85.28059093902485,98.74
yes,Ayurvedic Hospital,27.676787156255696,85.28933023893214,615.07
yes,Ayurvedic Teaching Hospital (OPD),27.67578284450019,85.29019425338967,1227.9
residential,,27.670217450008636,85.28217230000003,127.59
residential,,27.67023485000456,85.28199254999944,67.35
residential,,27.67084175000301,85.28218309999819,152.98
residential,,27.6703549774716,85.28178158635376,79.92
residential,,27.671258650008713,85.2823485999994,98.78
residential,,27.670265199997544,85.28143444999968,90.51
residential,,27.670160600007197,85.28200024999956,40.69
residential,,27.67041275633322,85.282173783291,142.41
residential,,27.67011322031501,85.28223717059758,94.28
residential,,27.67020331467831,85.28185653278791,101.77
residential,,27.67023685762534,85.28152368209422,69.3
residential,,27.670308594648816,85.28217870023938,100.37
residential,,27.670218200314746,85.2816742664797,72.9
residential,,27.670202824926303,85.28175597722273,68.35
residential,,27.6704559834268,85.2819133182407,219.91
college,Central Department of Botany,27.6831239296015,85.28701493545074,536.31
college,Central Department of Chemistry,27.6817630502549,85.28735155029348,1352.0
college,"Central Department of Environmental Science, TU",27.681553020763698,85.28790691580382,584.18
college,Central Department of Geology,27.681886915383767,85.28817829835796,817.67
college,Central Department of Hydrology and Meteorology,27.682296174002953,85.28819292528765,564.75
yes,Central Department of Management,27.679579573880016,85.28386147472482,870.94
college,Central Department of Mathematics; Central Department of Statistics,27.682625425116115,85.28777926152314,783.04
college,Central Department of Microbiology,27.683057628241475,85.28766597859102,553.35
college,Central Department of Zoology,27.68297463504895,85.28730618012882,1292.2
yes,Girls Hostel,27.676501294770752,85.28522541254054,1290.04
yes,,27.68027468921658,85.2844801409395,709.13
residential,,27.67008690000332,85.28117044999966,58.87
residential,,27.670080423718748,85.28128856271692,94.78
residential,,27.6700793500001,85.2814550000005,45.24
residential,,27.670073200000978,85.28169214999944,43.44
residential,,27.67005926504829,85.28176118120852,42.39
residential,,27.670082700001025,85.28160620000001,57.08
residential,,27.670032511277498,85.2818424754294,34.25
residential,,27.670022789189062,85.28191992846425,55.29
residential,,27.670011155667392,85.28200917807821,70.62
residential,,27.67013997907845,85.28097404047837,66.8
residential,,27.670078540637967,85.28153096808342,51.21
residential,,27.67010366264227,85.28108158997449,60.8
yes,Kirtipur Cineplex,27.671408331073824,85.27874078845217,495.16
school,,27.669914971004015,85.27069472812667,243.28
yes,Technical and Skill Center for Blind and Disabled,27.67218691131775,85.27246391410772,872.73
school,,27.66949932989593,85.27057251567878,189.03
