building_type,name,latitude,longitude,building_area_sqm
yes,,27.690506093195836,85.34021810530686,826.24
yes,,27.675469630533087,85.35422203854695,265.82
yes,,27.689716831127637,85.33746138149914,7977.26
yes,,27.685436902952784,85.33734030351005,875.93
yes,,27.686542028358442,85.34644768158944,38.01
yes,,27.686444346245352,85.34636712543356,51.26
yes,,27.68647742255229,85.34650761573992,72.09
house,Saraswati Niwas,27.672618833337282,85.3581210533761,57.78
house,,27.68272531327116,85.33630772896616,93.56
house,,27.682678439819025,85.33639321155425,67.79
house,,27.682640652438334,85.33646956268811,106.65
house,,27.682781903099887,85.33648322379463,114.97
house,,27.68272793969825,85.33658549602535,116.06
house,,27.682952265144102,85.33645684820699,124.47
house,,27.68262410000301,85.33626274999568,103.03
house,,27.682826564262577,85.33639331482566,113.21
residential,Naresh Giri,27.682596289892196,85.33635056063646,97.18
school,,27.67216007051842,85.35825552326794,144.74
college,Acer International College,27.674420367341785,85.36088502584889,314.27
house,,27.682924750001483,85.33634455000173,67.8
yes,,27.68364391975718,85.34873982072702,63.93
yes,,27.684081655778964,85.34849360614949,105.5
yes,,27.683976510769064,85.34855255622668,169.09
yes,,27.68468952923395,85.34783965201686,688.71
yes,,27.684291859732713,85.34798063497313,113.24
yes,,27.68399280000563,85.34805269999764,94.75
yes,,27.68375968144341,85.34864467365021,174.32
yes,Unique Fast Food,27.683579593857054,85.34876547620055,94.18
yes,,27.683677500006684,85.34819014998945,139.04
yes,,27.6850132619309,85.3475492465117,208.61
yes,,27.683834906939364,85.34830006355403,232.98
office,Black Swan Investment Technologies,27.682183507193376,85.34380716659041,112.86
yes,SoftNEP Private Limited,27.688655150004255,85.34160459999974,68.34
yes,,27.683876108272223,85.34779440839763,152.0
yes,,27.684172451611115,85.3478360018768,70.26
yes,,27.683917143527825,85.3481424520765,177.91
yes,,27.683754661078346,85.34799679092583,83.75
yes,,27.684081964413124,85.34790546022349,108.05
yes,,27.683798751073255,85.34737792245959,120.46
yes,,27.683639416728887,85.34760529063288,116.87
yes,,27.683940383596987,85.34756620246365,111.74
yes,,27.684017200075687,85.34765683488392,138.9
yes,,27.684061561014744,85.34602139895185,123.17
yes,Chhimeki Shopping Center,27.683878946463636,85.34619328323416,282.87
yes,,27.683813834071465,85.3476799453786,108.28
yes,,27.683637882262364,85.34741964670518,122.61
yes,,27.684345299032557,85.34774815199793,284.59
yes,,27.684496427119257,85.34741939741303,177.25
yes,,27.683634831478795,85.34786905853858,140.12
yes,,27.68415425333196,85.34822458280348,109.89
yes,Kantipur Publication of Nepal,27.68536506150714,85.3453606401799,514.41
yes,Century Commercial Bank Limited,27.68094833912255,85.34919811265225,177.28
yes,,27.680334020870188,85.3484837060577,97.8
yes,,27.680383050087254,85.34889464997644,244.08
yes,,27.68094153275201,85.3489280474083,139.38
yes,,27.680102571125097,85.34877730732946,111.22
school,,27.69485477885276,85.35190804932057,595.59
yes,,27.67999305543504,85.34874149068226,94.95
college,,27.67985601226288,85.34869368528064,76.01
commercial,Hotel Tapowan,27.681560974248608,85.34814331921737,134.61
yes,,27.680804400262513,85.34861891023797,132.1
yes,,27.680976569610223,85.348572201463,197.1
college,,27.679867500005855,85.34836564999966,61.36
clinic,Biraj Dental Hospital,27.67983780000314,85.34882049999757,139.38
