building_type,name,latitude,longitude,building_area_sqm
yes,Kathmandu Metropolitian City office,27.698928493320775,85.31189040756107,1924.09
yes,,27.692585755312635,85.31454565532844,1720.43
Advertising_Agency,Himali Advertising Agency (P) Ltd,27.70604395163519,85.31836867394036,681.06
yes,Bijeshwori Temple,27.713936255808914,85.30075774905454,300.82
yes,Kumari House,27.703744109323942,85.30646487292319,457.82
yes,,27.695511212779426,85.3195009806797,776.2
school,,27.68972068493939,85.31278563619125,617.71
yes,,27.705696977263358,85.29364884947991,681.15
yes,,27.71028252800479,85.31279367709992,298.84
commercial,,27.70602036820399,85.31810656430962,333.17
yes,,27.700800599996427,85.32087084999452,42.15
yes,,27.711013345998403,85.31521781842788,1374.76
yes,,27.709764712286436,85.30569741937371,455.46
house,,27.699820194224216,85.30495209687946,21.14
yes,,27.69732255358478,85.31258234357705,447.42
yes,,27.712634974596167,85.31009752861657,1150.92
yes,,27.71239966775712,85.30971530222392,976.77
yes,Nepa Banquet,27.715244319577398,85.3043912685434,66.79
yes,,27.7055278328555,85.31879323399835,327.62
yes,,27.703969592556447,85.30777740110999,1206.16
yes,,27.703966080050648,85.30865965910333,375.03
yes,,27.70409432923633,85.30843187739484,728.12
yes,,27.704632927951533,85.30754964586232,912.37
yes,,27.70430075120023,85.30780063977534,839.1
yes,,27.70279959836892,85.31212715759077,18.41
retail,Blue Srar Complex,27.691790909505855,85.31678589223945,3864.89
yes,,27.69809720639516,85.31177370264979,1303.52
yes,,27.71423235051558,85.31335624594833,338.24
yes,Royal Singi Hotel,27.71027974388185,85.31933948578222,289.95
yes,,27.71421977957508,85.31348757083343,368.4
yes,,27.698410972240165,85.32196025304138,1009.76
yes,,27.71076569479647,85.31716493440496,1051.25
yes,Janma Dyo,27.706673712314554,85.31021755932888,127.61
yes,,27.71131191516007,85.31721277154662,512.48
yes,Narayan Mandir,27.70445103064467,85.30628149334574,158.88
yes,Metropolitan Police Commissioner’s Office,27.706948716135006,85.3160766825354,688.0
health_facility,National Trauma Center,27.70428736058642,85.3130501182442,2231.5
yes,Bal Gopaleshwar (Yamaleshwar) Mahadev,27.707802975469992,85.31532794073915,325.53
public,National Academy Hall,27.708708283465068,85.32051601565175,938.5
yes,त :  बाहाल,27.698822750000588,85.30732564999929,21.07
school,,27.709973491179046,85.30910901715379,1338.98
yes,Nepal Bank Limited Central Office,27.70256848914055,85.30904534214302,721.19
yes,,27.705646050014657,85.30702719999306,350.09
yes,Nepal Bank Limited Central Office,27.702942169458225,85.30951612839763,1200.58
yes,Tindhara Pathshala,27.709531242143107,85.31749949045735,1071.95
commercial,RB complex,27.701383866048086,85.30915244795239,598.46
yes,,27.70149372423556,85.309442559312,91.44
yes,Nepal Telecom Central Office,27.698454256739602,85.31817489078415,1635.38
yes,Nepal Bank Limited Central Office,27.70259099003517,85.30931987023204,565.33
yes,Nepal Bank Limited Central Office,27.702179768743687,85.3092002989485,501.14
yes,,27.701201700105337,85.3095916000029,377.37
monastery,Kesh chandra parabrat mahabihar,27.706771878265204,85.30797029124902,706.43
yes,,27.69260960001193,85.31453234999742,388.86
yes,,27.695645518350133,85.31583642358324,1299.05
yes,National Agriculture Research Council,27.69784994053647,85.3200319742991,709.75
mixed_use,Nepal Handloom Silk industry,27.712749023165774,85.31040094765045,914.28
yes,,27.709378700037075,85.30773420001452,256.72
yes,Nepal Tourism Board,27.701880188376116,85.31695783774595,1063.72
yes,Rastriya Banijya Bank Ltd,27.697946705945252,85.32084876624296,3124.04
yes,Rastriya Naach Ghar,27.709129955323576,85.31422982324683,1763.7
commercial,,27.700280395730726,85.31158854819525,675.05
yes,Nepal Telecom,27.69999541950866,85.3127129235645,1095.35
yes,,27.697383073164428,85.31481212891374,578.26
commercial,Sriwatsa Design,27.702600268267567,85.31035001039045,180.07
yes,बिशाल बजार,27.70435804907487,85.30947736953765,3172.99
hospital,,27.704832480792412,85.3133096508101,1806.04
commercial,United World Trade Centre,27.69421604190351,85.3132398038219,3498.65
yes,Civil Apartment Sundhara,27.697977716893647,85.3121948082957,1560.12
religious,Sankata Temple,27.70204355000059,85.31193789999934,114.46
religious,Akash Bhairab Temple,27.706003317026344,85.3094270666679,99.86
yes,FOOD MANAGEMENT & TRADING COMPANY LTD.,27.698256028103998,85.31869361641452,1030.67
yes,Rastriya Samachar Samiti,27.698447835049475,85.31935296973795,114.04
yes,Nepal Stock Exchange Ltd,27.69812130364992,85.31907567911172,302.27
temple,Gopinath Temple,27.704789550003834,85.30730689999804,106.11
educational,,27.70348860002957,85.3070059500104,98.27
temple,Jagan Nath Temple,27.70464660000846,85.30721999999697,211.18
temple,Kageshwor Temple,27.704981270994015,85.3074257083103,118.62
educational,Nava Adarsha Secondary School,27.703555583301647,85.30667947820498,171.62
commercial,,27.703878910386447,85.30926743649232,244.85
yes,,27.709220289765085,85.31724545117491,220.92
yes,,27.70873634308986,85.31846070078662,791.41
yes,,27.70905871220069,85.31843121981949,1074.95
yes,Bishwa Jyoti Hall,27.70917281794557,85.31563053342765,620.82
yes,,27.70885156353414,85.31715619830956,665.11
college,,27.708337799967303,85.31656949998015,336.51
college,,27.70783640006069,85.31716030002046,466.81
yes,,27.709554991442072,85.31924147455483,145.28
college,,27.707408784623063,85.3170204838632,1657.47
bank,,27.70895677494685,85.31901771786892,459.12
yes,,27.711829349981127,85.31632639996823,231.56
yes,,27.712289903777055,85.31640477544272,475.53
