building_type,name,latitude,longitude,building_area_sqm
yes,Mani Keshar Chowk,27.673433646167126,85.32534737822776,657.81
yes,Sasto Bazaar,27.674820223785762,85.32340269807021,1709.23
school,,27.676307549483088,85.31849422096751,970.81
yes,Pulchowk Campus Boys Hostel Block C,27.681833375656616,85.3239297938076,2348.73
yes,,27.670096327943323,85.31410371414049,1169.96
National Human Rights Commission,,27.68042716152535,85.31310526700882,3355.37
yes,,27.680073771321858,85.31247182196155,1303.37
yes,,27.675789873674148,85.32263796503183,404.72
yes,,27.677898117768454,85.32502018733005,458.55
yes,,27.677222439521728,85.32561114417098,390.66
school,Ibaha Bahi,27.67135853273614,85.32427931206402,519.92
yes,,27.668393128557312,85.31701557671865,2768.73
yes,Rudrabarna Mahabihar,27.66821854352061,85.32725279149298,518.12
yes,Su Bahal,27.67078516031733,85.33024583182825,226.27
school,,27.68244362339006,85.33330786762362,181.02
yes,,27.667460245798356,85.31584463203521,271.59
yes,,27.68483619586182,85.32375061807262,517.15
yes,,27.677742977760815,85.3149652381799,453.87
temple,Patan's Living Goddess,27.673823293845576,85.32176471862769,525.13
mixed_use,,27.672984000582844,85.32347677905402,440.3
yes,,27.67286172107934,85.32519978146478,1270.57
temple,हिरण्यवर्ण महाविहार,27.67522369625441,85.32460194071525,541.51
yes,,27.669404903552028,85.31110180994364,1011.04
yes,,27.670250038743593,85.32230170956915,215.13
residential,,27.665905362274685,85.33010258077891,60.0
yes,,27.6828517003332,85.31520830108484,462.18
yes,IOE staff quarter,27.683011313132283,85.32481845989018,904.9
yes,,27.674754584405544,85.33362217045917,168.33
yes,,27.676710094247895,85.32784633354106,291.16
yes,,27.681624400731703,85.31510155258981,1346.41
house,,27.676671600413044,85.3173520780587,35.03
house,Super Kinetic,27.6766471854507,85.31739096907363,34.71
school,,27.6761316834128,85.31182887711148,1130.91
college,"Administrative Block of IOE and Pulchok Campus, Harihar Bhawan",27.680964709264224,85.31874117319437,1881.72
yes,,27.67239380763903,85.33850806830166,167.03
yes,,27.664922977747374,85.32419155617204,218.67
yes,,27.68449859810559,85.33138550349078,109.82
yes,,27.684419851887917,85.33146966460747,199.84
yes,तलेजु,27.673201525113654,85.32522286558797,326.2
temple,Krishna Mandir,27.67362252916837,85.32496414195464,203.4
yes,हरी शंकर,27.673209593698118,85.3249561206782,93.05
yes,,27.682129583769488,85.31828841692571,600.12
yes,Central Material Testing Laboratory,27.682460503836204,85.318643280696,843.24
commercial,Labim Mall,27.677233487499457,85.31707596117906,3810.29
college,"Department of Electrical, Electronics and Computer Engineering",27.681614667175356,85.31869568570278,882.98
yes,,27.680250161381487,85.31946797419248,968.24
yes,,27.68270706410677,85.31889476971392,800.68
commercial,Saleways,27.675036409646566,85.31480783421924,323.26
yes,Lalitpur Metropolitan Office (A),27.67652620124378,85.31678390100326,851.08
yes,Jyapu Samaj Museum,27.67377649932572,85.33195160606593,629.47
yes,Animal Hospital,27.673378204576906,85.31193112847568,97.31
yes,Artifact Display,27.67233303074137,85.31193619548003,33.88
yes,Zoo Ticketing,27.673048955762933,85.31210322988937,174.19
yes,Fast Food Shops,27.672255943803627,85.31190690785985,48.51
yes,Zoo Gift Shop,27.673406200003235,85.31169210000121,33.75
yes,,27.67476902887965,85.31007804914498,109.31
carport,,27.675724048911487,85.31490458713452,243.09
residential,Sandlewood Cafe,27.684714411082286,85.32612236005886,451.1
office,Jawalakhel Cabel Network,27.669150550002477,85.31266225000098,68.89
yes,Steel Tower,27.670292650072962,85.31254780004242,152.42
yes,German Bakery,27.67347324310609,85.31389038972966,291.97
yes,Syanko Katti Rolls,27.673344104017964,85.31381068115546,105.41
yes,bimal's house,27.67146615354075,85.33712080117239,48.26
commercial,Home Grocer,27.671923374010305,85.31543939009588,257.85
restaurant,Gokarna House Jhamsikhel,27.678642043264205,85.31192498797678,931.82
yes,,27.676700708532167,85.31145474106589,112.89
yes,,27.676585632202254,85.31143174816289,94.89
apartments,Wesstar,27.672027414081168,85.33874937917622,514.18
yes,,27.674904200004978,85.32560455000223,62.41
yes,,27.674715517926757,85.32549680392594,138.28
educational,,27.677950050011937,85.32051909991681,225.0
college,,27.6790585388248,85.32113410762798,420.51
college,,27.67945188484943,85.32153732254358,439.87
college,,27.679357547591188,85.32119382383465,332.06
yes,Mental Hospital,27.667961648207182,85.32240643891332,418.94
yes,,27.683151308362326,85.31526514563764,635.63
yes,,27.675746257014218,85.339891504189,199.92
yes,,27.675643000003294,85.33965549999611,88.73
yes,,27.675600620902213,85.33976436298846,95.21
yes,Mandala House & Catering Service,27.670042416431663,85.33705909528065,197.02
yes,Sidhhi Store,27.66915875000152,85.33548149999727,27.57
yes,Everest Bank,27.668722700020005,85.33444995002802,394.59
government,Nepal Telecom Mobile Service Directorate,27.68000571780387,85.31758574119604,591.24
yes,,27.673738001088523,85.31394139772979,197.39
yes,Bike Parking,27.68214490229938,85.31993266784178,344.88
yes,Carpentry Department,27.680778800194073,85.31931528325306,417.18
yes,Center for Energy Studies,27.683249271976266,85.32084758595126,650.59
yes,Center for Information Technology,27.68169385003044,85.31913800001477,275.1
college,Department of Mechanical Engineering,27.682561726291276,85.32010920453956,1154.68
college,Department of Science and Humanities,27.682953800063743,85.32040065002066,590.93
yes,Heavy Lab,27.682090087228012,85.32047924791465,1001.53
yes,Hydropower Testing Laboratory,27.683460455537737,85.32053339415029,314.96
laboratory,Mechanical Workshop,27.681224686949133,85.31944657433318,897.92
yes,Pulchowk Campus Boy's Hostel,27.681802847770907,85.32392573443913,1003.13
yes,Pulchok Campus Girls Hostel,27.68314365966081,85.32407773779141,797.17
yes,Pulchok Campus Library,27.681587869087995,85.31959809104903,714.49
laboratory,Robotics Club,27.681344182712156,85.31908334933333,362.15
government,,27.67883059230753,85.31701241246346,420.86
yes,,27.678686808516524,85.31800392135949,533.6
government,Dept of Water Induced Disaster Prevention (DWIDP),27.67834661904427,85.3168289871672,1097.3
yes,,27.677465799990294,85.31809119997833,169.62
house,,27.676740789115932,85.31725007331347,65.89
school,,27.6765734948605,85.31798688593152,576.72
school,,27.67663945005724,85.31889125005102,312.45
yes,,27.6778078999814,85.317057949966,292.21
yes,,27.677188650027116,85.31763835002667,226.43
school,,27.676397136247918,85.31828440354833,86.97
house,,27.676700548347444,85.31730824813535,46.47
school,Madan Smarak Girl's High School,27.676769481256397,85.3184984131375,48.85
apartments,Newari Kitchen,27.676620686399588,85.31742794947198,32.57
religious,Ashok Stupa,27.665393504165852,85.33587076113179,477.79
yes,Northern Ashok Stupa,27.677139465459195,85.32757676525982,393.12
yes,,27.678908099998498,85.3181872999945,78.35
yes,,27.67918852189857,85.31828905791352,153.61
yes,,27.67854744165627,85.31878314221372,388.01
yes,,27.6788865999994,85.31828354999627,73.81
school,,27.67827547624456,85.32158517878109,220.01
yes,,27.678983361523258,85.31865802461273,193.35
yes,,27.679027428959536,85.31822009564785,106.03
school,,27.677425649424553,85.31966373308863,645.39
industrial,,27.676050616550416,85.33428769969206,103.77
residential,,27.676247166301568,85.33394969868259,137.1
yes,,27.67952707449668,85.31583512126076,822.37
yes,,27.678178581615725,85.31723675358309,545.82
yes,,27.670564390578583,85.32515457828717,463.79
yes,,27.68382114253102,85.31546462795696,86.27
yes,,27.683783610152922,85.31556892295926,114.13
yes,,27.685151877547604,85.31758883626402,101.88
yes,,27.684633200550945,85.31658096990199,66.31
yes,,27.68480118273843,85.31763484827032,76.15
yes,,27.685087877966733,85.31740585272046,46.1
yes,,27.68471299319465,85.31716401286421,109.18
yes,,27.683823082994174,85.3174404972623,112.59
yes,,27.683608825800675,85.31803995985982,62.44
yes,,27.683030509135307,85.31622817403334,119.52
yes,,27.68412256112054,85.31635912194217,125.15
yes,,27.68422280609684,85.31767702573146,138.66
yes,,27.683786268844216,85.31639068482673,155.15
yes,,27.684093550000927,85.3164597999931,90.39
yes,,27.68494888198565,85.31775354209238,94.94
yes,,27.683689501117836,85.31696751629947,55.26
yes,,27.683869694260895,85.316595019154,63.46
yes,,27.68449015000754,85.3173805000047,87.57
yes,,27.683928800001624,85.3165042999959,77.23
yes,,27.683434657905845,85.31527513027292,93.81
yes,,27.68390170000596,85.3158848499985,111.89
yes,,27.68436980995055,85.31765672142271,104.47
yes,,27.683588423499636,85.31576150994546,91.47
yes,,27.683761343222972,85.31665451919477,78.43
yes,,27.684075302534605,85.31593817987448,135.4
yes,,27.684542816102628,85.31793162873174,99.46
yes,,27.684055518642392,85.31659045769929,110.3
yes,,27.683794100012733,85.31614845001008,99.61
yes,,27.68406805000892,85.31769395000414,103.38
yes,,27.68376016606538,85.31699995438541,67.87
yes,,27.683566433299525,85.3158628628147,88.54
yes,,27.683494250009005,85.31681500000325,123.83
yes,,27.683999881836307,85.3161561459561,77.75
yes,,27.683421420879014,85.31538701489909,111.5
yes,,27.681869550006844,85.31551994999367,170.85
yes,,27.682166345604465,85.31371294841712,106.72
yes,,27.68202580000347,85.31457249999725,63.78
yes,,27.68360957169856,85.31536610992403,110.71
yes,,27.68357042913786,85.31546404247513,55.45
yes,,27.68232597065942,85.31449700727106,92.03
yes,,27.68210310000283,85.31449389999977,47.17
yes,,27.682348900004722,85.31394069999953,77.71
house,,27.682911437796122,85.31429017438407,120.06
yes,,27.682252929351453,85.31414351094429,133.0
yes,Mai Valley Hydropower Pvt. Ltd,27.68279141648233,85.31450922173227,185.72
hotel,,27.682694430060902,85.31472292149316,433.17
yes,,27.682187750008488,85.3148526499973,161.92
yes,,27.682377167279395,85.31380786678972,133.35
yes,,27.68341695580779,85.31640258050562,174.22
yes,,27.682136938845595,85.31384966687585,180.04
yes,,27.68221184498854,85.31352903237541,77.21
house,Black Pepper Inn,27.68221486840668,85.31469421435695,114.93
yes,,27.682600819163962,85.31541671663395,106.28
commercial,"Paradise International, Inc.",27.683528900024328,85.31611055001916,151.37
yes,,27.682604150029665,85.31647830001057,130.92
yes,,27.68315513150694,85.31673673478991,117.59
yes,,27.682851383001022,85.31699045494379,60.07
yes,,27.68319851189984,85.31715881708675,122.88
yes,,27.683283633354282,85.3178258875841,151.87
yes,,27.682702682344534,85.31738359299881,176.63
yes,,27.68299028287254,85.31693899741965,76.85
yes,,27.682478497052625,85.31613731932738,71.39
yes,,27.683049850013838,85.31674315000191,188.83
yes,,27.682854656692108,85.31665527488029,204.34
yes,,27.67689114995126,85.33903536733696,119.3
yes,,27.675873226442526,85.33899343026859,49.17
yes,,27.675905956026604,85.33889638304463,100.58
yes,,27.676186400005456,85.33903460000136,70.98
yes,,27.676087006478863,85.33935721591499,49.11
yes,,27.676962373157306,85.33914682865515,59.87
yes,,27.67685347250226,85.33967079886419,12.98
yes,,27.677563598382083,85.3383273676054,50.44
yes,,27.6759740040071,85.33879487007071,94.65
yes,,27.677408450004172,85.33822290000002,64.66
residential,,27.676307150001783,85.3396942499997,44.36
yes,,27.676481416724187,85.33939564110023,203.37
yes,,27.677065109343378,85.31750643512245,61.59
yes,Bal Mandir Jawalakhel,27.6711576658629,85.31190044725814,143.86
yes,Staff College Auditorium,27.671245410407355,85.31430491496606,398.39
yes,Staff College Administrative Building,27.670929883463295,85.31392915268265,607.97
yes,Personnel Training Academy,27.670964585522444,85.31282242101392,1166.4
yes,,27.67044589597456,85.31299270477284,569.65
yes,Training Halls,27.670375448459595,85.3142676895833,847.98
yes,UN Main Building,27.680587523662037,85.3164863849189,1025.38
office,Nepal Engineers' Association,27.681263069792088,85.31580056932532,468.21
health,,27.68078411765361,85.31505919197818,540.18
yes,,27.680209303886326,85.31675403119542,64.04
yes,,27.68027327583445,85.31596050045894,112.58
office,UNDP Building,27.680336746902967,85.31564516883238,692.67
yes,,27.68062260725552,85.31552193039889,140.29
yes,,27.6807939120528,85.31558831020638,144.56
yes,,27.680868644807475,85.3160670027309,117.41
yes,,27.676858750006456,85.33849994999983,102.22
yes,,27.676416813682817,85.33957097882971,87.51
yes,,27.677406112911825,85.33887082583807,98.95
yes,,27.676854248326958,85.3380454829614,86.46
yes,,27.67709640000204,85.3388762499855,89.98
yes,,27.677128185272174,85.33828470875677,59.27
yes,,27.677086650003957,85.33833834999447,54.59
yes,,27.676944145221505,85.33846506732031,91.0
yes,,27.67695910000331,85.3378380000263,116.19
yes,,27.676798249873848,85.33897260808104,93.09
yes,,27.678525252480124,85.33698930818153,75.32
yes,,27.677344050002613,85.33733589998788,58.17
yes,,27.678415717905636,85.33715626979495,31.08
yes,,27.678020421441193,85.33695987134514,156.55
yes,,27.677990230904843,85.33706162038355,69.83
yes,,27.677612515584006,85.336406062225,111.54
yes,,27.677375634268287,85.33676840273137,81.77
yes,,27.677234732416373,85.33708382900305,64.07
yes,,27.67780331655498,85.33692234883188,47.04
yes,,27.677785925817403,85.33620882984033,113.64
yes,,27.678052800005208,85.33666469999831,80.77
yes,,27.677215950005024,85.33766909999596,105.57
yes,,27.67741590000781,85.3365990000116,82.97
yes,,27.67847752877319,85.33676865945928,77.63
yes,,27.67726675000523,85.33728275000276,68.7
yes,,27.677489850006182,85.33687805000592,80.56
yes,,27.677327848281674,85.33682748610966,77.36
yes,,27.67789831957405,85.33638326460907,55.01
yes,,27.678586719724525,85.33671789469399,74.77
yes,,27.67811700000434,85.33678260000072,71.44
yes,,27.677575950003195,85.33695274999104,60.94
yes,,27.67834895000457,85.33690754999567,44.86
yes,,27.678215221722432,85.33700025990358,85.77
yes,,27.684568704348912,85.33030852060092,138.53
yes,,27.683958616225265,85.33055284925761,97.06
yes,,27.684537950008984,85.33005464999097,95.52
yes,,27.684703131114997,85.32988298615028,56.65
yes,,27.68375126716098,85.33061589871313,339.64
yes,,27.684676804571417,85.32979886764237,129.53
yes,,27.6846442500044,85.3304948500026,93.35
yes,,27.684637700006125,85.32966274999875,95.48
yes,,27.684188082603484,85.33061599761768,246.51
yes,,27.684134716387195,85.3303792894759,92.81
yes,,27.684511910424114,85.33047603000988,64.29
yes,,27.684563450003665,85.33067085000641,87.98
yes,,27.684294817566954,85.3302646951634,91.26
yes,,27.684734371550224,85.32993245926346,54.81
yes,,27.68446398581086,85.33037166967397,108.03
yes,,27.684401550005614,85.33070620000365,99.87
yes,,27.684690533430604,85.33059174964804,93.54
yes,,27.684569406966567,85.32958380839229,36.05
yes,,27.68441124813625,85.33016363302707,128.65
yes,,27.684494900005152,85.3296029999945,57.87
yes,,27.684401150005048,85.33001315000003,82.72
yes,,27.684620036482265,85.32929366479969,62.03
yes,,27.685133556264823,85.33022568527802,157.31
yes,,27.678712850010232,85.3383248500009,91.8
yes,,27.678666600006093,85.33858800000036,69.97
government,,27.679900680992592,85.31303866845238,309.87
yes,,27.681089618838744,85.31263746269022,170.11
public,,27.680967632728883,85.31307875463013,185.3
government,,27.679203400041224,85.31309825000803,357.48
government,,27.679892849996452,85.31328489999308,122.6
public,,27.68094286931363,85.31333879221285,189.06
yes,,27.681042968020925,85.31290078522348,167.09
yes,,27.68241926138251,85.33543830290492,89.09
yes,,27.682409712700235,85.33564648728094,43.96
yes,,27.682491300002493,85.33597629999673,103.01
yes,,27.67986853208206,85.31345576166648,215.11
yes,,27.682529726694344,85.33558760671318,65.9
yes,,27.682265942245397,85.33561343624577,133.31
yes,,27.68210423609728,85.33603612636408,171.76
yes,,27.680862950001746,85.31348824999952,39.22
yes,,27.682586814604242,85.33600734934679,108.05
yes,,27.68238603319204,85.33530271654986,84.64
yes,,27.68216471630966,85.33553631158495,45.1
yes,,27.682049873630785,85.33545633448212,65.46
yes,,27.6818639637841,85.33680297420736,83.83
yes,,27.682048082223503,85.33620838814484,101.45
yes,,27.682582008394,85.33583623053443,158.92
yes,,27.682317269544047,85.33572265083193,90.0
yes,,27.680365748515516,85.31230827715362,230.69
government,Central Child Welface Board,27.680415179024838,85.31481868265631,221.61
educational,Hydro Lab,27.68009074996787,85.31904213608111,192.46
government,Inland Revenue Collection centre,27.680521428772757,85.3149966448487,184.92
office,Pancha Kanya Bhawan,27.679737346764902,85.31876106328158,234.58
yes,Toyota drive- in,27.682866258085518,85.31832150151337,120.6
commercial,,27.683217500001025,85.31904020004411,279.75
yes,,27.683431701732353,85.31912400021636,208.08
warehouse,Shaan furniture,27.679745096372983,85.32060985918727,214.24
office,central road laboratory,27.68116805000373,85.31999794998616,249.04
office,EAN,27.680077342443244,85.32085282192119,54.35
office,"exam control division,TU",27.68106975000821,85.3210342000018,117.36
yes,pani tanki,27.68023910277101,85.32005023150728,62.72
yes,Programme for immunization preventable diseases,27.681289320548355,85.32070679331922,253.34
office,,27.680869556521984,85.32106889786556,93.05
temple,,27.681036062014645,85.32186098502132,24.25
office,ACE Employment Bureau,27.68044767206643,85.32161065984346,70.48
office,"Plan Nepal, Country Office",27.678245444672825,85.31910242084477,276.64
yes,,27.678280923038415,85.3210659731079,84.98
college,"Patan Multiple Campua, Rural Development Department",27.678844398253062,85.32103884300835,306.78
yes,,27.67953036891458,85.31661910506368,90.05
yes,,27.6772623139744,85.31995546056619,188.93
yes,,27.677657083375728,85.3203993850338,181.86
school,,27.67751251648825,85.32023578252462,488.34
school,,27.67772132355619,85.31983039444677,244.35
yes,Patan Punarawedan Adalat,27.68125937936503,85.31494659323772,813.34
yes,Body building factory,27.676835233128653,85.32007695229831,114.11
yes,Samudayik Bikash Tatha Digdarshan Kendra (CDGC),27.67898118797589,85.32197206710647,67.07
yes,Siddhartha Bank,27.67821403351961,85.3211329588342,10.91
yes,,27.67702990703313,85.32036890100302,87.28
office,,27.677156150014394,85.3201475000299,183.64
yes,,27.679278170231893,85.31876985647237,124.75
yes,,27.679223720182968,85.31936370853344,129.42
yes,,27.678969454348938,85.31900762996543,234.03
yes,,27.677247827433227,85.3186311855201,135.1
residential,,27.6793272701272,85.31862475947204,147.06
yes,,27.677592900018837,85.31830230000328,191.55
yes,,27.6782119071985,85.3185751342762,151.08
yes,,27.679183099999783,85.31904009999616,47.86
yes,,27.677366780275403,85.31826508836049,203.77
yes,,27.677679107339305,85.31852497847201,202.67
yes,यल स्वास्थ्य सेवा केन्द्र,27.676849229111912,85.31900920975731,345.91
yes,,27.67927150000007,85.3190749499946,54.61
yes,,27.67727631231256,85.3184157537113,251.81
yes,,27.673926124935804,85.31344809184658,376.75
school,,27.674103016249543,85.31307207751458,1047.32
yes,,27.67132445944936,85.3119899939202,256.18
yes,Satoki Memorial Pratibha Book Bank,27.684343092989405,85.31830807644198,101.56
government,,27.67678718297802,85.33574433682924,700.8
yes,,27.678530260194822,85.33720473004442,77.54
yes,,27.67808230000203,85.33756224999678,80.75
yes,,27.677566937729935,85.33791526916364,40.25
yes,,27.67823825863527,85.337515345595,93.68
yes,,27.678519450007652,85.33735705000176,61.78
yes,,27.678505650003437,85.33745434999987,50.31
yes,,27.678897150394455,85.33581778346382,44.94
yes,,27.67843272317982,85.33731031265776,102.06
yes,,27.67752944241455,85.33805306964891,100.25
school,,27.67712859325044,85.33854494616206,72.91
yes,Patan Science Block,27.67787159220946,85.32246358123776,431.95
yes,,27.67779067086379,85.31812615757256,76.75
yes,,27.678792015570973,85.33566710850326,45.37
yes,,27.677355300000215,85.33897934999827,28.21
yes,,27.678069800057752,85.32249390005022,278.39
yes,,27.679231298024913,85.31745501894716,579.4
yes,,27.67753149934056,85.33817896740736,64.53
school,,27.678456284723907,85.32155350208188,145.29
yes,,27.676678077747425,85.31386519790505,202.52
yes,,27.677561149997935,85.33797889999143,70.8
yes,,27.67795784999657,85.32223564997018,118.87
yes,,27.677150896013107,85.31357342032501,96.2
yes,,27.67839478257692,85.32223905517681,214.04
yes,,27.67859325155931,85.33724083760227,79.46
yes,,27.678256199976335,85.32233619992464,177.51
commercial,,27.6792335500136,85.31705929998373,426.56
yes,,27.677769690108548,85.33780932624379,93.03
yes,,27.67798946851305,85.31861981506195,167.63
school,,27.678483663774994,85.32178762004827,165.43
yes,,27.678615083869815,85.32165860080741,179.88
yes,,27.677181629465977,85.31343859343798,99.34
yes,,27.67844355002742,85.32203700002282,202.52
yes,,27.67771028113561,85.33833883929196,86.59
school,,27.678359963273266,85.3217114709404,162.9
